	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	9417	 Le Scandale	Rue de Lausanne 24; 1201, Geneva	335114	K36 & Le Scandale Invitent La Fantastic Friends Family with Yapacc Live	 10 February 2012 	['Yapacc  (live)', 'Peter D.', 'Babo']
1	9417	 Le Scandale	Rue de Lausanne 24; 1201, Geneva	212427	Opuswerk All Night Long At Scandale	 03 December 2010 	['Opuswerk']
2	9417	 Le Scandale	Rue de Lausanne 24; 1201, Geneva	202179	Opuswerk All Night Long At Scandale	 22 October 2010 	['Opuswerk']
3	9417	 Le Scandale	Rue de Lausanne 24; 1201, Geneva	168485	Kim Prevedello	 19 June 2010 	['tbc']
4	9417	 Le Scandale	Rue de Lausanne 24; 1201, Geneva	144199	The Cruzaders	 11 June 2010 	['The Cruzaders']
5	9417	 Le Scandale	Rue de Lausanne 24; 1201, Geneva	159638	Opuswerk	 17 April 2010 	['Opuswerk']
6	9417	 Le Scandale	Rue de Lausanne 24; 1201, Geneva	156605	Kim Prevedello at Scandale	 10 April 2010 	"['', ' les sonorités tribales sont à la base de ses (dj set)s et font de lui un artiste intéressant et complexe.', 'Kim Prevedello 22h at 2h', "" exotiques et pointus. Passionné dès l'enfance par cette musique festive et motivante"", ' il a beaucoup travaillé pour arriver à ce style décalé qui lui correspond parfaitement. Les musiques traditionnelles telles que la salsa', ' la samba et', ""Kim Prevedello est un DJ d'origine cubaine qui allie musique électronique et rythmes traditionnels pour des (dj set)s dansants""]"
7	9417	 Le Scandale	Rue de Lausanne 24; 1201, Geneva	139917	Scandale	 05 February 2010 	['Dj Volta']
8	9417	 Le Scandale	Rue de Lausanne 24; 1201, Geneva	136180	Scandaleux	 22 January 2010 	['Cosmokolor']
9	9417	 Le Scandale	Rue de Lausanne 24; 1201, Geneva	132590	Digital Geist	 04 December 2009 	['Digital Geist  (live)']
10	9417	 Le Scandale	Rue de Lausanne 24; 1201, Geneva	122273	Cyril Léger	 16 October 2009 	['Cyril Léger']
11	9417	 Le Scandale	Rue de Lausanne 24; 1201, Geneva	99398	Mendo	 23 May 2009 	['Mendo']
12	9417	 Le Scandale	Rue de Lausanne 24; 1201, Geneva	87130	Paride Saraceni	 27 March 2009 	['Paride Saraceni']
13	9417	 Le Scandale	Rue de Lausanne 24; 1201, Geneva	44277	tsacK	 02 May 2008 	['tsacK']
