	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	875745	The Factory ≠7	 15 October 2016 	['Opuswerk ']
1	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	873281	Rendez-Vous Avec Les Yeux Orange	 16 September 2016 	[' France)', 'Les Yeux Orange (DJ/ PARIS', ' CH)', 'Robonaut (DJ/ Zürich', '']
2	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	872369	Unglücklich Festival	 09 September 2016 	['El Tigre Sound', 'Pure Ground ', 'Facit', 'Dunkeltier (aka Sneaker)', 'Guy Joshua ']
3	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	841936	It`s a Love Thing	 04 June 2016 	['DJ Mathieu (Njoymusic / CH)', 'Shaka ( Kolour Ltd / CH)']
4	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	842034	Schall & Rauch	 20 May 2016 	"[""Marc D'Arrigo (Schall & Rauch"", ' München)', 'Leo Gretener (Father & Son / Zukunft', 'Simian Keiser (Schall & Rauch', ' Zurich)']"
5	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	799958	Schall & Rauch	 20 February 2016 	"[' Soulnotes Rec', ""Marc D'Arrigo (Schall & Rauch)"", 'Ben Kaczor aka B.O.M. (La Main', ' Basel) ', 'Simian Keiser (Schall & Rauch)']"
6	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	791237	The Factory #6	 05 February 2016 	['Clay Wilson', ' Business2Business. ']
7	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	777658	It's a Love Thing	 30 January 2016 	['Marcel Vogel (Lumberjack in Hell / NL)', ' Mathieu (njoymusic / CH)', ' TBA']
8	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	789291	Turistica // Kejeblos (Phantom Island), Condor, Leo Gretener	 22 January 2016 	['Condor (ZH)', 'Leo Gretener (ZH', 'Kejeblos (ZH', ' Turistica)', ' Phantom Island)']
9	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	779272	Relish Compilation IV Release Party	 07 December 2015 	['Headman/Robi Insinna (Relish', ' ZH)', ' LU)', ' Zweikommasieben', ' El Tigre Sound (TWOETS']
10	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	778583	Schall & Rauch with Nori & Isolated Lines (Live)	 05 December 2015 	"[' CH)', ""Marc D'Arrigo "", 'live Isolated Lines (Creaked Records', 'Simian Keiser ', 'Nori (Provision', ' Tokyo JP) ']"
11	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	771571	The Factory	 04 December 2015 	['Forest People. Patrick Becker.']
12	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	755351	Schall & Rauch	 24 October 2015 	"['', ' Bon Vivants | Colliding Fields)', ' Schall & Rauch)', ""Marc D'Arrigo (CH"", 'Simian Keiser (DE/CH', 'Gray Chalk (CH']"
13	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	787947	It's a Love Thing	 10 October 2015 	['Mathieu', 'Gichou ', 'Titonton Duvante']
14	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	750418	The Factory	 03 October 2015 	[' Agonis.', 'Garçon']
15	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	740243	10 Jahre Korsett Weekender	 14 August 2015 	[' Burnt Friedman', ' Kia Mann', ' Mistamista', ' Feldermelder', ' Guy Joshua', 'Low Jack', ' El Tigre Sound', ' Culver', ' Soult']
16	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	719666	The Factory	 19 June 2015 	[' Nemelka ', 'Isolated Lines']
17	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	716313	Turistica	 13 June 2015 	"['Simian Keiser (zweikommasieben / Schall & Rauch', ' Munich)', ""Marc D'Arrigo (zweikommasieben / Schall & Rauch"", 'Kombé (Lean / Faksepolis', ' Zurich)', 'Leo Gretener (Father & Son - Dubsearch / Turistica', ' Basel)']"
18	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	711087	The Factory #2	 16 May 2015 	[' Morard', 'Oram Modular']
19	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	710748	Tanzfest X K L U B	 08 May 2015 	['BLKND', 'DJ Overdose', 'KACKMUSIKK']
20	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	702178	Schall & Rauch	 02 May 2015 	"['Simian Keiser (zweikommasieben / Schall & Rauch', ' Munich)', 'Marvin & Valentino (Public Possession', ""Marc D'Arrigo (zweikommasieben / Schall & Rauch"", ' Munich) ', ' Zurich) ']"
21	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	684070	Shxcxchcxsh, Cosnost, Krankenzimmer 204	 18 April 2015 	['SHXCXCHCXSH', ' Cosnost', ' DJs Duo Meda & Medooza', ' Krankenzimmer 204']
22	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	695199	The Factory #1	 04 April 2015 	['Strb', ' Sins']
23	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	657732	Schall & Rauch	 10 January 2015 	"['', 'Boogiemann (Which Way To The Stars', ""Marc D'Arrigo (Schall & Rauch"", ' Bern) ', ' Zürich)', 'Till/Tape (Bons Vivants', 'Simian Keiser (Schall & Rauch', 'more soon..', ' Berlin D) ', ' München)']"
24	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	649317	K L U B	 07 November 2014 	[' Guy Joshua', ' El Tigre Sound', 'Steve Summers']
25	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	635741	Schall & Rauch	 04 October 2014 	"['Pasquale C. Peak (Aspects', 'Leo Gretener (Father & Son / Zukunft', ' Zurich)', ""Marc D'Arrigo & Simian Keiser (Schall & Rauch""]"
26	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	628384	K L U B	 30 August 2014 	"[""Marc D'Arrigo b2b Guy Joshua (ZH/LU; zweikommasieben)"", 'Till/Tape b2b Gray Chalk aka Colliding Fields (BE)', 'Bass Clef (UK; PAN', ' Punch Drunk Music)', ' live']"
27	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	624429	Down With..	 08 August 2014 	"[' Munich)', ' Lucerne) ', ""Marc D'Arrigo (Schall & Rauch"", ' Zurich)', 'Simian Keiser (Schall & Rauch', 'Guy Joshua (zweikommasieben']"
28	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	548069	Schall & Rauch	 14 February 2014 	"['Timnah Sommerfeldt (Balance Alliance / RDF Musik', ' Zurich)', 'Guy Joshua (zweikommasieben', ""Simian Keiser & Marc D'Arrigo (Schall & Rauch"", ' Basel)', 'El Tigre Sound (Twoets', 'Garçon (Déepart / Traxx Up', ' Luzern)']"
29	95244	 Klub Kegelbahn	Baselstrasse 24, 6003 Luzern	545862	31-12-13	 31 December 2013 	[' Philipp Aregger', 'Oscar Schubaq', ' Eli Verveine', ' Fehlfunktion']
