	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	36107	 Down Town Bar & Lounge	Rathausgasse 59; 3011, Bern	342921	Down Town	 10 March 2012 	['Swosch', 'Skaos', 'Vitek', 'Bird']
1	36107	 Down Town Bar & Lounge	Rathausgasse 59; 3011, Bern	231967	Raveolution Xi	 28 January 2011 	['Dario Friberg / Voltec / Flavius Tadeus']
2	36107	 Down Town Bar & Lounge	Rathausgasse 59; 3011, Bern	231968	Underground Movement	 22 January 2011 	['Mark Lemington / DB / Voltec / Flavius Tadeus']
3	36107	 Down Town Bar & Lounge	Rathausgasse 59; 3011, Bern	231969	Raveolution X	 21 January 2011 	['Mark Lemigton', 'Flavius Tadeus', 'Voltec', 'DB']
4	36107	 Down Town Bar & Lounge	Rathausgasse 59; 3011, Bern	215651	X-Mas Grooves	 24 December 2010 	[' Voltec', 'Mike Teixeira', ' Flavius Tadeus']
5	36107	 Down Town Bar & Lounge	Rathausgasse 59; 3011, Bern	215650	Raveolution Xii	 18 December 2010 	['Flavius Tadeus', ' Voltec']
6	36107	 Down Town Bar & Lounge	Rathausgasse 59; 3011, Bern	212141	Electro & Minimal Night	 10 December 2010 	[' Jecko Kay', ' Voltec', 'Liv Stone']
7	36107	 Down Town Bar & Lounge	Rathausgasse 59; 3011, Bern	215649	Raveolution 6	 04 December 2010 	['Flavius Tadeus', ' Voltec']
8	36107	 Down Town Bar & Lounge	Rathausgasse 59; 3011, Bern	215648	Groove Xpress	 03 December 2010 	['Flavius Tadeus', ' Voltec']
9	36107	 Down Town Bar & Lounge	Rathausgasse 59; 3011, Bern	210445	Raveolution 5	 26 November 2010 	['DJ Voltec & DJ Flavius Tadeus']
10	36107	 Down Town Bar & Lounge	Rathausgasse 59; 3011, Bern	211344	Groove Xpress	 25 November 2010 	['DJ Voltec']
11	36107	 Down Town Bar & Lounge	Rathausgasse 59; 3011, Bern	210037	Raveolution 4	 19 November 2010 	['Flavius Tadeus', 'Voltec']
12	36107	 Down Town Bar & Lounge	Rathausgasse 59; 3011, Bern	210036	Groove Xpress	 18 November 2010 	['Voltec', 'Jan Penarrubia']
13	36107	 Down Town Bar & Lounge	Rathausgasse 59; 3011, Bern	202691	The Raveolution	 06 November 2010 	['DJ Voltec', 'Flavius Tadeus']
14	36107	 Down Town Bar & Lounge	Rathausgasse 59; 3011, Bern	199276	Raveolution presents Maura`s Birthday	 15 October 2010 	['DJ Voltec', 'Flavius Tadeus']
15	36107	 Down Town Bar & Lounge	Rathausgasse 59; 3011, Bern	197386	Weekendstarter	 01 October 2010 	['DJ Voltec', 'Flavius Tadeus']
