	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	43996	 Silencio	Rue du Levant 3; 1201, Geneva	894334	Rare Movement	 27 October 2016 	['Rare Movement (Cadenza/Silencio)']
1	43996	 Silencio	Rue du Levant 3; 1201, Geneva	879886	Deep Friday with Osunlade	 07 October 2016 	['Osunlade (Yoruba Records)', 'Reas (Silencio)']
2	43996	 Silencio	Rue du Levant 3; 1201, Geneva	882028	Rare Movement 	 29 September 2016 	['Rare Movement (Cadenza/Silencio)']
3	43996	 Silencio	Rue du Levant 3; 1201, Geneva	874608	Virginia, Garance & Reas	 23 September 2016 	[' Panorama Bar)', 'Virginia (Ostgut Ton', 'Garance (mOOving!)', 'Reas (Silencio)']
4	43996	 Silencio	Rue du Levant 3; 1201, Geneva	874602	Alejandro Mosso	 09 September 2016 	['', ' Berlin)', ' Mosso', 'Alejandro Mosso (live) ! (Cocoon', 'Reas (Silencio)']
5	43996	 Silencio	Rue du Levant 3; 1201, Geneva	874597	The Backwoods	 02 September 2016 	['Dj Kent (The Backwoods', ' Force of Nature', 'Dj Reas (Silencio)', ' Tokyo)']
6	43996	 Silencio	Rue du Levant 3; 1201, Geneva	869952	Mirko Loko & Reas	 26 August 2016 	[' Polaris)', 'Reas (Silencio)', 'Mirko Loko (Visionquest']
7	43996	 Silencio	Rue du Levant 3; 1201, Geneva	860396	Deep Friday with Peggy Gou & Reas	 05 August 2016 	[' Phonica)', 'Reas (Silencio)', 'Peggy Gou (Rekids']
8	43996	 Silencio	Rue du Levant 3; 1201, Geneva	856149	Sonus Preparty x Secret Society	 29 July 2016 	['Reas (Silencio)', 'Cesare vs Disorder & Quenum (Serialism)']
9	43996	 Silencio	Rue du Levant 3; 1201, Geneva	845059	Mirko Loko & Reas	 10 June 2016 	['Mirko Loko (Cadenza', ' Visionquest)', 'Reas (Silencio)']
10	43996	 Silencio	Rue du Levant 3; 1201, Geneva	839705	The Meeting Legacy Release Party	 27 May 2016 	['Emilie Nana · Reas']
11	43996	 Silencio	Rue du Levant 3; 1201, Geneva	839703	Rare Movement & Jonny N' Travis	 26 May 2016 	"[""Rare Movement · JONNY N' TRAVIS""]"
12	43996	 Silencio	Rue du Levant 3; 1201, Geneva	839702	Garance & Reas	 20 May 2016 	['Garance · Reas']
13	43996	 Silencio	Rue du Levant 3; 1201, Geneva	839700	La Forêt, TT & Tony d'A	 19 May 2016 	"[""La Forêt · TT · TONY D'A""]"
14	43996	 Silencio	Rue du Levant 3; 1201, Geneva	837480	Laolu & Reas	 13 May 2016 	['Reas', 'Laolu']
15	43996	 Silencio	Rue du Levant 3; 1201, Geneva	825524	Paradise with Culoe de Song, Madfunk & Reas	 04 May 2016 	[' South Africa)', 'Culoe De Song (Innervisions', 'Madfunk & Reas (Silencio)']
