	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	5011	 Supermarket	Geroldstrasse 17; 8005, Zürich	895340	Cityfox	 05 November 2016 	[' Return', ' Reto Ardour', 'Tale Of Us']
1	5011	 Supermarket	Geroldstrasse 17; 8005, Zürich	889031	Affentheater	 29 October 2016 	[' Drea', ' James Mc Hale', ' Mauy', ' Valetino', 'Sepp', ' Drilon']
2	5011	 Supermarket	Geroldstrasse 17; 8005, Zürich	868162	Terrazzza with Apollonia, Chris Carrier, Alci	 28 October 2016 	['Chris Carrier', 'Alci', 'Apollonia']
3	5011	 Supermarket	Geroldstrasse 17; 8005, Zürich	891155	Camouflage with Fumiya Tanaka	 15 October 2016 	[' Rogi', ' Sundance)', ' Herodot (Sunrise - RO)', ' Flavio (CH)', 'Fumiya Tanaka (Perlon']
4	5011	 Supermarket	Geroldstrasse 17; 8005, Zürich	881498	Salon Rouge with Lowris	 07 October 2016 	['Lowris', ' And.re', ' Abstrhytmik', ' Nekow', ' Calado']
5	5011	 Supermarket	Geroldstrasse 17; 8005, Zürich	868161	Terrazzza with The Martinez Brothers	 30 September 2016 	['The Martinez Brothers', 'Gianni Callipari', 'Abel (FR)', 'Kantarik']
6	5011	 Supermarket	Geroldstrasse 17; 8005, Zürich	867650	Cityfox with Dixon	 13 August 2016 	['Kalabrese', 'Return b2b Patrischa', 'Thugfucker', 'Dixon', 'Ronald Grauer']
7	5011	 Supermarket	Geroldstrasse 17; 8005, Zürich	868421	Just Like That - Streetparade	 13 August 2016 	['Sandro Kühne', 'Bas Ibellini', 'Archie Hamilton ', 'Gianni Callipari']
8	5011	 Supermarket	Geroldstrasse 17; 8005, Zürich	858576	Magnifique with Christian Burkhardt & Einzelkind	 06 August 2016 	['Sandro Kühne (Sunday Breakfast)', ' Unite Family)', 'Einzelkind (Cocoon)', 'Ezikiel (Cadenza', 'Christian Burkhardt *live* (Cocoon)']
9	5011	 Supermarket	Geroldstrasse 17; 8005, Zürich	825999	Felipe Valenzuela	 31 July 2016 	[' & more TBA', 'Felipe Valenzuela']
10	5011	 Supermarket	Geroldstrasse 17; 8005, Zürich	833444	Terrazzza - 30H Marathon	 16 July 2016 	['Seb Zito', 'Kenny Ground', 'Aaron Khaleian', 'Djebali', 'Matthias Tanzmann', 'Oxia', 'Ivan Alvarez', 'John Dimas', 'Kantarik', 'Gianni Callipari', 'Enzo Siragusa', 'Murciano', 'Alci', 'Ezikiel']
11	5011	 Supermarket	Geroldstrasse 17; 8005, Zürich	848460	Born with Marco Effe 	 18 June 2016 	['', '... as to the manner born!', 'Supermarket', 'FERY', ' packende Vibes - BORN & das Supi-Team verwöhnt seine Gäste mit Musik der Extraklasse - DER House-Laden in Zürich! Nicht umsonst steht im Supermarket eine der besten Soundsysteme - Kv2 Audio rundet das Hörerlebnis perfekt ab!', 'Francesco Parla', '#socialmedia', 'Marco Effe:', 'Dieses Mal besucht uns ein Freund aus Berlin - Marco Effe. Seine Impress-Party in Berlin spricht für sich. Jeweils Mittwochs beschallt er zusammen mit diversen Künstlern aus verschiedenen Genres den weltweit bekannten Watergate Club.', ' bescheren das Nachtleben jedoch mit hoch qualitativen Musikproduktionen und legen dazu sehr viel Wert auf solide Soundauswahl für ihre (dj set)s.', ' welches genau zu beobachten ist. Hier tauschen sich Künstler untereinander aus und unterstützen sich gegenseitig in Sachen Musikproduktionen und Kooperationen.', '___', 'Mit dabei sind die talentierten Locals Francesco Parla', 'Boy.An', 'Rollende Beats', 'BORN - Bass.On.Repeat.Network.', ' Boy.An + Fery - Diese Jungs brillieren (noch) nicht mit extremer Bekanntheit', 'Ein wachsendes Netzwerk in Sachen Künstler elektronischer Musik. Qualität vor Quantität - ein Produkt', 'https://www.facebook.com/ClubSupermarket']
12	5011	 Supermarket	Geroldstrasse 17; 8005, Zürich	831243	Magnifique with Boris Werner & Cezar	 07 May 2016 	[' Soweto', 'Phil Cole (Elastique Music)', ' Voyage Direct)', 'Boris Werner (Get Physical', 'CEZAR (A:rpia:r', ' Understand)', 'Flavio (Sunday Breakfast)']
13	5011	 Supermarket	Geroldstrasse 17; 8005, Zürich	828308	Simple	 15 April 2016 	['Gogo', ' Mirco Mendosta', ' Santoro & Blair', ' Gleichschritt', 'Live Visuals by Blauton (D)']
14	5011	 Supermarket	Geroldstrasse 17; 8005, Zürich	800324	Terrazzza with Hector & Subb-an	 09 April 2016 	[' James Mc Hale', 'Hector', ' Kantarik', ' Subb-an']
15	5011	 Supermarket	Geroldstrasse 17; 8005, Zürich	819402	Cityfox	 24 March 2016 	[' Ajele', ' Return', ' Lampert', ' Markus Lindner', ' Camea', 'Dan Ghenacia', ' Tim Engelhardt']
