	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	57739	 Bagatelle	Langstrasse 93; 8004, Zürich	876425	Deep Impact - Afterhour	 18 September 2016 	['Jack & Juus', 'Andreas Ramos', 'Strumberg', 'Matija', 'Nolé']
1	57739	 Bagatelle	Langstrasse 93; 8004, Zürich	875926	Deep Impact - Last Dance 2016	 17 September 2016 	['', 'Bar 21:30 Uhr ', 'Dave Neff ', 'Club 23:00 Uhr ', 'Yannik Müller (Rawls Music) ', 'Backstube (MX-Project', 'b2b ', 'Strumberg (Deep Impact', ' Bagatelle§93)']
2	57739	 Bagatelle	Langstrasse 93; 8004, Zürich	867520	la Fête de la rue by Note Gourmande Lab	 13 August 2016 	['Rice & Beans', 'SpaceK', 'Hinde BE']
3	57739	 Bagatelle	Langstrasse 93; 8004, Zürich	861264	Kumquat Meets Fun	 06 August 2016 	['Ondrej [Kumquat]', 'Alexis Cabrera (live)[Fun Records', ' Kumquat]', 'Fredi Salomon [Bunker-Le Local]']
4	57739	 Bagatelle	Langstrasse 93; 8004, Zürich	816363	Kumquatgarten Release Night with Tolis Q & Bruno Chaix	 19 March 2016 	['TolisQ', ' Bruno Chaix', ' Ondrej']
5	57739	 Bagatelle	Langstrasse 93; 8004, Zürich	813512	Grosskariert - Kumora	 17 March 2016 	['Kurilian', ' Montagmorgen']
6	57739	 Bagatelle	Langstrasse 93; 8004, Zürich	794882	Amsterdamn	 05 February 2016 	['Insane (nl)', 'Erik van Drumpt (nl)', 'Baba (ch)']
7	57739	 Bagatelle	Langstrasse 93; 8004, Zürich	774879	Bagatelle	 28 November 2015 	['Jack Teck']
8	57739	 Bagatelle	Langstrasse 93; 8004, Zürich	735509	Along with Us	 01 August 2015 	['Nolé', 'Ragesh Nair', 'Darrien']
9	57739	 Bagatelle	Langstrasse 93; 8004, Zürich	715321	Kumquatgarten	 23 May 2015 	[' Blacksheep]', 'Ondrej [KUMQUAT]', 'Knowbru [Innocent Music', ' Aeon]', 'Echonomist [Rotary Cocktail']
10	57739	 Bagatelle	Langstrasse 93; 8004, Zürich	713865	Delikt	 13 May 2015 	['', ' Jack Teck', ' Mike Dyson', ' Alex Silver', 'Bruderherz']
11	57739	 Bagatelle	Langstrasse 93; 8004, Zürich	703262	Along with Us	 25 April 2015 	['The Rah', 'Nolè', 'Kurilian Kratz', 'Darrien']
12	57739	 Bagatelle	Langstrasse 93; 8004, Zürich	668793	Kumquatgarten	 03 January 2015 	[' Dumb Unit - Berlin / Buenos Aires]', 'Ondrej [KUMQUAT]', ' Cityfox', 'Pablo Denegri (live) [Aula Magna']
