	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	84940	 Rondel	Genfergasse 10, CH-3011 Bern	853079	Rondel Summer Closing	 30 July 2016 	['Patrick Podage (Noir', 'Mike Teixeira (Off Mind)', ' Dropout Agency)', 'Jan Penarrubia (Off Mind) b2b', ' Rondel)', 'Bfly Steiner (Dropout Agency', 'Moezard (Fraktion Tanz', 'Accama (Dubculture', 'Der Dirigent (any:ideas) b2b', 'Adrian Bergmann (any:ideas)', ' partout.cc)', ' Circle', ' Lapsus) b2b']
1	84940	 Rondel	Genfergasse 10, CH-3011 Bern	853077	Abflug Berlin The Last Dance with Kellerkind & Jimi Jules	 23 July 2016 	['Kellerkind (Stil vor Talent) b2b Anthik (Suara)', 'Jimi Jules (Hive Audio', 'Basskontrolle (Abflug Berlin)', 'Jon Donson (ELEKTROSTUBETE)', ' Watergate Records)']
2	84940	 Rondel	Genfergasse 10, CH-3011 Bern	853076	Bärner Platte Feat. Substanz Labelnight	 09 July 2016 	[' Play it Loud!)', 'Nikola Kotevksi aka Nick Nasty (subsTANZ', ' Liquid Audio)', 'Bakerman (subsTANZ', 'Jutzi (subsTANZ)']
3	84940	 Rondel	Genfergasse 10, CH-3011 Bern	853074	All About Techno	 02 July 2016 	['Fabio Guarriello (Open Mind)', 'Favila & Valentine (Fraktion Tanz)', 'Felipe & Gusto (Dubhounds)', 'Corpataux (Dropout Agency)']
4	84940	 Rondel	Genfergasse 10, CH-3011 Bern	848747	Rooftopday Afterparty with el Azra, Off Mind & Dropout Agency	 25 June 2016 	['Mike Teixeira (OFF MIND)', 'Tagedeep (el azra) b2b', 'Jan Penarrubia (OFF MIND) b2b', 'Thomas Zopf (el azra)', 'Dropout Agency-Soundsystem (Thom & ...)']
5	84940	 Rondel	Genfergasse 10, CH-3011 Bern	833789	We Call It Techno with Nakadia	 18 June 2016 	[' Flinke Finger)', ' ANTS)', 'Nakadia (Get Physical', 'Geronimo (Dropout Agency', 'Sonica']
6	84940	 Rondel	Genfergasse 10, CH-3011 Bern	848742	Bärner Platte with Bfly Steiner, Mattoo & Skaos	 11 June 2016 	[' Lapsus Music)', 'Skaos (Technical Knockout)', 'Bfly Steiner (Dropout Agency', 'Mattoo (Zarata Agency)']
7	84940	 Rondel	Genfergasse 10, CH-3011 Bern	848745	Freundeskreis mit Profondo, Phrex, Kami & dr.Habakuk	 04 June 2016 	['Kami (Deins & Meins)', 'Profondo (Rondel)', 'dr.habakuk (bons vivants)', 'Phrex (bons vivants)']
8	84940	 Rondel	Genfergasse 10, CH-3011 Bern	833788	Play with Finnebassen	 28 May 2016 	[' Culprit)', '» Mike Teixeira (OFF MIND)', '» Finnebassen (Noir', '» Special Guest(s)']
9	84940	 Rondel	Genfergasse 10, CH-3011 Bern	833786	Fantastic Friends with Nicolas Duvoisin & Dachshund	 21 May 2016 	"[' La Ruche)', ' Highgrade', ' Tresor ""foreplay"" Berlin', '» Nelson De Jesus (Fantastic Friends', ' 8Bit', ' Clapper)', '» About Clint (Fantastic Friends)', '» Dachshund (Fantastic Friends', '» Nicolas Duvoisin (Fantastic Friends']"
10	84940	 Rondel	Genfergasse 10, CH-3011 Bern	833785	Gaiser pres. by Wood Lab.	 20 May 2016 	['» Jon Gaiser (live) (Minus)', '» Max Klebson (Wood Lab.)', '» Pièrick (Wood Lab.)', '» James Mc Hale (Sunday Breakfast)', '» Recarey (Wood Lab.', ' Play & Prez)']
11	84940	 Rondel	Genfergasse 10, CH-3011 Bern	833784	Rondel Pres. 20 Jahre D! Club Lausanne	 07 May 2016 	['', ' Flinke Finger)', ' D! Club - Lausanne)', '» Djerry C (D! Club - Lausanne)', '» Several Definitions (Stil vor Talent', '» Geronimo (Dropout Agency']
12	84940	 Rondel	Genfergasse 10, CH-3011 Bern	833783	Basel Meets Bern with Honoree & Abel 	 06 May 2016 	[' Terazzza)', ' Dropout Agency', 'Lesničar (I.MMXII)', 'Abel (Nordstern', 'Honoree (Nordstern)']
13	84940	 Rondel	Genfergasse 10, CH-3011 Bern	833782	Abflug Berlin Pres. Stil vor Talent Showcase with Teenage Mutants	 04 May 2016 	['» Anthik (Suara)', '» Illesnoise (Stil vor Talent)', '» Kellerkind (Stil vor Talent)', '» Sidney Dry (Abflug Berlin)', '» Teenage Mutants (Stil vor Talent)']
14	84940	 Rondel	Genfergasse 10, CH-3011 Bern	824041	3 Years Dropout Agency	 30 April 2016 	['Darrien (Stahlplatten', ' Lapsus)', ' Dropout Agency', 'Bfly Steiner (Dropout Agency', ' Terazzza)', ' Along With / Zürich)', 'Corpataux (Dropout Agency)', 'Abel (Nordstern']
15	84940	 Rondel	Genfergasse 10, CH-3011 Bern	826303	Nightshift with Alle Farben & Spanks	 23 April 2016 	[' Spanks', ' Patrick Podage', 'Alle Farben', ' 3Some']
