	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	97686	 Spirit Bar	Rue de la Tour 4, 1004 Lausanne	888739	Pingpong Techno Club	 15 October 2016 	['', 'Atønal', 'Massimo Brugnera', 'OWNO', 'Quartier Kruz']
1	97686	 Spirit Bar	Rue de la Tour 4, 1004 Lausanne	802096	Owno It's Techno 02	 27 February 2016 	['MASH', '', 'THE CAT', 'OWNO']
2	97686	 Spirit Bar	Rue de la Tour 4, 1004 Lausanne	793112	The Dub Side	 06 February 2016 	['Naskal', 'Dee Joe', 'Greman ']
3	97686	 Spirit Bar	Rue de la Tour 4, 1004 Lausanne	797905	Folie Constante	 29 January 2016 	['Oktay', 'jay veedee', 'follow me']
4	97686	 Spirit Bar	Rue de la Tour 4, 1004 Lausanne	778157	Main Mise # 1	 27 November 2015 	['', 'Zuzarte [La Main Mise - Lausanne]', 'Slow To Speak [La Main Mise - Paris]', 'Cosme [Tenuta - Lausanne]', 'Viuels & support : Tenuta', 'Felipe [La Main Mise - Lausanne]', 'Bakyr [Tenuta - Lausanne]']
5	97686	 Spirit Bar	Rue de la Tour 4, 1004 Lausanne	768443	Living with BIG Cats /// Old School and Funk	 07 November 2015 	['Funky Chap & Morris Malone']
6	97686	 Spirit Bar	Rue de la Tour 4, 1004 Lausanne	768444	Poney Family 	 31 October 2015 	['Lewski & Benito']
7	97686	 Spirit Bar	Rue de la Tour 4, 1004 Lausanne	768449	Adsr	 30 October 2015 	['', ' Pnom Pen - Oscil8 (Lyon', 'Le collectif Oscil8 fait son premier tour de piste à Lausanne.', ' Its Moonrack - Oscil8 (Lausanne', ' Fr)', ' SweetLife', ' Kim Prevedello - Little House Castle Music (Lausanne', ' Another Dark Swinging Room #5 ◆', 'Nos partenaires:', ' The Spirit Bar', ' Sw)', ' Steven Sanchez - La ruche (Lausanne', ' KUVA - Oscil8/DEEPINRECORDS (Lyon']
8	97686	 Spirit Bar	Rue de la Tour 4, 1004 Lausanne	767727	Spirit of October Week	 22 October 2015 	"['', ' Wankala', ' Okidor', 'Samedi 24: Mind /// Agape', ' Funky Chap', ""Vendredi 23 : Deep in Laus'Angeles - Burning Man Decompression /// Space K"", ' Laila M', 'Jeudi 22: Electro Thursday /// S-MorSillo (Alias Le Petit Prince)']"
9	97686	 Spirit Bar	Rue de la Tour 4, 1004 Lausanne	765110	Spirit of October Week 3	 15 October 2015 	['', 'AbEs', 'Samantha (Koums)', 'Jeudi 15.10: Electro Thursday', 'Felipe Acevedo', 'Samedi 17.10: Desperados Night', 'AGAPE (chamber session)', 'Chris Power and Friends', 'Vendredi 16.10: Sound Mechanc']
10	97686	 Spirit Bar	Rue de la Tour 4, 1004 Lausanne	762106	The Spirit of October Week 2	 08 October 2015 	['', 'S-MorSillo (Alias Le Petit Prince)', 'AbEs', '///Samedi 10.10: Les 30 ans du Patron - Deep to Tek///', 'Sory Kaba', '// Jeudi 8.10: Electro Thursday///', 'Greg Robert LIVE', '///Vendredi 9.10: Black Beats///', 'Vielfarbig (La Ruche / Lausanne)']
