	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	10951	 Para	Terraux 7; 2000, Neuchâtel	809405	Black Disney	 04 March 2016 	[' CUT', ' JOHNNY QUEST', ' Claude Laurier', ' Los Wenamigos', ' MARC BENZ', 'Adolpho & Franky']
1	10951	 Para	Terraux 7; 2000, Neuchâtel	779541	Fantastic Friends Party	 04 December 2015 	['', 'Fantastic Friends - Highgrade - Metroline Limited', 'LA MINE EXPRESS (Neuchâtel)', 'Nicolas Duvoisin (Lausanne)']
2	10951	 Para	Terraux 7; 2000, Neuchâtel	771849	Main Main Music Showcase / Para - Gold Club /	 14 November 2015 	['NUKEM ', 'Martelli', 'Bfly Steiner ']
3	10951	 Para	Terraux 7; 2000, Neuchâtel	844562	Para presents James Mc Hale	 13 November 2015 	['James Mc Hale', ' Extrastunden']
4	10951	 Para	Terraux 7; 2000, Neuchâtel	767991	Zarata Showcase 	 17 October 2015 	['Mattoo', 'Steiner', 'DoubtingThomas  (live)', 'Bfly']
5	10951	 Para	Terraux 7; 2000, Neuchâtel	561051	Answer Night	 01 February 2014 	[' Desolat', ' Moonharbour )', 'AGENT ( Cocoon', 'Juliano Lopez ']
6	10951	 Para	Terraux 7; 2000, Neuchâtel	555236	Answer Night	 25 January 2014 	['', 'Oram Modular ( Weetamix', ' Silencio', ' ZOO )', 'Juliano Lopez ( ANswer )', 'Greg la Brelle ( La Ruche )']
7	10951	 Para	Terraux 7; 2000, Neuchâtel	535742	RA.PU B2B Nekow & Extrastunden	 09 November 2013 	['RA.PU B2B Nekow', 'EXTRASTUNDEN JONATHAN SOLO']
8	10951	 Para	Terraux 7; 2000, Neuchâtel	413765	David Torr - Gold	 02 November 2012 	['David Torr']
9	10951	 Para	Terraux 7; 2000, Neuchâtel	401552	Freitag Limited Artists present	 21 September 2012 	['LEE - O ', 'TIVE', 'Angelo B']
10	10951	 Para	Terraux 7; 2000, Neuchâtel	349857	Mature Music Night	 12 May 2012 	['David Durango', ' Nelson De Jesus']
11	10951	 Para	Terraux 7; 2000, Neuchâtel	356476	Finefood Party Meet Berlin	 04 May 2012 	['Mia Kaltes | Finefood Records | Switzerland', 'Benjamin Fehr | Catenaccio - Foundsound - Finefood Records | Berlin', 'Ryan Hawkin (live) | Finefood Records| Switzerland']
12	10951	 Para	Terraux 7; 2000, Neuchâtel	364988	House Music Revival	 28 April 2012 	['Mirax', 'Michael Fate', 'Jay Mas']
13	10951	 Para	Terraux 7; 2000, Neuchâtel	349806	Tek It with Memnok, Tiari and Tive At Para Club Neuchâtel	 23 March 2012 	[' USA) Live ', 'Memnok (HEX', ' Fourth Kind', 'TIVE (Finefoodrecords', 'Tiari (Genesa rec.', ' Divided Rec', ' USA) Live', ' Reloading rec.', ' CH) (dj set)']
14	10951	 Para	Terraux 7; 2000, Neuchâtel	330130	Finefood Party	 02 March 2012 	['Ryan Hawkin & Konpiuta  (live)', 'TIVE']
15	10951	 Para	Terraux 7; 2000, Neuchâtel	299257	237 Family Night	 07 October 2011 	['Gregorythme  (live)', 'Ghetto Po', 'Miguel']
16	10951	 Para	Terraux 7; 2000, Neuchâtel	297845	Family Night	 03 October 2011 	['Ghetto Po ', 'Miguel', 'Gregorythme ']
17	10951	 Para	Terraux 7; 2000, Neuchâtel	269849	237 Records Showcase	 08 July 2011 	"[""KONPIUTA'LIVE"", 'GHETTO PO', 'SIMON EFFECT']"
18	10951	 Para	Terraux 7; 2000, Neuchâtel	231466	The Cruzaders Club	 16 April 2011 	['The Cruzaders']
19	10951	 Para	Terraux 7; 2000, Neuchâtel	204406	The Cruzaders Club (Neuchâtel - Ch)	 27 November 2010 	['The Cruzaders']
20	10951	 Para	Terraux 7; 2000, Neuchâtel	172272	The Cruzaders At Para Club	 18 September 2010 	['The Cruzaders']
21	10951	 Para	Terraux 7; 2000, Neuchâtel	259318	Voices Quality	 11 September 2010 	['Dineo', 'Franck C']
22	10951	 Para	Terraux 7; 2000, Neuchâtel	186785	Essential House Session	 27 August 2010 	"['G!L Everest', ""M'arcos""]"
23	10951	 Para	Terraux 7; 2000, Neuchâtel	147816	The Cruzaders At Para Club (Neuchâtel - Ch)	 29 May 2010 	['The Cruzaders']
24	10951	 Para	Terraux 7; 2000, Neuchâtel	259325	House Night with Eddie Thoneick	 23 January 2010 	['', 'Eddie Thoneick', 'Intro by: Rocca & Dineo']
25	10951	 Para	Terraux 7; 2000, Neuchâtel	130837	The Cruzaders At Para Club (Neuchâtel - Ch)	 16 January 2010 	['The Cruzaders']
26	10951	 Para	Terraux 7; 2000, Neuchâtel	129208	Shove Dojo	 11 December 2009 	['Noir', ' Edgar Jack', ' Dan Welton']
27	10951	 Para	Terraux 7; 2000, Neuchâtel	127678	Audiotek with M.A.N.D.Y. (Get Physiacl Music, Berlin)	 27 November 2009 	['M.A.N.D.Y. - Patrick (Get Physical Music | Berlin)', ' ', 'Luca de Grandis (audiotheque.ch | Bern)', 'JD Hakulinen']
28	10951	 Para	Terraux 7; 2000, Neuchâtel	259512	Pin Up with Enzo Di Caprio	 29 August 2009 	['Dineo', 'Enzo di Caprio']
29	10951	 Para	Terraux 7; 2000, Neuchâtel	102266	Le Noir & Laurent Charbon	 12 June 2009 	['Le Noir (ZH', ' Club Q)', 'Laurent Charbon (Night Drive Music)']
30	10951	 Para	Terraux 7; 2000, Neuchâtel	101647	Shove Dojo with Dan Welton & Edgar Jack	 06 June 2009 	['Edgar Jack', ' Dan Welton']
31	10951	 Para	Terraux 7; 2000, Neuchâtel	96043	Shove Dojo Club with Stimming -Live	 23 May 2009 	[' Edgar Jack', 'Stimming', ' Dan Welton']
32	10951	 Para	Terraux 7; 2000, Neuchâtel	131414	Audiotek with Federico Molinari (Oslo Records, Frankfurt)	 08 May 2009 	['Huazee', 'Federico Molinari', 'Marco da Mata']
33	10951	 Para	Terraux 7; 2000, Neuchâtel	91103	Shove Dojo with Shonky	 18 April 2009 	"[' Contexterrior', ' Crosstown Rebels/FR)', ' Dan Welton and Edgar Jack', ""Shonky (Freak n'Chic""]"
34	10951	 Para	Terraux 7; 2000, Neuchâtel	85053	Laurent Charbon	 28 March 2009 	['Laurent Charbon']
35	10951	 Para	Terraux 7; 2000, Neuchâtel	87798	Shove Dojo	 21 March 2009 	[' Edgar Jack and Marrocco', 'Dan Welton']
