	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	17056	 Gaskessel Bern	Sandrainstrasse 25; 3007, Bern	879939	Funk Roots	 17 September 2016 	[' Dr!ve', ' Patrick Podage', 'Bowser']
1	17056	 Gaskessel Bern	Sandrainstrasse 25; 3007, Bern	771577	Refugees Welcome	 14 November 2015 	[' Disco Dave', ' Rolf Saxer (live)', ' Pablo Einzig', ' David Suivez', ' Spectron', ' Nkelo Live', ' Patrick Podage', 'Boumi B', ' Markus Kenel']
2	17056	 Gaskessel Bern	Sandrainstrasse 25; 3007, Bern	759987	5 Years Tekkno Town	 31 October 2015 	[' LUKII', ' FORSITION', ' FAITH', ' FRANK RICH', ' MAKA', ' C-FLOW', ' Louie Cut', ' Fredy S', ' RICO LOCO', ' MORGANJ', 'Brian Sanhaji  (live)', ' LUKAS FREUDENBERGER', ' TOM BLAKE', ' KRAFTECK', ' LARS LINDENBERG']
3	17056	 Gaskessel Bern	Sandrainstrasse 25; 3007, Bern	661306	Miss Jools	 12 December 2014 	['', '---DJ Girl (Bern)---', '---Meerganglied (Bern)---', '---Miss Jools (Mobilee', ' Berlin)---']
4	17056	 Gaskessel Bern	Sandrainstrasse 25; 3007, Bern	641603	Tresor Berlin Resident Nacht	 08 November 2014 	['Marcel Heese (Tresor Berlin)', 'Nikola Kotevski (Play it loud! / BE)', '88uw (Tresor Berlin)', 'Mareena (Tresor Berlin)', 'T.A.G. (Tresor Berlin)', 'Krenzlin (Tresor Berlin)']
5	17056	 Gaskessel Bern	Sandrainstrasse 25; 3007, Bern	641597	Tekkno Town Halloween Festival Day 2	 01 November 2014 	['Enrico Valenti (be)', 'Jus Deelax (es)', 'Marion K. (be)', 'KlangfabriK (so)', 'Double & Parkz (be)', 'M+M (be)', 'Simply Simon (be)', 'C-Flow (be)', 'Lukii (be)', 'Bruno Minimal (sz)', 'Lexer (de)', 'Forsition (be)', 'Droplex (hu)', 'Frank Rich (be)']
6	17056	 Gaskessel Bern	Sandrainstrasse 25; 3007, Bern	641594	Tekkno Town Halloween Festival Day 1	 31 October 2014 	['Faith ', 'Moinsen', 'Chipe  (live)', 'Ziiva aka Lukii ', 'Tom Blake', 'Marion K.', 'Kellerkind', 'Wiggaz', 'Robin Schulz ']
7	17056	 Gaskessel Bern	Sandrainstrasse 25; 3007, Bern	642834	any:Ideas Pres. Stuart Hawkins	 25 October 2014 	[' Mischkultur', ' London)', ' Bern) ', 'Rico Rausch b2b der Dirigent (any:ideas', 'Nicola Koch b2b Peter Szanto (Tip Tap Records', 'AR (any:ideas', ' Baile Musik', ' Bern)', 'Stuart Hawkins (Fuse']
8	17056	 Gaskessel Bern	Sandrainstrasse 25; 3007, Bern	629468	any:Ideas Pres. Mira b2b Chris Schwarzwälder	 20 September 2014 	['Das Balz b2b Adrian Bergmann (any:ideas', 'Vanita b2b Low.Tales (Rave Of Love', ' Zürich)', 'Mira b2b Chris Schwarzwälder (Katermukke', ' Berlin)', ' Bern)']
9	17056	 Gaskessel Bern	Sandrainstrasse 25; 3007, Bern	608437	Watergate Worldwide Affairs	 06 September 2014 	['', 'Konvex 2:', 'Marco Resmann (Watergate / Berlin)', 'Thomas Mayr', 'Konvex 1:', ' Hive Audio)', 'Animal Trainer (Stil vor Talent', 'La Fleur (Watergate / Stockholm)', 'Patrick Podage (Play It Loud)', 'Ruede Hagelstein (Watergate / Berlin)']
10	17056	 Gaskessel Bern	Sandrainstrasse 25; 3007, Bern	601807	Tastefool Klangnacht N°12 Pres. Minimal Kids	 05 July 2014 	['Enzo Siffredi', 'Alec Troniq  (live)', 'Sav Manganaro', 'Rich vom Dorf']
11	17056	 Gaskessel Bern	Sandrainstrasse 25; 3007, Bern	593567	Tastefool Klangnacht N°11/3000° Showcase with Kollektiv Ost	 31 May 2014 	['', 'Rodri', '(3000°/waterkant souvenirs)', 'Kollektiv Ost', '(Audiotheuque)', '(TASTEFOOL)', 'AMARO', '(3000°/der turnbeutel)', 'German Lachs']
12	17056	 Gaskessel Bern	Sandrainstrasse 25; 3007, Bern	581769	any:Ideas 1st Anniversary with Christian Burkhardt	 03 May 2014 	['Rennie Røyma & Kåre Kyl (KlangArt / KickSnare', ' Zürich)', ' Frankfurt)', 'Andri  (live) (URSL / Slutfunk / Heinz Music', 'Christian Burkhardt  (live) (Cocoon.net / Oslo / Raum...Musik', 'Das Balz b2b Amelié (any:ideas', 'Rico Rausch (any:ideas', ' Bern)']
13	17056	 Gaskessel Bern	Sandrainstrasse 25; 3007, Bern	576990	Tekkno Town Spring Festival Day 2	 26 April 2014 	['Enrico Valenti (be)', 'Jus Deelax (es)', 'Teenage Mutants (de)', 'Marcel Vivo aka mr.rox (be) & Maka (pl)', 'Marion K. (be)', 'Skaos (be)', 'Louie Cut (p)', 'Peer Kusiv (de)', 'Double & Parkz (be)', 'C-Flow (be)', 'Lukii (be)', 'Bruno Minimal (sz)', 'Forsition (be)', 'Marco Di Natale (zh)', 'Tom Blake (so)', 'Dj Faith (be)', 'Frank Rich (be)']
14	17056	 Gaskessel Bern	Sandrainstrasse 25; 3007, Bern	576987	Tekkno Town Spring Festival Day 1	 25 April 2014 	['Plassix (be)', 'Le Bérger (be)', 'KlangfabriK (so)', 'Thomas Schumacher (de)', 'Joe Maker (it)', 'Maurer & Toepfer (ch/de)']
15	17056	 Gaskessel Bern	Sandrainstrasse 25; 3007, Bern	570690	Tastefool Klangnacht N°10/ Keno Records Labelnight	 22 March 2014 	['Beatamines (Keno Rec./Yulee Booking)', 'Zero (Tastefool)', 'David Keno (Keno Rec./Noir Music)', 'Amaro (Tastefool)', 'Rico Rausch b2b Der Dirigent (any:ideas)']
