	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	20805	 Kornhaus	Kornhausplatz 18; 3000, Bern	583146	Fuchs & Hase: Samstag	 31 May 2014 	['Laser Lele (Mosaik)', 'Nicola Koch (Tip Tap Rec', ' Get Physical)', ' Parquet Rec)', 'Disko Dario  (live) (Elastic Rec', 'Solee (Parquet Rec', ' Mischkultur)']
1	20805	 Kornhaus	Kornhausplatz 18; 3000, Bern	583145	Fuchs & Hase: Freitag	 30 May 2014 	['Noé Weigl (Play it Loud)', 'Dave Hard (Mosaik) ', 'Alle Farben (Kallias)', 'Stiglitz&Bernstein (Zenit)']
2	20805	 Kornhaus	Kornhausplatz 18; 3000, Bern	583143	Fuchs & Hase: Mittwoch	 28 May 2014 	[' Dancecode)', 'Trinidad (Conglaoid', 'Smalltown Collective (Noir Music', 'Toilet Acoustic (Mosaik)', ' Miteinander Musik)', ' Plastic City Rec)', 'Worakls (Hungry Music', ' Off Rec']
3	20805	 Kornhaus	Kornhausplatz 18; 3000, Bern	310508	Playground 2011 - Kinky New Years Eve	 31 December 2011 	['Ajele', 'Huazee', 'Boris Why', 'Shonky', 'Dinky']
4	20805	 Kornhaus	Kornhausplatz 18; 3000, Bern	286739	Playground	 30 December 2011 	['girl', '...and tba...']
5	20805	 Kornhaus	Kornhausplatz 18; 3000, Bern	316754	Elektrostubete Meets Highgrade	 29 December 2011 	['', 'Little Lu b2b Jon Donson', 'Highgrade Disharmonic Orchestra ', 'Dachshund', 'Baroz']
6	20805	 Kornhaus	Kornhausplatz 18; 3000, Bern	315631	Sirion Gets Physical	 24 December 2011 	[' Bird', ' Frango', ' Deetron', 'Thomas Schumacher', ' Feodor']
7	20805	 Kornhaus	Kornhausplatz 18; 3000, Bern	275415	Boutique '11: Rebel Rave	 01 October 2011 	[' Robert James', 'Damian Lazarus', ' Jamie Jones', ' Huazee', 'Salvatore Romeo', ' Robel']
8	20805	 Kornhaus	Kornhausplatz 18; 3000, Bern	275414	Boutique 11 - Mobilee Showcase	 30 September 2011 	['Martin Landsky (mobilee - berlin - D)', 'Kellerkind (stil vor talent - bern - CH)', 'GIRL (basement chicks - bern - CH)', 'Frango (sirion - bern - CH)', 'Pan-Pot (mobilee - berlin - D)']
9	20805	 Kornhaus	Kornhausplatz 18; 3000, Bern	247675	Flowers & Butterflies Bern	 24 April 2011 	['Live: Jagged', 'DJ Mastra & Kellerkind']
10	20805	 Kornhaus	Kornhausplatz 18; 3000, Bern	239676	Flowers & Butterflies	 21 April 2011 	['Girl', 'Turntablerockers']
11	20805	 Kornhaus	Kornhausplatz 18; 3000, Bern	208099	Playground: New Years Eve	 31 December 2010 	['Rodri', 'Deetron', 'Chic Miniature  (live) (aka Guillaume & The Coutu Dumonts + Ernesto Ferreyra)', 'audiotheque', 'Boris Why', 'Mastra']
12	20805	 Kornhaus	Kornhausplatz 18; 3000, Bern	216503	Playground Sirion Night	 23 December 2010 	[' Jon Donson', ' Frango', 'Kruse & Nürnberg', ' Feodor']
13	20805	 Kornhaus	Kornhausplatz 18; 3000, Bern	186509	Boutique - Audiotek with Tiefschwarz	 29 October 2010 	['Boris Why', 'Kellerkind', 'Tiefschwarz', 'Huazee', 'Santé']
14	20805	 Kornhaus	Kornhausplatz 18; 3000, Bern	113795	A Night with Maertini Broes	 02 October 2009 	['Maertini Broes DJ Team + more']
