	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	21304	 Ventil	Zürcherstrasse 1; 5400, Baden	269184	Ventil Closing with Gurtz Live	 25 June 2011 	['Quitim (hoooj / Baden)', 'NADER (Party Garantie / Dachkantine / Zürich)', 'Gurtz (live) (Einmaleins / Buenos Aires)']
1	21304	 Ventil	Zürcherstrasse 1; 5400, Baden	201792	Just Another Tsunami Bash	 13 November 2010 	[' Elektrobopacek', ' Jinxx b2b Muck', ' Meester Krizz', 'Ohrstrom', ' Nik!']
2	21304	 Ventil	Zürcherstrasse 1; 5400, Baden	186232	Quark	 10 September 2010 	['Matija ', 'Dee Nelli', 'Quitim', 'and more...']
3	21304	 Ventil	Zürcherstrasse 1; 5400, Baden	169107	Elektronische Musik closing	 29 May 2010 	['Quitim - Marcio - Dee Nelli - Stoga - Der Kleine Italiener - Dani S & Dilusso - Fabian Kozelsky']
4	21304	 Ventil	Zürcherstrasse 1; 5400, Baden	164400	Donnstig`z By Saugstauber & Hoooj	 06 May 2010 	['Stoga saugstauber', 'Dee Nelli hoooj_music', 'SKY JANSSEN anymany zurich']
5	21304	 Ventil	Zürcherstrasse 1; 5400, Baden	152526	Electronic Music	 12 March 2010 	['live', '', 'DJs', 'Quitim (hoooj)', 'Stoga (saugstauber)', 'MINIMAL-LOUNGE (RENNBAHN REC. HAMBURG)', 'Miyagi (RENNBAHN REC. HAMBURG)', 'VISUALS by', 'T!MOWOOD™ tv', 'Dee Nelli (hoooj)']
6	21304	 Ventil	Zürcherstrasse 1; 5400, Baden	132165	Donnstig	 14 January 2010 	[' Beda', 'Quitim', ' Marwin']
7	21304	 Ventil	Zürcherstrasse 1; 5400, Baden	136651	Electronic Music	 08 January 2010 	['Quitim (hoooj)', 'Matija (durch floft geprüft)', ' ', 'Marcio (hoooj)', ' be)', 'Marwin (abgetakt)', 'Kellerkind (stil vor talent']
8	21304	 Ventil	Zürcherstrasse 1; 5400, Baden	136654	Doonstig'z	 07 January 2010 	['Massive Jay', ' ', 'Marwin', 'Quitim']
9	21304	 Ventil	Zürcherstrasse 1; 5400, Baden	116887	Donnstig	 08 October 2009 	[' Beda und Marwin', 'Quitim']
