	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	25492	 Albani Music Club	Steinberggasse 16	888454	Friede Freude Freitag with Hraach	 28 October 2016 	['Luca Gerosa', 'Timowood.TV', 'Hraach (L.E.T Valencia)']
1	25492	 Albani Music Club	Steinberggasse 16	876420	3 Jahre Friede Freude Freitag with Britta Arnold	 30 September 2016 	['', 'Britta Arnold (Katermukke Berlin)', 'Visuals vom Timowood.TV', 'JONES b2b LEFTHAND (Mucke & Tanz)', 'ARTISAN']
2	25492	 Albani Music Club	Steinberggasse 16	881301	Sommernacht (Winterthur)	 05 August 2016 	['', 'Marco Tegui', 'Susie Star']
3	25492	 Albani Music Club	Steinberggasse 16	838856	Friede Freude Summerclosing with Ezikiel & Alci	 27 May 2016 	[' Unite Family)', 'Ezikiel (Cadenza', 'Alci (Apollonia)', 'Burt Cobain']
4	25492	 Albani Music Club	Steinberggasse 16	824783	Friede Freude Freitag with Honoree	 29 April 2016 	['', 'Honoree (Nordstern Basel)', 'LUCA GEROSA (FFF Family)', 'MALBEC']
5	25492	 Albani Music Club	Steinberggasse 16	827309	Freinacht	 15 April 2016 	['Francesco De Bellis', ' Am Khamsaa']
6	25492	 Albani Music Club	Steinberggasse 16	814891	Friede Freude Freitag - Ostertanz	 25 March 2016 	['Dave Lozano (FFF Family)', 'Pasci (Friedas Büxe)', 'Timowood.TV', 'Christian Schiemann (Les Enfants Terribles)']
7	25492	 Albani Music Club	Steinberggasse 16	805131	Friede Freude Freitag - Februartanz	 26 February 2016 	['Beez & Simo (Grundton / Hangar 11)', 'Timowood.TV (Deko & Visuals)', 'Timoteo (Du & Ich / Les Enfants Terribles)', 'Meikel (Birdz ZH)']
8	25492	 Albani Music Club	Steinberggasse 16	790103	Friede Freude Freitag w/ Matija	 29 January 2016 	"[""MALEKO'S BEUTEL (Das House)"", 'Dario La Mazza (Licht im Dunkel)', 'TIMWOOD.TV (Deko & Visuals)', 'MATIJA (Kiste)']"
9	25492	 Albani Music Club	Steinberggasse 16	773349	Friede Freude Freitag with Alex Dallas	 27 November 2015 	['Alex Dallas (Drumpoet / Zukunft ZH)', 'Luca Gerosa (Friede Freude Freitag)']
10	25492	 Albani Music Club	Steinberggasse 16	762466	Friede Freude Freitag mit Jimi Jules	 30 October 2015 	['Berber & Pasta ', 'Jimi Jules ', 'Timowood.TV']
11	25492	 Albani Music Club	Steinberggasse 16	749845	2 Jahre Friede Freude Freitag with Dejan b2b Markus Lindner	 25 September 2015 	['Dejan (Cityfox) b2b Markus Lindner (Stadtpark Musik) - 4 h Set', 'Intro by ATA (Gute)']
12	25492	 Albani Music Club	Steinberggasse 16	708540	Friede Freude Freitag Summerclosing	 29 May 2015 	['Kyrill & Redford', 'Selim & Armin ', 'TIMOWOOD.TV', 'THE TOYBOYS']
13	25492	 Albani Music Club	Steinberggasse 16	702758	Friede Freude Freitag with Einzig & Faerber	 24 April 2015 	['Luca Gerosa (FFF Family)', ' 5 h Set', 'Timowood.TV', 'Einzig & Faerber (Hive Audio / Miteinander Musik) - 3']
14	25492	 Albani Music Club	Steinberggasse 16	694369	Friede Freude Freitag with Juen & Bach	 27 March 2015 	['Juen & Bach (SANKT / Café Gold)', 'POSSA (Memory Lapse)', 'TIMOWOOD.TV', 'FABRI (musiq / Billy the Kid)']
15	25492	 Albani Music Club	Steinberggasse 16	683711	Friede Freude Freitag mit Rozzo	 27 February 2015 	['Rozzo (The Mountain People)', 'Berber & Pasta', 'Beez & Simo (Grundton)']
16	25492	 Albani Music Club	Steinberggasse 16	670365	Friede Freude Freitag with Jimi Jules	 30 January 2015 	['TIMOWOOD.TV', 'Jimi Jules', 'LUCA GEROSA ']
17	25492	 Albani Music Club	Steinberggasse 16	661278	Friede Freude Freitag - Christmas Special with Alci	 26 December 2014 	"['', ""MALEKO'S BEUTEL"", 'https://www.facebook.com/TIMOWOODtv?fref=ts', 'FELIX FOSSIL (Recycle Records)', 'GINO - Special 3 h Christmas Intro Set!', 'TIMOWOOD.TV - Visuals & Deko!', 'TOYBOYS (Feine Musik)', 'Alci (Robsoul Recordings / InFuse London)']"
18	25492	 Albani Music Club	Steinberggasse 16	652471	Friede Freude Freitag with Gianni Callipari	 28 November 2014 	[' Cadenza Music)', 'BERBER & PASTA', 'TIMOWOOD.TV', 'ARNIKA', 'Gianni Callipari (Just Like That']
19	25492	 Albani Music Club	Steinberggasse 16	641509	Friede Freude Freitag with Beda	 31 October 2014 	['Hug & Schiemann', 'Low.Tales', 'Beda']
20	25492	 Albani Music Club	Steinberggasse 16	627340	1 Jahr Friede Freude Freitag with Adriatique	 26 September 2014 	['Adriatique ']
21	25492	 Albani Music Club	Steinberggasse 16	572697	Friede Freude Freitag	 30 May 2014 	['Benja', 'MONSIEUR MELANGE b2b KORNY', 'Marco Berto']
22	25492	 Albani Music Club	Steinberggasse 16	585358	Friede Freude Freitag with Timoteo b2b Ra.Pu b2b Nekow	 25 April 2014 	['', 'Timoteo', 'RA.PU & Nekow', 'BERNARDO & LOZANO']
23	25492	 Albani Music Club	Steinberggasse 16	584307	Groove	 04 April 2014 	['', 'David Suivez (Yolo Yoga', 'Casimir von Oettingen (Hommage/ Chalalit', ' Berlin)', ' ZH)', 'Buoyancy (Groove)']
24	25492	 Albani Music Club	Steinberggasse 16	576456	Friede Freude Freitag mit Pasci	 28 March 2014 	"['', 'HERMANSSON & MARTINEZ', 'BERBER & PASTA (FFF Family) ', ""PASCI (Frieda's Büxe)""]"
25	25492	 Albani Music Club	Steinberggasse 16	560567	Friede Freude Freitag with Miguel b2b Pazkal	 28 February 2014 	['Pazkal (Moodmusic', 'Miguel (Plastic City Rec.', ' Smalltown Collective)', ' Licht im Dunkel)', 'Sebastian Eduardo (Das House)', 'Cherosa (FFF Family)']
26	25492	 Albani Music Club	Steinberggasse 16	553034	Friede Freude Freitag mit Ezikiel & Alci	 31 January 2014 	['BERBER & PASTA (FFF Residents)', 'Timowood.TV', 'Alci (Robsoul Rec.)', 'Ezikiel (DekaDance)']
27	25492	 Albani Music Club	Steinberggasse 16	544840	Friede Freude Freitag	 27 December 2013 	"['Elvis Cassetta', ""Maleko's Beutel"", 'Polonium 88 b2b Tonga aka Toyboys', 'Bang Goes']"
28	25492	 Albani Music Club	Steinberggasse 16	534543	Friede Freude Freitag with Sandro Kühne b2b Marco Trinkler	 29 November 2013 	['', 'Timowood.TV', 'Sandro Kühne b2b Marco Trinkler (Sunday Breakfast', 'Cherosa (FFF Resident)', ' glas.raum)', 'Beez & Simo (Happy Family)']
29	25492	 Albani Music Club	Steinberggasse 16	526138	Friede Freude Freitag	 25 October 2013 	['Deneha (Hive Audio)', 'Styro2000 (Galoppierende Zuversicht)', 'David Lozano', 'Berber & Pasta']
30	25492	 Albani Music Club	Steinberggasse 16	518765	Friede Freude Freitag	 27 September 2013 	"['Manon (Desolat)', ""MALEKO'S BEUTEL (Das House)"", 'Pazkal (Licht im Dunkel)', 'BERBER & PASTA (FFF)']"
