	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	27197	 Bar 3000	Dienerstrasse 33; 8004 Zürich	515933	Bukowski	 25 September 2013 	['Ok Vancouver Ok (CAN)', 'Konzert:', 'DJ Inderrock']
1	27197	 Bar 3000	Dienerstrasse 33; 8004 Zürich	515929	Bukowski	 18 September 2013 	['', 'DJ Soda Club', 'Konzert:', 'Weekend Phantom (LU)']
2	27197	 Bar 3000	Dienerstrasse 33; 8004 Zürich	515927	Bukowski	 11 September 2013 	['', 'Konzert:', 'DJ Steve Tudikc', 'Doomenfels (ZH)']
3	27197	 Bar 3000	Dienerstrasse 33; 8004 Zürich	511586	Bukowski	 04 September 2013 	['Pablo Nouvelle Live', 'MTDF']
4	27197	 Bar 3000	Dienerstrasse 33; 8004 Zürich	356141	Bukowski	 25 April 2012 	[' DJ STERNEIS', 'KONZERT: BIG PAPA LORENZO']
5	27197	 Bar 3000	Dienerstrasse 33; 8004 Zürich	356131	Bukowski	 18 April 2012 	['SKOR FEAT. SNOOPY OVER THE HILLS', ' MARTON DI KATZ']
6	27197	 Bar 3000	Dienerstrasse 33; 8004 Zürich	356082	Bukowski	 11 April 2012 	['KONZERT: GEORGE VAINE & PRADER (PRADER & KNECHT)']
7	27197	 Bar 3000	Dienerstrasse 33; 8004 Zürich	355830	Bukowski	 04 April 2012 	['KONZERTE: THE FRIDGE', ' BLAUSON']
8	27197	 Bar 3000	Dienerstrasse 33; 8004 Zürich	355827	UND/Oder	 03 April 2012 	['AST & KLAUDIJA GROOVIN GOLIC']
9	27197	 Bar 3000	Dienerstrasse 33; 8004 Zürich	226544	Und/oder	 01 March 2011 	[' Beda', 'Andri']
10	27197	 Bar 3000	Dienerstrasse 33; 8004 Zürich	150547	Nudelsalat	 13 March 2010 	['Ajele']
