	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	30386	 PTR-Usine	Place des Volontaires 4; 5281, Geneva	594110	Gramatik Live	 01 May 2014 	['Gramatik', 'Russ Liquid', 'Gibbz']
1	30386	 PTR-Usine	Place des Volontaires 4; 5281, Geneva	518686	Pantha du Prince	 28 September 2013 	['mimetic', ' Pantha Du Prince']
2	30386	 PTR-Usine	Place des Volontaires 4; 5281, Geneva	478153	La Coulou est a Vous	 04 May 2013 	['Jeff Swing - Dan Lagardere - Ken Wan - Little - Big T ...']
3	30386	 PTR-Usine	Place des Volontaires 4; 5281, Geneva	376384	Rockin' Beach Party	 17 August 2012 	"['', 'El Jesus & AC/DJ (dj set ""from Elvis to Lemmy)', ""The Sons of the Desert (dj set / rockin'wax"", ' surf and exotica', ""Tri-Deuces (instrumental surf/rock'n'roll)"", 'Money B (one man blues band from hell)']"
4	30386	 PTR-Usine	Place des Volontaires 4; 5281, Geneva	376034	Fête de la Musique	 24 June 2012 	['', '17h00 à 17h45 : The Savonnettes (Surf Musique)', '19h00 à 19h45 : Ca Va Chier (Rock)', '16h00 à 16h45 : Hollyhock (Rock)', '18h00 à 18h45 : The Chikitas (Rock Punk)', '14h00 à 14h45 : Floyd Beaumont & The Arkadelphians (Blues Musique Acoustique)', '20h00 à 20h45 : Vuyvr (Métal)', 'La soirée aura lieu au parc des Bastions', '15h00 à 15h45 : Max der Zinger (Folk Rock)', 'Programme : ', ' 1204 Genève']
5	30386	 PTR-Usine	Place des Volontaires 4; 5281, Geneva	376033	Fête de la Musique	 23 June 2012 	"['', '23h00 à 23h45 : SolarFlar VS Rocrar (Rock Doom - Ambient)', '18h00 à 18h45 : Colossus Fall (Rock Métal)', '17h00 à 17h45 : Voice Of Ruin (Métal - Métalcore)', '22h00 à 22h45 : Elizabeth (Hardcore Punk)', '20h00 à 20h45 : Mumakil (Jazz Manouche)', '00h00 à 00h45 : The Atomic Bitchwax (Stoner Rock)', '14h00 à 14h45 : Danila (Rock - Punk Rock)', '19h00 à 19h45 : Wardhill (Stoner)', 'La soirée aura lieu au parc des Bastions', 'Programme : ', ""21h00 à 21h45 : Kess'Khtak (Métal)"", '16h00 à 16h45 : M. Fallan (Indi Pop - Cathartic Rock)', ' 1204 Genève', '15h00 à 15h45 : Six Months Of Sun (Stoner)']"
6	30386	 PTR-Usine	Place des Volontaires 4; 5281, Geneva	376029	Fête de la Musique	 22 June 2012 	"['', ""23h00 à 23h45 : Faute de Frappe (punk'n'oi)"", ""20h00 à 20h45 : Gaz (porn'oi)"", '22h00 à 22h45 : Promethee (Métal)', '00h00 à 00h45 : Bak XIII (Electro Rock)', 'La soirée aura lieu au parc des Bastions', '21h00 à 21h45 : Incrüst (Reggae Crust / Métal Hardcore)', 'Programme : ', ' 1204 Genève']"
7	30386	 PTR-Usine	Place des Volontaires 4; 5281, Geneva	368049	Afrobeat Night	 26 May 2012 	['', 'WITH:', 'SWEET D-BROTHERHOOD(ch)afrobeat/funk', 'AFROBEAT NIGHT', 'OGOUN FERRAILLE(ch)afrobeat/funk', 'RAS MALI(tombouctou/ch)afro beat & jazz/soukouss/coupé-décalé']
8	30386	 PTR-Usine	Place des Volontaires 4; 5281, Geneva	368036	Drum and Bass in Your Face Vol2	 16 May 2012 	"['', ""Nous mettre feu à Usine. On reprend la vieille équipe et on rajoute du poivre et du piment dans la vodka. Paf ! Soirée bien corsée en perspective pour les fans de drum'n'bass avec le rebelle pirate DJ Das"", ' comme cerise sur le pâté', 'JOHNNY B(uk)drum&grass', 'WITH:', ' et pour cette édition', ""DSER(ch)drum&jointd'culass"", ' DJ Jonny B.', ' le cerf de la jungle DJ Dser', ' le coté obscur de DJ Kenhobiz', 'KENHOBIZ(ch)drum&painpaillass', ' une spécialité venant directement de Londres', 'DAS(ch)drum&chouflabonass']"
9	30386	 PTR-Usine	Place des Volontaires 4; 5281, Geneva	351368	Puppetmastaz	 22 April 2012 	[' leur nouvel album « Revolve and Step up » sortira le 26 mars prochain ! De quoi faire remuer vos corps de grosses marionnettes!', ' imaginez un mix entre le Muppet Show et le Wu-Tang Clan. Le seul « groupe de jouets » sur Terre', ' plus juste pour toutes les marionnettes et créatures. Malheureusement', ' Les Puppetmastaz', '', ' enregistrent leur premier album « Creature funk » en 2003. Alors que leur second « Creature Shock Radio » obtient un franc succès et les élève à un niveau supérieur', 'Prélocations sur à Sounds Records (8 avenue du Mail – Genève) et à Disc-à-Brace (2 rue de l’Ale – Lausanne).', 'Pour celles et ceux qui débarquent', ' ils construisent alors un vaisseau spatial et partent dans le cosmos à la recherche de signes nouveaux et de valeurs à transmettre à l’humanité. Après un long périple riche en aventures', ' rien ne change et les Puppetmastaz tombent en dépression. Avec l’aide de leur psychanalyste Ziggy Scandalous et l’appui financier de Sneakerboots', ' après plusieurs apparitions télévisuelles', ' ils tentent de bâtir un nouvel ordre mondial', ' débarque à PTR ! Formé en 1996']
