	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	30942	 Hiltl Club	St. Annagasse 16	895283	Steve Supreme	 04 November 2016 	['Steve Supreme']
1	30942	 Hiltl Club	St. Annagasse 16	895298	Armada Deep Showcase	 28 October 2016 	[' Alekk & Twitch Jacob', ' Techrifice', 'Krono (NL)', '']
2	30942	 Hiltl Club	St. Annagasse 16	885173	Lvndscape	 14 October 2016 	['LVNDSCAPE', ' Juicy Lucy', ' Dj Sam']
3	30942	 Hiltl Club	St. Annagasse 16	885166	Pretty Pink	 07 October 2016 	[' Permanent Triangle', 'Pretty Pink', ' Ehrlich & Redlich']
4	30942	 Hiltl Club	St. Annagasse 16	871129	Sebastien (DE) - Armada Deep Showcase	 30 September 2016 	[' Alekk & Twitch Jacob', ' Nicolas Haelg', 'Sebastien (DE)']
5	30942	 Hiltl Club	St. Annagasse 16	869265	Alex Schulz	 23 September 2016 	[' Permanent Triangle', ' Ray Douglas', 'Alex Schulz']
6	30942	 Hiltl Club	St. Annagasse 16	871121	Tough Love	 16 September 2016 	[' Techrifice', 'Tough Love', ' Dj Sam']
7	30942	 Hiltl Club	St. Annagasse 16	870226	Freddy Verano	 09 September 2016 	[' Permanent Triangle', ' Gray Gravity', 'Freddy Verano']
8	30942	 Hiltl Club	St. Annagasse 16	867452	Möwe	 02 September 2016 	[' Herr Vogel', ' Emil Berliner', 'Möwe']
9	30942	 Hiltl Club	St. Annagasse 16	839921	Armada Deep Showcase	 24 June 2016 	[' DJ SAM', ' Nicolas Haelg', 'Deepend']
10	30942	 Hiltl Club	St. Annagasse 16	838802	Hugel	 17 June 2016 	[' Qebeq', 'Hugel', ' Yannick Müller']
11	30942	 Hiltl Club	St. Annagasse 16	826712	Nico Pusch & Tom Pusch	 10 June 2016 	[' Tom Pusch', 'Nico Pusch', ' A Bordo', ' Nils Fraser']
12	30942	 Hiltl Club	St. Annagasse 16	841317	Wolfskind / MBP	 03 June 2016 	[' MBP (DE)', ' V Stax', 'Wolfskind (DE)']
13	30942	 Hiltl Club	St. Annagasse 16	829882	Yall 	 20 May 2016 	[' DJ Sam', 'Yall (ES)', ' Alekk & Twitch Jacob']
14	30942	 Hiltl Club	St. Annagasse 16	829874	Plastik Funk	 13 May 2016 	[' Alekk & Twitch Jacob', ' Techrifice', 'Plastik Funk']
15	30942	 Hiltl Club	St. Annagasse 16	829868	Felon	 06 May 2016 	[' Permanent Triangle', ' Ray Douglas', ' Techrifice', 'Felon (GB )']
16	30942	 Hiltl Club	St. Annagasse 16	826011	Amuse Bouche	 22 April 2016 	[' INMIND', 'Mirco Niemeier']
17	30942	 Hiltl Club	St. Annagasse 16	825997	Topic	 15 April 2016 	[' A Bordo', 'Topic (DE)', ' Alekk & Twitch Jacob']
18	30942	 Hiltl Club	St. Annagasse 16	825882	Beats, Cats & Lollipops	 08 April 2016 	[' Techrifice', 'Julius Abel (AU)', ' Nils Fraser']
19	30942	 Hiltl Club	St. Annagasse 16	809505	Suman & Placebo - Amuse Bouche	 25 March 2016 	[' A Bordo', ' Piasa', 'SuMan & Placebo']
20	30942	 Hiltl Club	St. Annagasse 16	809500	Armada Deep Label Night with Calvo	 18 March 2016 	[' Nicolas Haelg', 'Calvo', ' Sam', ' Nils Fraser']
21	30942	 Hiltl Club	St. Annagasse 16	809498	Wandervogel / Frequenz 8001	 11 March 2016 	[' Alekk & Twitch Jacob', ' Lara Valentina', 'Wandervogel']
22	30942	 Hiltl Club	St. Annagasse 16	809494	David K. / Beats Cats Lollipops	 04 March 2016 	['David K.', ' Ray Douglas', ' Techrifice']
23	30942	 Hiltl Club	St. Annagasse 16	805379	Indeep&dance	 26 February 2016 	['Sonny Vice', 'Alex Price', 'J-Kin']
24	30942	 Hiltl Club	St. Annagasse 16	805375	Armada Deep Label Night	 19 February 2016 	['Alekk & Twitch Jacob', 'Nikolas Haelg', 'De Hofnar']
25	30942	 Hiltl Club	St. Annagasse 16	805372	Frequenz 8001	 12 February 2016 	['Abordo', 'MBP', 'Nils Hoffmann']
