	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	39477	 Kuppel	Binningerstrasse 14; 4051, Basel	785221	Wunschkinder Xmas	 19 December 2015 	['Herzschwester & Thom Nagy', 'Wareika  (live)', 'dOP  (live)', 'Ariol & Pawlikowski']
1	39477	 Kuppel	Binningerstrasse 14; 4051, Basel	664392	Wunschkinder: Hvob - Live	 20 December 2014 	['Suddenly Neighbours', 'Vlnolam Kawumski', 'HVOB  (live)', 'Miajica']
2	39477	 Kuppel	Binningerstrasse 14; 4051, Basel	649165	Adana Twins	 15 November 2014 	['', 'Der Held (Kuppel', ' JEUDI Records)', ' Volkshaus)', 'Adana Twins (Hamburg/Exploited', ' Baalsaal', 'Danielson & Norbert.to (Ragaz Inc)']
3	39477	 Kuppel	Binningerstrasse 14; 4051, Basel	619772	Giardino Unplugged and Escargot All Stars	 25 July 2014 	"['', ' BS)', 'Giardino Unplugged with', 'Mickey Morris (Wunschkind', ""The Oh No's"", 'Malicious Joy (Beyond', 'V.Kawumski (Les Garcons', 'Escargot with', ' BE)', 'Suddenly Neighbours (Wunschkind']"
4	39477	 Kuppel	Binningerstrasse 14; 4051, Basel	589450	Escargot: Honoree	 16 May 2014 	[' Bern)', 'Honoree (Gelbes Billet', ' Basel)', 'Suddenly Neighbours (Wunschkind', 'Mickey Morris (Wunschkind']
5	39477	 Kuppel	Binningerstrasse 14; 4051, Basel	582964	Nightshift with Robin Schulz	 03 May 2014 	['', 'Gin Tonic Soundsystem', 'Robin Schulz  (live) (Osnabrück / MFM-Bookings)', 'Tarik']
6	39477	 Kuppel	Binningerstrasse 14; 4051, Basel	583570	Burlesque Électronique mit AKA AKA	 19 April 2014 	['Der Held (Basel)', 'AKA AKA (Berlin - Germany - Stil vor Talent)', ' Falling in Love EP', 'Albee (Saxo', 'Vario Volinski (Suara', 'Strassenmajor (Kuppel', ' Basel)']
7	39477	 Kuppel	Binningerstrasse 14; 4051, Basel	580034	Tanzen mit Lexer	 12 April 2014 	['', 'Lexer (Dusted Decks', 'Oliver Aden & Luis Cruz', 'Audiologism', ' DE)']
8	39477	 Kuppel	Binningerstrasse 14; 4051, Basel	573566	Escargot: Nik Frankenberg	 21 March 2014 	['Nik Frankenberg (Gelbes Billette', ' Bern)', ' Basel)', 'Suddenly Neighbours (Wunschkind', 'Mickey Morris (Wunschkind']
9	39477	 Kuppel	Binningerstrasse 14; 4051, Basel	562239	Escargot: DJ Le Roi	 21 February 2014 	['Mickey Morris (Wunschkind', ' Nordstern', 'DJ Le Roi (Get Physical', ' Basel)', ' Bern)', 'Suddenly Neighbours (Wunschkind']
10	39477	 Kuppel	Binningerstrasse 14; 4051, Basel	551459	Tanzen mit Faul	 15 February 2014 	['', 'Faul (Paris/France)', 'Gin Tonic Soundsystem', 'Support DJs']
11	39477	 Kuppel	Binningerstrasse 14; 4051, Basel	551458	Bakermat	 08 February 2014 	['Bakermat', '', 'Tarik', 'Gin Tonic Soundsystem', 'Philipp Weibel ']
12	39477	 Kuppel	Binningerstrasse 14; 4051, Basel	556419	Gameboys: Finale	 01 February 2014 	['Diskomurder (Hinterhof)', 'Silky Raven (Connaisseur)', 'Suddenly Neighbours (Wunschkind)', 'Mercury (Gomma)']
13	39477	 Kuppel	Binningerstrasse 14; 4051, Basel	546922	Katermukke mit Britta Arnold & Sascha Cawa	 18 January 2014 	[' Bar25', ' Berlin)', 'Britta Arnold (KaterMukke', 'Sascha Cawa (KaterMukke', ' Saxo)', 'Oliver Aden & Luis Cruz (Das Schiff', ' Dantze']
14	39477	 Kuppel	Binningerstrasse 14; 4051, Basel	555360	Escargot: Trinidad	 17 January 2014 	['', ' BS)', 'Mickey Morris (Wunschkind', ' DubNoir', 'Trinidad (Miteinander Musik', ' BE)', 'Suddenly Neighbours (Wunschkind']
15	39477	 Kuppel	Binningerstrasse 14; 4051, Basel	534237	Gameboys Xmas	 21 December 2013 	['Mickey Morris (Wunschkind', ' Zurich)', ' Basel)', 'HVOB (Stil Vor Talent', 'Animal Trainer (Hive Audio', ' Bern)', ' Wien)', 'Suddenly Neighbours (Wunschkind']
