	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	4910	 Hive Club	Geroldstrasse 5; 8005, Zurich	898557	Matrixxman & Edward	 05 November 2016 	['Arnika', 'Matrixxman (Dekmantel', 'Edward (Giegling/Berlin)', 'Manon', 'Disco & Tanzstube:', 'Jimi Jules', 'Manuel Fischer', 'Abdel Hady', ' Ghostly/US)']
1	4910	 Hive Club	Geroldstrasse 5; 8005, Zurich	895269	Stil vor Talent & Schwerelos	 04 November 2016 	['', 'Guzy', 'Several Definitions (Stil vor Talent/Lausanne)', 'Kellerkind', 'Oliver Koletzki (Stil vor Talent/Berlin)', 'Tanzstube mit Schwerelos:', 'Charlie Gold', 'Disco mit Stil vor Talent:', 'Niko Schwind (Stil vor Talent/Berlin)']
2	4910	 Hive Club	Geroldstrasse 5; 8005, Zurich	895243	Donnerstag im Hive	 03 November 2016 	['Rumlaut', 'Einzig & Faerber', 'Disco:']
3	4910	 Hive Club	Geroldstrasse 5; 8005, Zurich	888154	Rakete im Wunderland	 29 October 2016 	"['Fat Sushi', 'Nici Faerber', 'Anthik', 'Herr Müller', 'SOLOK', 'Manon', 'Pasci', 'Voodookid', 'Reto Ardour', 'Disco & Tanzstube:', 'Samsara', 'Animal Trainer', 'Super Flu (Monaberry/Halle)', ""Dario D'Attis"", 'De La Maso', 'Raphaello']"
4	4910	 Hive Club	Geroldstrasse 5; 8005, Zurich	888151	16 Hertz	 28 October 2016 	['Henry Clausen', ' Dekmantel/Amsterdam)', 'Vanita', 'Kyrill & Redford', 'Disco & Tanzstube:', 'Makam (De School', ' Herzblut/Edinburgh)', 'Milo Häfliger', 'Live: Nick Dow (Traum Schallplatten']
5	4910	 Hive Club	Geroldstrasse 5; 8005, Zurich	885105	Donnerstag im Hive	 27 October 2016 	['Pasci', 'Matija', 'Disco:', 'Bonny & Clyde']
6	4910	 Hive Club	Geroldstrasse 5; 8005, Zurich	885535	D.O.C. Labelnight	 22 October 2016 	['Live: Elekfantz (D.O.C. Records/Florianopolis)', 'Lee Van Dowski (mobilee', 'Manuel Moreno', 'Nader', 'Live: Gui Boratto (D.O.C. Records', 'Disco & Tanzstube:', ' Kompakt/São Paulo)', ' Cocoon/Zürich)', 'Jimi Jules', 'Junior_C (D.O.C. Records/São Paulo)', 'Live: L_cio (D.O.C. Records/São Paulo)']
7	4910	 Hive Club	Geroldstrasse 5; 8005, Zurich	885533	Mute & Mad Katz	 21 October 2016 	"['FD (Soul:R/London)', '', 'Kornél Kovács (Studio Barnhus/Stockholm)', 'Andy Katz', 'Tanzstube mit Mad Katz: Techno', 'RoyGreen & Protone (Demand Records/Wien)', 'Keen', 'Marcism', 'alongside MC DRS (Soul:ution', "" Broke'n'English/Manchester)"", ""Disco mit Mute: Drum'n'Bass"", ' House', 'Marcus Intalex (Soul:R/Manchester)']"
8	4910	 Hive Club	Geroldstrasse 5; 8005, Zurich	885104	Donnerstag im Hive	 20 October 2016 	"['Profondo', ""Dario D'Attis"", 'Disco:', 'Bonny & Clyde']"
9	4910	 Hive Club	Geroldstrasse 5; 8005, Zurich	885126	Miteinander ins Hive	 15 October 2016 	['Steffen Sonnenschein', 'Edward Ean', 'Andaloop', 'Pablo Einzig', 'Nicolaj', ' Correspondant)', 'Nico Sun', 'BoyoomConnective', 'Dani Nydegger', 'Disco & Tanzstube:', ' Disco Halal/Berlin)', 'Marvin & Guy (Hivern', 'Manuel Fischer', 'Moscoman (ESP']
10	4910	 Hive Club	Geroldstrasse 5; 8005, Zurich	888059	DU & ICH und Renates Heimkinder	 14 October 2016 	['Rumlaut', ' Katermukke/Berlin)', ' Stil vor Talent/Berlin)', 'Andreas Ramos', 'Swam:Thing (Renates Heimkinder/Berlin)', 'Disco & Tanzstube:', 'Jack Jenson (Renates Heimkinder', 'Live: Umami (Katermukke', 'Timoteo']
11	4910	 Hive Club	Geroldstrasse 5; 8005, Zurich	885101	Donnerstag im Hive	 13 October 2016 	['SOLOK', 'Disco:', 'Karl Gustav', 'Bonny & Clyde']
12	4910	 Hive Club	Geroldstrasse 5; 8005, Zurich	885543	C'est Parat	 09 October 2016 	['Herr Müller', 'Hug & Schiemann', 'Disco:', 'And.Hazel', 'Symoh Sares', 'Jimi Jules', 'Larry']
13	4910	 Hive Club	Geroldstrasse 5; 8005, Zurich	885541	C'est Parat	 09 October 2016 	['Herr Müller', 'Hug & Schiemann', 'Disco:', 'And.Hazel', 'Symoh Sares', 'Jimi Jules', 'Larry']
14	4910	 Hive Club	Geroldstrasse 5; 8005, Zurich	885035	Grundton	 08 October 2016 	['Matija', 'Gleichschritt', 'Vanita', 'Jennifer Cardini (Correspondant/Köln)', 'Disco & Tanzstube:', 'Angelica Fravi', 'Live: are:age', 'Ezikiel']
15	4910	 Hive Club	Geroldstrasse 5; 8005, Zurich	873151	6 Jahre Durchdieohrenaufdiehaut	 07 October 2016 	['', 'Mar Dean', 'Carlo Ruetz \t \t', 'Aaron Khaleian', 'Manon', 'Gabriel Le Mar ', 'Ezikiel', 'Ray Okpara ']
