	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	5009	 D! Club	Place Centrale 1; 1003, Lausanne	858916	Len Faki, Cari Lekebusch	 30 September 2016 	['Len Faki', ' DJERRY C ', ' Cari Lekebusch']
1	5009	 D! Club	Place Centrale 1; 1003, Lausanne	858913	Attitude Nocturne with Kölsch, Masaya & Kūn	 23 September 2016 	['Kölsch ', 'Masaya ', 'Kun (CH) ']
2	5009	 D! Club	Place Centrale 1; 1003, Lausanne	865441	Label Suisse After Party	 16 September 2016 	[' Ezikiel', 'mimetic', ' Garance', ' Quenum']
3	5009	 D! Club	Place Centrale 1; 1003, Lausanne	858897	Pan-Pot	 09 September 2016 	[' Romano Rapeso', 'Pan-Pot']
4	5009	 D! Club	Place Centrale 1; 1003, Lausanne	874946	Jonas Blue, Alex Adair	 03 September 2016 	['Jonas Blue', ' ', 'Alex Adair ']
5	5009	 D! Club	Place Centrale 1; 1003, Lausanne	858863	Tale Of Us, Somne	 02 September 2016 	['SOMNE', ' ', 'DJERRY C ', 'Tale Of Us']
6	5009	 D! Club	Place Centrale 1; 1003, Lausanne	873930	WonderlanD! with Technasia	 27 August 2016 	['Technasia ', 'Romano Rapeso ', 'Nata ']
7	5009	 D! Club	Place Centrale 1; 1003, Lausanne	858837	Anja Schneider	 26 August 2016 	[' Masaya ', 'Anja Schneider']
8	5009	 D! Club	Place Centrale 1; 1003, Lausanne	858927	Joris Delacroix, Kokenn	 20 August 2016 	['Joris Delacroix', ' ', 'Kokenn', 'Arkki ']
9	5009	 D! Club	Place Centrale 1; 1003, Lausanne	867190	Attitude Nocturne with Damian Lazarus	 19 August 2016 	['SpaceK', 'Damian Lazarus']
10	5009	 D! Club	Place Centrale 1; 1003, Lausanne	858820	Mendo, Lando, Yvan Genkins	 12 August 2016 	[' Lando', 'Mendo', ' Yvan Genkins ']
11	5009	 D! Club	Place Centrale 1; 1003, Lausanne	858813	Carlo Lio, Shaded	 05 August 2016 	[' SHADED', 'Carlo Lio', ' Romano Rapeso ']
12	5009	 D! Club	Place Centrale 1; 1003, Lausanne	858792	Recondite (Live), Monoloc	 29 July 2016 	[' DJERRY C ', 'Recondite (live)', ' Monoloc']
13	5009	 D! Club	Place Centrale 1; 1003, Lausanne	847842	Attitude Nocturne with Alex Niggemann - La Forêt - Lucas Monème	 24 June 2016 	['La Forêt', 'Lucas Monème', 'Alex Niggemann']
14	5009	 D! Club	Place Centrale 1; 1003, Lausanne	848384	Dennis Ferrer, Dirty Flav, Nata	 18 June 2016 	['Dennis Ferrer ', 'Nata ', 'Dirty Flav ']
15	5009	 D! Club	Place Centrale 1; 1003, Lausanne	848393	Mark Henning, Masaya	 17 June 2016 	['Mark Henning', ' Masaya']
