	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	52730	 Blok Club	Schiffbaustrasse 3; 8005, Zurich	783051	Boyakasha / Deep Edition	 26 December 2015 	[' Oliver van der Miescher', 'Marco De Rosa']
1	52730	 Blok Club	Schiffbaustrasse 3; 8005, Zurich	772011	Puppenhouse	 14 November 2015 	['VANITA ', 'YETTI MEISSNER ', 'RINA LOU', 'ANNA ULLRICH']
2	52730	 Blok Club	Schiffbaustrasse 3; 8005, Zurich	723232	Xenocracy presents Spor	 29 July 2015 	[' Xenocracy DJs', ' Wonnow', ' Frontlin', ' Dynamics', ' Task Horizon', ' Nice Nine', 'Spor', ' Messiah', ' PK Squared', ' S-Kay', ' JD']
3	52730	 Blok Club	Schiffbaustrasse 3; 8005, Zurich	727724	Kei Ahnig und du	 20 June 2015 	[' Ich & Du (Kei Ahnig', ' Renato Broccini (Kei Ahnig', ' ZH)', 'Maalva Cruz (Still awake', ' AT)', ' Nolé (Along with']
4	52730	 Blok Club	Schiffbaustrasse 3; 8005, Zurich	727725	Kei Ahnig, und du	 30 May 2015 	[' Renato Broccini ', ' Ich & Du', ' Nils Fraser ', 'Stil & Taktvoll ']
5	52730	 Blok Club	Schiffbaustrasse 3; 8005, Zurich	719709	We Don't Care	 23 May 2015 	[' Ezikiel', 'Khainz', ' Marco Basso']
6	52730	 Blok Club	Schiffbaustrasse 3; 8005, Zurich	727729	Kei Ahnig, und du	 18 April 2015 	['Stil & Taktvoll ', ' Tonknecht ', ' Renato Broccini', ' River ist Böse ']
7	52730	 Blok Club	Schiffbaustrasse 3; 8005, Zurich	727734	Kei Ahnig, und du	 14 March 2015 	[' Matteo Arcucci ', ' Renato Broccini', ' Nils Fraser ', 'Stil & Taktvoll ', ' River ist böse']
8	52730	 Blok Club	Schiffbaustrasse 3; 8005, Zurich	642650	New Bass Order Pres. Sébastien Léger (FR)	 18 October 2014 	[' Kolbe', ' Lara Valentina', ' Emendy', 'Sébastien Léger', ' Stil&Taktvoll']
9	52730	 Blok Club	Schiffbaustrasse 3; 8005, Zurich	639542	3 Jahre Blok at Nachtfrequenz	 04 October 2014 	['Two Suspects(Nachtfrequenz)', 'DJ SAM (BE FAMOUS', 'Gynesh Bakir (Nachtfrequenz)', 'Betoko (Diynamic / Sennheiser - London)', ' WWW.DJSAM.COM )']
10	52730	 Blok Club	Schiffbaustrasse 3; 8005, Zurich	639739	Requiem	 27 September 2014 	[' Ben Yoo Suk', ' ASVF b2b Bodom', ' River Ist Böse', 'Renato Broccini']
11	52730	 Blok Club	Schiffbaustrasse 3; 8005, Zurich	634704	Liebe zur Musik - Blok - 26.09.14	 26 September 2014 	[' Wien)', 'Techrifice (LzM)', 'SCHEINIZZL (MFM', 'ROLF IMHOF', ' München)', 'Zweitraum (LzM)', 'LCAW (The Bankers']
12	52730	 Blok Club	Schiffbaustrasse 3; 8005, Zurich	622198	Jelly	 13 September 2014 	[' Francesco Parla', ' Rolf Imhof', 'Josh Wink', ' Matt Manik']
13	52730	 Blok Club	Schiffbaustrasse 3; 8005, Zurich	612993	Bedtime-Stories Off Streetparade	 02 August 2014 	['ALAIN ROY & Dirty Larry', 'Manuel Moreno', 'HERMANSSON & MARTINEZ', 'Butch', 'Francis Mallo', 'Rodriguez Jr.', 'Reto Ardour', 'Till von Sein', 'Jimi Jules', 'Don Ramon', 'VOLKAN OCAK']
14	52730	 Blok Club	Schiffbaustrasse 3; 8005, Zurich	634403	Kei Ahnig, und du??	 06 June 2014 	['Julius Abel (Junge Wilde', ' Lolo & Romeo', ' Wien)', ' Renato Broccini']
15	52730	 Blok Club	Schiffbaustrasse 3; 8005, Zurich	563556	Kei Ahnig mit Stefan Biniak	 18 April 2014 	['Stefan Biniak (Dusted Decks', ' Berlin)', 'FABRi (Superyellow)', 'Ich & Du ( Renato Broccini & Fabian Ruchti Anthony Cox )', 'Techrifice (Liebe zur Musik)']
