	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	57099	 Raumstation	Lerchentalstrasse, 9016 St. Gallen	687261	Chronisch Elektronisch Meets Joshua Jesse	 28 March 2015 	['', 'Tashi Luis (Deep Town - St.Gallen)', 'Lambock (Deep Town - St.Gallen)', ' DE)', 'Luis Carvalho (Eindhoven', 'Weltenbummler & De-Feckt (Römpelkömpött - Viersen', 'Da Ron (Deep Town/NoGoHome - St.Gallen)', 'Paulo Mota (Deep Town - Zürich)', 'Joshua Jesse (Katermukke', ' NL)', ' Stil vor Talent - Berlin', 'B.U.G (Deep Town - St.Gallen)', ' Dantze']
1	57099	 Raumstation	Lerchentalstrasse, 9016 St. Gallen	645072	Provocateur Night	 11 October 2014 	['Lutzenkirchen', 'and more TBA', 'Xenia Beliayeva', 'John Lemon']
2	57099	 Raumstation	Lerchentalstrasse, 9016 St. Gallen	611817	Beam me up, Proggy	 04 July 2014 	[' Spint Twist) ', ' Nutek)', '4.5.1. (Asisozial)', 'MYSTICAL COMPLEX (ISR', ' Nutek', 'Scheibenkleister (Synthetic)', 'Conker (Asisozial)', ' Mainstage', 'BIZZARE CONTACT (ISR', 'ROYAL FLUSH (ISR', 'Thales (Transzendenz)', ' Phantasm)', 'FriendlyFire (Asisozial)']
3	57099	 Raumstation	Lerchentalstrasse, 9016 St. Gallen	611816	Beam me up, Proggy!	 04 June 2014 	[' Spint Twist) ', ' Nutek)', '4.5.1. (Asisozial)', 'MYSTICAL COMPLEX (ISR', ' Nutek', 'Scheibenkleister (Synthetic)', 'Conker (Asisozial)', ' Mainstage', 'BIZZARE CONTACT (ISR', 'ROYAL FLUSH (ISR', 'Thales (Transzendenz)', ' Phantasm)', 'FriendlyFire (Asisozial)']
4	57099	 Raumstation	Lerchentalstrasse, 9016 St. Gallen	570724	Hardgroove Session 	 14 December 2013 	"['Fredy S', 'Skinner', 'Markova', ""Dj Du'ArT""]"
5	57099	 Raumstation	Lerchentalstrasse, 9016 St. Gallen	490478	Italo Business Showcase	 23 November 2013 	[' Alan Lector', ' Hyrez', ' Chris Rockwell', ' Marco Di Natale', ' Mr Jey Key', ' Rokka Animal. Tschespito', ' KlangfabriK', ' Towby Freytag', ' Josephine De Paris', 'Dandi & Ugo', ' Dodobeatz', ' Doublescore', ' AnGy KoRe', ' Marco Hess', ' Roger M vs Sytec', ' Andreas Neufeld', ' Dietti & Project Acid', ' Matthew H', ' Sergio Trillini', ' Mr.Loathing']
6	57099	 Raumstation	Lerchentalstrasse, 9016 St. Gallen	495033	Groove Selection Ost	 06 July 2013 	['DJ Flashback (SG) - Team Flashback', 'StromKreis (SG) - DAYAX Records / Raumstation ', 'A.S.I (SG) - asisozial ']
7	57099	 Raumstation	Lerchentalstrasse, 9016 St. Gallen	474534	Supercity	 19 May 2013 	[' Como Damar', ' Mäx Varano', 'Andrea Oliva', ' Sandro Vitalini']
8	57099	 Raumstation	Lerchentalstrasse, 9016 St. Gallen	474691	Supercity	 26 April 2013 	[' Mirco Mendosta', 'Mäx Varano', ' Miguel (Smalltown Collective)']
9	57099	 Raumstation	Lerchentalstrasse, 9016 St. Gallen	474536	Supercity	 19 April 2013 	['Delete']
10	57099	 Raumstation	Lerchentalstrasse, 9016 St. Gallen	454376	Cari Lekebusch at Hybrid Clubnight	 02 March 2013 	['Everstone', 'Cari Lekebusch', 'Fredy S']
11	57099	 Raumstation	Lerchentalstrasse, 9016 St. Gallen	438261	Detroit Express	 12 January 2013 	['MF (TG) Klangwelt 7', 'Jayjoe (SG)', 'D.I.C.E (SG)', 'Kreuzton (TG) Klangwelt 7 / Provisorium', 'Kleingross (SG)']
12	57099	 Raumstation	Lerchentalstrasse, 9016 St. Gallen	411241	1 Jear Raumstation	 05 October 2012 	['', '01:30 - 04:30 DJ Rush', '05:30 - Ende Fredy S', 'Stationfloor:', '03:00 - 05:00 Lars Lindenberg', '04:30 - 05:30 Edelstahl  (live)', '01:00 - 03:00 Schwarzes Gold', 'Raumfloor:', '23:00 - 01:30 Mary C Jane', '05:00 - Ende Jan B']
13	57099	 Raumstation	Lerchentalstrasse, 9016 St. Gallen	365755	Stahlplatten Label Night Presents A.Paul	 06 May 2012 	['Mary C Jane', 'A.Paul', 'Andreas Volt', 'Edelstahl (live)', 'Marcel Warren']
14	57099	 Raumstation	Lerchentalstrasse, 9016 St. Gallen	346283	4/4	 10 March 2012 	['ad.lib', 'Alex Bau', 'Squep', 'Silvision']
15	57099	 Raumstation	Lerchentalstrasse, 9016 St. Gallen	333028	Junksound Pres. Brian Sanhaji	 28 January 2012 	['Adimatique', 'Polonium 88/79', 'Squep', 'Kreuzton', 'Doppelpack', 'Everstone', 'BRIAN SANAHAJI (GER)']
16	57099	 Raumstation	Lerchentalstrasse, 9016 St. Gallen	333025	Parravision	 26 January 2012 	['José Parra', 'Armando']
17	57099	 Raumstation	Lerchentalstrasse, 9016 St. Gallen	323464	Log:in - '5 Years Jubilee Mikroton'	 14 January 2012 	[' Markus Kolz', ' Como Damar', 'Der Effekt', ' Andy Mader', ' Michael Kaufmann', ' Ton In Ton']
