	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	91515	 Cargo Club	Mattenstrasse 165,2503 Biel, Bienne	891643	Haze By Bassnsmile	 29 October 2016 	[' Paris)', 'Giusy S (Bassnsmile', 'Creative Discotheque (Rue duSoleil', ' God Made us Funky Records', ' Zh)', ' Act-Fact Records)', 'Phil Weeks (Robsoul', ' Underground Chronicles']
1	91515	 Cargo Club	Mattenstrasse 165,2503 Biel, Bienne	751515	Tini at Between Us & Secret Society	 02 October 2015 	"['tINI', ' Anthik', ' Actamin', "" Supermafia Vj's"", ' Disco Channel']"
2	91515	 Cargo Club	Mattenstrasse 165,2503 Biel, Bienne	742093	Guendalinadventure	 19 September 2015 	['Bella Sarris', ' Gianni Sabato', ' Mia', ' Sandro Kuhne']
3	91515	 Cargo Club	Mattenstrasse 165,2503 Biel, Bienne	704617	Allons Danser	 08 May 2015 	['Evento', 'Belfort', 'Milosz', 'Markus haZe', 'b.what?']
4	91515	 Cargo Club	Mattenstrasse 165,2503 Biel, Bienne	699562	Frequenz with Steve BUG	 11 April 2015 	['Nicolas Duvoisin ', 'Mattoo', 'Steve Bug ', 'Nelson De Jesus ']
5	91515	 Cargo Club	Mattenstrasse 165,2503 Biel, Bienne	697823	Hidden Realms	 10 April 2015 	['Exium', 'Milosz ', 'Le Chat-Man ', 'Shades']
6	91515	 Cargo Club	Mattenstrasse 165,2503 Biel, Bienne	699547	Frequenz with Randall M & Macromism	 28 March 2015 	['Skaos ', 'Recarey', 'ROMANO THE ALCHEMIST', 'EXTRASTUNDEN ', 'PSYCHO WEAZEL ', 'Macromism ', 'Mattoo', 'Randall M']
7	91515	 Cargo Club	Mattenstrasse 165,2503 Biel, Bienne	691279	Harmonic Vibrations	 21 March 2015 	['Monkey Breeders (Conscious Heads)', 'Milosz (USP)', 'Florian Rawyler (Schalldicht)', 'DiTosca (Human Garden Music)', 'Andrea Roma (Toolroom', ' Human Garden Music - ITA)']
8	91515	 Cargo Club	Mattenstrasse 165,2503 Biel, Bienne	681808	Frequenz with Barem	 28 February 2015 	['Mattoo', 'DIEGO ', 'The M&B Experiment ', 'JAVIER LEMA ', 'EXTRASTUNDEN ', 'Barem', 'James Mc Hale B2B SHE NIONIKA ', 'GRISE ']
9	91515	 Cargo Club	Mattenstrasse 165,2503 Biel, Bienne	677268	Guendalinadventure	 31 January 2015 	['Recarey', 'Gianni Sabato', 'Michel Cleis', 'Mia.']
10	91515	 Cargo Club	Mattenstrasse 165,2503 Biel, Bienne	664291	Harmonic Vibrations	 31 December 2014 	['', 'Mia Kaltes (Finefood - CH)', ' Phobiq - Italy)', 'Sasha Carassi (Drumcode', 'Ceri (Jaded - UK)', 'Milosz (USP - CH)']
11	91515	 Cargo Club	Mattenstrasse 165,2503 Biel, Bienne	666164	Frequenz with East END Dubs, Crocodile Soup & Luca Torre	 27 December 2014 	['', 'East End Dubs', 'Geronimo', 'EXTRASTUNDEN ', 'CROCODILE SOUP ', 'Luca Torre', 'Jan Penarrubia', 'Mattoo', 'GREG LA BRELLE', 'UMUT']
12	91515	 Cargo Club	Mattenstrasse 165,2503 Biel, Bienne	662255	Introducing Minimax m/ Nakadia	 26 December 2014 	['', 'Nakadia', 'GET PHYSICAL BERLIN / ANTS IBIZA', 'Nicola Koch', 'INTRODUCING MINIMAX BERN ', 'MISCHKULTUR BERN / BAILE MUSIK / TIP TAP RECORDS', 'PHIL RISS & ALI C ']
13	91515	 Cargo Club	Mattenstrasse 165,2503 Biel, Bienne	648149	Between Us with Finnebassen Biel	 13 December 2014 	['Finnebassen (Noir Music', ' Norway)', 'MANZI b2b SOCI', 'Anthik (Suara Rec. Barcelona)', 'B-FLY STEINER']
14	91515	 Cargo Club	Mattenstrasse 165,2503 Biel, Bienne	657885	Frequenz with Doubtingthomas	 29 November 2014 	[' Mattoo', ' Sandro Kuhne', 'DoubtingThomas', ' ZANO P', ' Mia Kaltes', ' DIEGO INDIGO', ' AMARO', ' KEIKOWASGREAT']
15	91515	 Cargo Club	Mattenstrasse 165,2503 Biel, Bienne	657881	Mindshift by Frequenz with Los Suruba	 22 November 2014 	[' Chronophone', ' Mattoo', ' Nelson De Jesus', ' ROOFTOP', ' REUNION', ' PSYCO WEAZEL', 'Los Suruba ', ' FLAVIO CALZADO ']
16	91515	 Cargo Club	Mattenstrasse 165,2503 Biel, Bienne	646983	Frequenz	 01 November 2014 	['DEYAN', 'ONNO', 'Terzini Bros', 'Recarey', 'JEHROMM', 'PIERICK', 'Mattoo', 'Alex Niggemann']
17	91515	 Cargo Club	Mattenstrasse 165,2503 Biel, Bienne	641101	Between Us Proudly presents: Tiefschwarz	 04 October 2014 	[' Barcelona)', 'Tiefschwarz (Souvenir Music Berlin - Basti) (dj set)', 'Jonathan Brown (Strange People) ', 'Zano.P (Bass N Smile)', 'Anthik (Suara Records']
18	91515	 Cargo Club	Mattenstrasse 165,2503 Biel, Bienne	614118	Save the Vinyl	 02 August 2014 	['', 'Girl | 3(B)engel', 'Mia Kaltes | Finefood rec. ', 'On the wheels of steel', ' strictly on vinyl!:', 'DJ Markus haZe | save the VINYL!']
19	91515	 Cargo Club	Mattenstrasse 165,2503 Biel, Bienne	597163	Deep Park Night, Positive Force 2k14	 16 May 2014 	['', 'LSM Productions', 'DJ STOPPA ', 'SHE NIONIKA', 'DJ BRADD ', 'DJ Giusy S', 'DJ RECAREY ', 'POSITIVE FORCE ', 'TECHNO UNDERGROUND']
20	91515	 Cargo Club	Mattenstrasse 165,2503 Biel, Bienne	594893	Go One Deeper	 09 May 2014 	['DJ ROMAN CLEISS', 'Dj Zano P.', 'She Dj Nionika']
