	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	95975	 Hangar 11 Club	Werkstrasse 16, 8400 Winterthur	896672	Perplex by Paradox	 04 November 2016 	['Aeffryboedy', 'Manuel Fischer', 'Ni.Ko']
1	95975	 Hangar 11 Club	Werkstrasse 16, 8400 Winterthur	840990	Wahrhaftiges Sesam Schliesse Dich	 18 June 2016 	['Riccardo De Cicco', 'The Toyboys', 'Beez & Simo', 'Bernardo', 'Marco Berto']
2	95975	 Hangar 11 Club	Werkstrasse 16, 8400 Winterthur	835325	Abflug Berlin mit Kellerkind & Jimi Jules	 11 June 2016 	['Sydney dry', 'Mini Floor by Schwarzmatt:', 'Riccardo De Cicco', 'Klang-Former', 'Kellerkind (Stil vor Talent)', 'Herr Vogel', 'Morgan Button', 'Sandro De Marco', ' Watergate Records)', 'Jimi Jules (Hive Audio']
3	95975	 Hangar 11 Club	Werkstrasse 16, 8400 Winterthur	840984	Tanz mal	 04 June 2016 	['', 'Fat Sushi (Suara', 'Beez & Simo', 'Bernardo', ' Hive Audio)']
4	95975	 Hangar 11 Club	Werkstrasse 16, 8400 Winterthur	837728	Wahrhaftig w Yokoo & Pasci	 28 May 2016 	"[' All Day I Dream', 'Diego Tony', ' Berlin)', ""Dj Pasci (Frieda's Büxe) "", 'Marco Berto ', 'YokoO (MUSIK GEWINNT FREUNDE']"
5	95975	 Hangar 11 Club	Werkstrasse 16, 8400 Winterthur	827848	Jan Blomqvist & Nici Faerber uvm.	 21 May 2016 	['Bernardo ', 'Nici Faerber', 'Riccardo De Cicco', 'Beez & Simo', 'Jan Blomqvist ']
6	95975	 Hangar 11 Club	Werkstrasse 16, 8400 Winterthur	829420	Pfingsttanz mit Friede & Freude & Mira	 15 May 2016 	['The MorningSounds', 'Marco Berto', 'Riccardo De Cicco', 'Mira (Katermukke', ' Berlin)', ' URSL', 'Beez & Simo', 'Luca Gerosa', 'The Toyboys', 'Bernardo']
7	95975	 Hangar 11 Club	Werkstrasse 16, 8400 Winterthur	830010	Pfingsttanz mit T:Raumfahrt	 14 May 2016 	['Miyagi (Katermukke', ' Hamburg)', 'Oliver von Mentlen', 'Valo', 'Garlo', 'Bongalow Family:', 'Jeremias', 'Luca Barletta', ' SOSO', 'Mario Neha', 'Toni Tanzbei', 'Ploonz']
8	95975	 Hangar 11 Club	Werkstrasse 16, 8400 Winterthur	826777	Naturklang Winterthur	 07 May 2016 	['Patrischa', 'Boris Werner ', 'RICCARDO DE CICCO', 'Andreas Ramos ', 'BERNARDO']
9	95975	 Hangar 11 Club	Werkstrasse 16, 8400 Winterthur	826774	Perplex by Paradox w Alci	 04 May 2016 	['Aeffryboedy', 'Alci ', 'Ni.Ko']
10	95975	 Hangar 11 Club	Werkstrasse 16, 8400 Winterthur	826772	Wahrhaftig w Juli N. More & Leon Licht	 30 April 2016 	['The MorningSounds', 'Leon Licht ', 'Smalltown Collective', 'Riccardo De Cicco', 'Juli N. More ', 'Bernardo', 'Onur Özman']
11	95975	 Hangar 11 Club	Werkstrasse 16, 8400 Winterthur	823190	Stereo Express & Umami (Live)	 23 April 2016 	['Polonium 88/79', 'Stereo Express ', 'Morgan Button', 'Beez & Simo', 'Umami ', 'Sandro Augello']
12	95975	 Hangar 11 Club	Werkstrasse 16, 8400 Winterthur	773131	I.Mmxii Meets 510k	 16 April 2016 	['Bella Sarris', 'Boy.An', 'Archie Hamilton', 'Sandro Kuhne']
13	95975	 Hangar 11 Club	Werkstrasse 16, 8400 Winterthur	820030	Vszhaw Clubbing presents: Pflichtmodul	 15 April 2016 	['Kyrill & Redford', 'Diego Tony ', 'Tim Knopf ']
14	95975	 Hangar 11 Club	Werkstrasse 16, 8400 Winterthur	819950	Adana Twins, Marco Berto & Riccardo De Cicco	 09 April 2016 	['Riccardo De Cicco ', 'Adana Twins ', 'The Toyboys ', 'Bernardo ', 'Marco Berto ', 'Beez & Simo ', 'And.re ']
15	95975	 Hangar 11 Club	Werkstrasse 16, 8400 Winterthur	811059	Claptone - Charmer Album Release World-Tour	 02 April 2016 	['Dave Neff', 'Riccardo De Cicco', 'Bernardo', 'Claptone ']
