,location,event,date,artists,genre
0,Winterthur,Die-Samstagsmatinée,2013-10-19,"[' Andrea Milova ', ' David Cielbala ']",traditional
1,Zürich,Au-bord-du-Lac-Léman,2013-10-19,"[' Christiane Gnägi ', ' Yuka Oechslin ']",Classic
2,Bern,Bernische-Chopin-Gesellschaft,2013-10-19,['Elmar Gasanov '],Classic
3,Bern,Streuet-aus-die-Blumen,2013-10-19,[' Marìa Cristina Kiehr '],Classic
4,Luzern,Piano-Entertainment,2013-10-19,['Fabienne Ambühl '],
5,Winterthur,Chloe-Charles,2013-10-19,['Chloe Charles '],
6,Wetzikon,Punk-Pogo-Gwitter,2013-10-19,"['Lokalmatadore ', ' Popperklopper ', ' Wilde Zeiten ', ' Paragraph 0815 ']",
7,Basel,Steaming-Satellites,2013-10-19,"['Steaming Satellites ', ' support: Operation Mission ']",
8,Basel,Windstärke-3,2013-10-19,"['Johannes Strobl ', ' Maximilian Sonnleitner ', ' Susanne Doll ']",Classic
9,Eulachhallen,Winterthur,2013-10-19,['The Bosshoss '],
10,Zürich,Classical-Highlights-Goldener-Herbst,2013-10-19,[' Maria Solozobova '],Classic
11,Luzern,Roby-Lakatos-&-Ensemble,2013-10-19,['Roby Lakatos '],traditional
12,Binningen,Königreich-des-Himmels,2013-10-19,"[' Agnieszka Budziska-Bennett ', ' Jane Achtman  ']",Classic
13,Aarau,Funeral-For-A-Friend,2013-10-19,"['Funeral For A Friend ', ' Gnarwolves ', ' The Tidal ']",Pop
14,Bern,WIM-deZentral,2013-10-19,"['Doneda-Kocher-Wolfarth ', ' Michel Doneda ', ' Jonas Kocher ', ' Christian Wolfarth ']",
15,Luzern,Feeling-of-Love,2013-10-19,"['Feeling of Love ', ' Tits ']",
16,Pratteln,Schandmaul,2013-10-19,['Schandmaul '],
17,null,Androbb,2013-10-19,['Androbb '],
18,Zürich,Metall-Magnet-Wechselschläge-am-Takt-der-Zeit,2013-10-19,['Sebastian Hofmann '],Classic
19,Zürich,Ryan-Sheridan,2013-10-19,['Ryan Sheridan '],Pop
20,Laufen,Nouveau-Monde,2013-10-19,"[' Patricia Petibon ', ' Pierre Hamon ', ' Joël Grare ']",Classic
21,Zürich,Fred-Wesley-&-the-New-JB's,2013-10-19,"[""Fred Wesley & the New JB's "", ' Fred Wesley ', ' Gary Winters ', ' Ernie Fields ', ' Barney McAll ', ' Reggie Ward ', ' Dwayne Dolphin ', ' Bruce Cox ']",
22,Palexpo,Le-Grand-Saconnex,2013-10-19,['Mylene Farmer '],
23,Klosters,Lisette-Spinnler-&-Christoph-Stiefel,2013-10-19,['Lisette Spinnler '],
24,Basel,Herwig-Gradischnig,2013-10-19,"[' Herwig Gradischnig ', ' Andy Scherrer ', ' Stephan Kurmann ', ' Jorge Rossy ']",
25,Liestal,Tango-pasión,2013-10-19,"[' Michael Zisman ', ' Annapaola Zisman-Jacomella ']",
26,Aarau,Milky-Chance,2013-10-19,['Milky Chance '],
27,Baden,Firehouse-Six-Plus-1,2013-10-19,"[' Alexander Etter ', ' Werner Gisin ', ' George Dormanowski ', ' Paul Fatzer ', ' Kurt Baer ', ' Baer ']",
28,Thônex,Fat-Freddy's-Drop,2013-10-19,"[""Fat Freddy's Drop ""]",
29,Sempach-Stadt,Famous-October,2013-10-19,"[' Sarah Bowman ', ' Rene Coal Burrrell ']",
30,null,Pedra-Preta,2013-10-19,"['Pedra Preta ', ' Munir Hossn ', ' Flo Reichle ']",
31,Bern,Silhouette-Tales,2013-10-19,['Silhouette Tales '],Pop
32,Bern,Itchy-Poopzkid,2013-10-19,['Itchy Poopzkid '],
33,Wetzikon,Madison-Violet,2013-10-19,['Madison Violet '],
34,Zürich,Liv-Summer,2013-10-19,"[' Liv Summer ', ' Maja Nydegger ', ' Moritz Meyer ', ' Dominic Eschmann ']",Pop
35,Thun,Björn-Again,2013-10-19,['Björn Again '],Pop
36,Luzern,Show-Goodron,2013-10-19,['Show Goodron '],Pop
37,Frick,Geoff-Achison-&-The-Souldiggers,2013-10-19,['Geoff Achison & The Souldiggers '],
38,null,Mike-Stern-Band,2013-10-19,"['Mike Stern Band ', ' Mike Stern ', ' Bob Malach ', ' Tom Kennedy ', ' Keith Carlock ']",
39,Winterthur,Farlow,2013-10-19,['Farlow '],Pop
40,Düdingen,Rotkeller,2013-10-19,['Rotkeller '],Electronic
41,Sankt-Gallen,All-Ship-Shape,2013-10-19,['All Ship Shape '],
42,Zürich,Reverie,2013-10-19,['Reverie '],
43,Solothurn,Panadox,2013-10-19,['Panadox '],
44,Weinfelden,Turntable-Rocker,2013-10-19,['DJs Turntable Rocker '],
45,Zürich,Audio-Legend,2013-10-19,['Audio Legend '],
46,Lausanne,Robedoor,2013-10-19,['Robedoor '],
47,Schaffhausen,Bauchklang,2013-10-19,['Bauchklang '],
48,Lausanne,Sexy-Sushi,2013-10-19,['Sexy Sushi '],Electronic
