location,event,date,artists,genre,coordinates
Zürich,Andy-Gruber-Band,2016-04-22,['Andy Gruber Band '],traditional,"(47.3768866, 8.541694)"
Basel,Lilian's-White-Party,2016-04-22,['DJ Raykard '],Pop,"(47.55959860000001, 7.588576099999999)"
Basel,Orgelspiel-zum-Feierabend,2016-04-22,['Martin Sander '],Classic,"(47.55959860000001, 7.588576099999999)"
Dietikon,Feierabendmusik,2016-04-22,['Bernhard Hörler '],Classic,"(47.4053885, 8.39977)"
Zürich,Oomph,2016-04-22,['Oomph '],Electronic,"(47.3768866, 8.541694)"
Zürich,Plusmacher,2016-04-22,['Plusmacher '],,"(47.3768866, 8.541694)"
Zürich,Klavierabend,2016-04-22,['Konstantin Scherbakov '],Classic,"(47.3768866, 8.541694)"
Winterthur,The-Bosshoss,2016-04-22,"['The Bosshoss ', ' The Sore Loosers ', ' Viper Sniper ']",Pop,"(47.49881959999999, 8.723688899999999)"
Bern,Internationales-Jazzfestival-Bern,2016-04-22,['T. S. Monk Sextet '],,"(46.9479739, 7.447446800000001)"
Glattbrugg,Klassisches-Konzert,2016-04-22,"[' Markus Brönnimann ', ' Barbara Tillmann ', ' Ulrike Jacoby ', ' Muriel Schweizer ', ' Anita Jehli ', ' Jaël Bertschinger ']",Classic,"(47.43468010000001, 8.567109799999999)"
Zürich,Les-espaces-acoustiques,2016-04-22,[' Esther Fritzsche '],Classic,"(47.3768866, 8.541694)"
Pratteln,Borknagar,2016-04-22,"['Borknagar ', ' Kampfar ', ' Diabolical ']",,"(47.5183198, 7.6919889)"
Basel,Liederabend,2016-04-22,"['Lia Andres ', ' Debora Büttner ', ' Raphael Höhn ', ' Tobias Wicky ', ' Maki Wiederkehr ', ' Elina Kaykova ']",Classic,"(47.55959860000001, 7.588576099999999)"
Bern,Schuberts-Tragische,2016-04-22,[' Veronika Eberle '],Classic,"(46.9479739, 7.447446800000001)"
Basel,Jazzfestival-Basel,2016-04-22,"[' Kenny Garrett ', ' Vernell Brown ', ' Corcoran Holt ', ' Marcus Baylor ', ' Rudy Bird ']",,"(47.55959860000001, 7.588576099999999)"
Bern,Oli-Kehrli,2016-04-22,['Oli Kehrli '],Pop,"(46.9479739, 7.447446800000001)"
Bern,Inside-the-Baxter-Building,2016-04-22,['Inside the Baxter Building '],Electronic,"(46.9479739, 7.447446800000001)"
Zürich,Die-Musik-Rundschau,2016-04-22,"[' Alex the Flipper ', ' Wrongkong ']",Electronic,"(47.3768866, 8.541694)"
Zürich,Buck-Wolfarth,2016-04-22,"[' Christian Buck ', ' Christian Wolfarth ']",,"(47.3768866, 8.541694)"
Luzern,Kontraste-I,2016-04-22,[' Roman Blum '],Classic,"(47.05016819999999, 8.309307200000001)"
Zürich,Nada-Surf,2016-04-22,"['Nada Surf ', ' Farewell Dear Ghost ']",,"(47.3768866, 8.541694)"
Münchenstein,Karikatura,2016-04-22,['Karikatura '],,"(47.5226485, 7.615066100000002)"
Heimberg,Die-Steinkönigin,2016-04-22,"[' Silvia Jost ', ' Kathrin Hartmann ']",Classic,"(46.7842257, 7.6054974)"
Zürich,Tankcsapda,2016-04-22,['Tankcsapda '],,"(47.3768866, 8.541694)"
Zürich,Sediment,2016-04-22,"[' Thomas Fischli ', ' Patricia Wyder ']",,"(47.3768866, 8.541694)"
Thun,Lifestream,2016-04-22,"[' Fabian Baur ', ' Simon Rupp ', ' Philipp Bühlmann ', ' Daniel Weber ']",,"(46.7579868, 7.6279881)"
Schaffhausen,Red-Hot-Chilli-Pipers,2016-04-22,['Red Hot Chilli Pipers '],,"(47.6958897, 8.6380488)"
Zürich,Il-Tempo-Gigante,2016-04-22,['Il Tempo Gigante '],Electronic,"(47.3768866, 8.541694)"
Basel,Jazzfestival-Basel,2016-04-22,"[' Johannes Enders ', ' Orrin Evans ', ' Joris Teepe ', ' Howard Curtis ']",,"(47.55959860000001, 7.588576099999999)"
Zürich,Heymoonshaker,2016-04-22,"[' Andrew Balcon ', ' David Crowe ']",,"(47.3768866, 8.541694)"
Zürich,Musik-im-Rausch,2016-04-22,"['Sabina Leone ', ' Deborah Marchetti ', ' Jonas Iten ', ' Daniel Vaiman ']",Classic,"(47.3768866, 8.541694)"
Liebefeld,Simon-Spiess-Trio,2016-04-22,"[' Simon Spiess ', ' Bänz Oester ', ' Jonas Ruther ']",,"(46.933331, 7.416668)"
