,artist,genres_spotify,genres_ra,main_genres,top3_genres,genre
0,Andy Gruber Band,None,None,,,
1,DJ Raykard,None,None,,,
2,Martin Sander,None,None,,,
3,Bernhard Hörler,None,None,,,
4,Oomph,"['german metal', 'industrial metal', 'industrial rock', 'neue deutsche harte']",None,,,
5,Plusmacher,"['deep german hip hop', 'german hip hop']",None,,,
6,Konstantin Scherbakov,"['classical piano', 'concert piano']",None,,,
7,The Bosshoss,"['comic', 'german pop', 'german pop rock']",None,,,
8,The Sore Loosers,None,None,,,
9,Viper Sniper,None,None,,,
10,T. S. Monk Sextet,None,,,,
11,Markus Brönnimann,None,,,,
12,Barbara Tillmann,None,,,,
13,Ulrike Jacoby,None,,,,
14,Muriel Schweizer,None,,,,
15,Anita Jehli,None,,,,
16,Jaël Bertschinger,None,,,,
17,Esther Fritzsche,None,,,,
18,Borknagar,"['atmospheric black metal', 'avantgarde metal', 'black metal', 'death metal', 'doom metal', 'folk metal', 'jazz metal', 'melodic death metal', 'metal', 'norwegian metal', 'pagan black metal', 'progressive metal', 'symphonic black metal', 'viking metal']",,,,
19,Kampfar,"['atmospheric black metal', 'avantgarde metal', 'black metal', 'dark black metal', 'folk metal', 'norwegian metal', 'pagan black metal', 'symphonic black metal', 'viking metal', 'voidgaze']",,,,
20,Diabolical,None,,,,
21,Lia Andres,None,,,,
22,Debora Büttner,None,,,,
23,Raphael Höhn,None,,,,
24,Tobias Wicky,None,,,,
25,Maki Wiederkehr,None,,,,
26,Elina Kaykova,None,,,,
27,Veronika Eberle,None,,,,
28,Kenny Garrett,"['bebop', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz fusion', 'soul jazz']",,,,
29,Vernell Brown,None,,,,
30,Corcoran Holt,None,,,,
31,Marcus Baylor,None,,,,
32,Rudy Bird,None,,,,
33,Oli Kehrli,None,,,,
34,Inside the Baxter Building,None,,,,
35,Alex the Flipper,None,,,,
36,Wrongkong,None,,,,
37,Christian Buck,None,,,,
38,Christian Wolfarth,['electroacoustic improvisation'],,,,
39,Roman Blum,None,,,,
40,Nada Surf,"['alternative rock', 'indie pop', 'indie rock', 'pop rock', 'power pop']",,,,
41,Farewell Dear Ghost,None,,,,
42,Karikatura,None,,,,
43,Silvia Jost,None,,,,
44,Kathrin Hartmann,None,,,,
45,Tankcsapda,"['hungarian pop', 'hungarian rock']",,,,
46,Thomas Fischli,None,,,,
47,Patricia Wyder,None,,,,
48,Fabian Baur,None,,,,
49,Simon Rupp,None,,,,
50,Philipp Bühlmann,None,,,,
51,Daniel Weber,None,,,,
52,Red Hot Chilli Pipers,"['celtic', 'celtic christmas', 'celtic rock', 'pipe band']",,,,
53,Il Tempo Gigante,None,,,,
54,Johannes Enders,['deep german jazz'],,,,
55,Orrin Evans,"['contemporary jazz', 'contemporary post-bop', 'deep jazz piano']",,,,
56,Joris Teepe,['jazz bass'],,,,
57,Howard Curtis,None,,,,
58,Andrew Balcon,None,,,,
59,David Crowe,['comedy'],,,,
60,Sabina Leone,None,,,,
61,Deborah Marchetti,None,,,,
62,Jonas Iten,None,,,,
63,Daniel Vaiman,None,,,,
64,Simon Spiess,None,,,,
65,Bänz Oester,None,,,,
66,Jonas Ruther,None,,,,
67,Josquin Rosset,None,,,,
68,Gabriel Meyer,None,,,,
69,Jan Geiger,None,,,,
70,Giuda,['oi'],,,,
71,Faz Waltz,None,,,,
72,Skerryvore,"['celtic rock', 'traditional scottish folk']",,,,
73,Fenster,None,,,,
74,Small Time Giants,None,,,,
75,Daniel Schenker,None,,,,
76,Felix Utzinger,None,,,,
77,Adrian Frey,None,,,,
78,Patrick Sommer,None,,,,
79,Pius Baschnagel,None,,,,
80,J Who,None,,,,
81,David Hope,None,,,,
82,Classicus Quartet,None,,,,
83,József Rácz,None,,,,
84,Réka Baksai,None,,,,
85,Péter Tornyai,None,,,,
86,Tamás Zétényi,None,,,,
87,dance animation by Alexander Martinez,None,,,,
88,Isabelle Schnöller,None,,,,
89,Matthias Arter,None,,,,
90,Markus Niederhauser,None,,,,
91,Matthias Bühlmann,None,,,,
92,Olivier Darbellay,None,,,,
93,Clinton Fearon,"['dancehall', 'dub', 'french reggae', 'reggae', 'reggae fusion', 'roots reggae']",,,,
94,Christian Mettler,None,,,,
95,Susanne Doll,"['classical christmas', 'deep orchestral']",,,,
96,Mayday Parade,"['emo', 'neo mellow', 'pixie', 'pop emo', 'pop punk', 'pop rock', 'post-teen pop', 'screamo', 'viral pop']",,,,
97,Our Last Night,"['emo', 'metalcore', 'pixie', 'pop punk', 'post-screamo', 'rap metal', 'screamo']",,,,
98,Man Overboard,"['alternative emo', 'anthem emo', 'emo', 'melodic hardcore', 'pixie', 'pop emo', 'pop punk', 'punk christmas', 'screamo']",,,,
99,Secrets,"['metalcore', 'pixie', 'pop emo', 'post-post-hardcore', 'post-screamo', 'screamo']",,,,
100,Divided By Friday,"['alternative pop rock', 'pixie', 'pop emo', 'punk christmas']",,,,
101,Doris Grossenbacher,None,,,,
102,Nelson Freire,"['classical christmas', 'classical performance', 'classical piano']",,,,
103,Mustang Sally,None,,,,
104,The Shanes,['polka'],,,,
105,Martin P. Werner,None,,,,
106,Urs C. Eigenmann,None,,,,
107,Erwin Pfeifer,None,,,,
108,Pino Buoro,None,,,,
109,Nicole Aravena,None,,,,
110,Berti Lampert,None,,,,
111,Marcel Buergi,None,,,,
112,Stefka Perifanova,None,,,,
113,Karin Dornbusch,None,,,,
114,von und mit Helena Winkelman,None,,,,
115,Rodrigo Botter Maio,None,,,,
116,Antonela Lucia,None,,,,
117,Miriam Sutter,None,,,,
118,Romeo Meyer,None,,,,
119,Erich Tiefenthaler,None,,,,
120,Christoph Seitler,None,,,,
121,Dave Maeder,None,,,,
122,Adi Gerlach,None,,,,
123,M'Adam,None,,,,
124,Sophie Adam,None,,,,
125,Florian Weiss,None,,,,
126,Anatole Buccella,None,,,,
127,Depeche Mode,"['dance rock', 'electronic', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']",,,,
128,Mars Williams,None,,,,
129,Barry Guy,"['avant-garde jazz', 'free improvisation', 'free jazz']",,,,
130,Andreas Schaerer,None,,,,
131,Lucas Niggli,None,,,,
132,Riders Connection,None,,,,
133,Mauro Valli,None,,,,
134,Dominik Röglin,None,,,,
135,Gerard,"['pixie', 'pop punk']",,,,
136,Gabriela Friedli,None,,,,
137,Christoph Irniger,None,,,,
138,Ziv Ravitz,None,,,,
139,Rembrandt Frerichs Trio,None,,,,
140,Rembrandt Frerichs,None,,,,
141,Tony Overwater,['jazz bass'],,,,
142,Vinsent Planjer,None,,,,
143,Eggs Laid By Tigers,None,,,,
144,Canteca De Macao,"['flamenco', 'latin alternative', 'spanish punk']",,,,
145,Rudy Rotta Band,['power blues-rock'],,,,
146,Trio Ivan Paduart,None,,,,
147,Philippe Aerts,None,,,,
148,Hans Van Oosterhout,None,,,,
149,John Butcher,"['avant-garde jazz', 'electroacoustic improvisation', 'free improvisation', 'free jazz']",,,,
150,Peter K Frey,None,,,,
151,Daniel Studer,None,,,,
152,Brother & Bones,['indie anthem-folk'],,,,
153,Dead Prez,"['alternative hip hop', 'dirty south rap', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'southern hip hop']",,,,
154,Thee Silver Mt. Zion Memorial Orchestra,None,,,,
155,David Philips,None,,,,
156,Viza,None,,,,
157,Boppin' B,"['psychobilly', 'rockabilly']",,,,
158,Junip,"['chamber pop', 'folk-pop', 'indie folk', 'indie pop', 'stomp and holler']",,,,
159,Oli Kuster,None,,,,
160,Claudia Marino,None,,,,
161,Raphael Heggendorn,None,,,,
162,Jérémie Jolo,None,,,,
163,Moop Mama,"['deep german pop rock', 'german hip hop', 'reggae fusion']",,,,
164,Die abstürzenden Brieftauben,None,,,,
165,Kalles Kaviar,['traditional ska'],,,,
166,Adieu Gary Cooper,None,,,,
167,Tamikrest,"['desert blues', 'mande pop', 'world']",,,,
168,Los Terribles De Tijuana,None,,,,
169,Philipp Eden,None,,,,
170,Dominique Girod,None,,,,
171,Nicolas Stocker,None,,,,
172,Simon Petermann,None,,,,
173,Christian Schütz,None,,,,
174,Samuel Würgler,None,,,,
175,Fabian Gutscher,None,,,,
176,Felix-Andreas Genner,None,,,,
177,Mischa Greull,None,,,,
178,George-Cosmin Banica,None,,,,
179,David Greenlees,None,,,,
180,Sandrine Piau,"['choral', 'opera']",,,,
181,Brigitte Hool,None,,,,
182,Joyce Kennedy,None,,,,
183,Glenn Murdock,None,,,,
184,Moses Mo,None,,,,
185,John Hayes,None,,,,
186,Wyzard,None,,,,
187,Dion Murdock,None,,,,
188,Michael Arbenz,None,,,,
189,Thomas Lähns,None,,,,
190,Florian Arbenz,None,,,,
191,Slum Village,"['alternative hip hop', 'deep indie r&b', 'detroit hip hop', 'hardcore hip hop', 'hip hop', 'indie r&b', 'neo soul', 'southern hip hop', 'turntablism', 'underground hip hop']",,,,
192,Dänu Brüggemann,None,,,,
193,Pesche Enderli,None,,,,
194,Ueli Enderli,None,,,,
195,Marc Rossier,None,,,,
196,Götz Widmann,"['german punk', 'kabarett', 'liedermacher', 'reggae fusion']",,,,
197,René Mosele,None,,,,
198,Dave Feusi,None,,,,
199,Alfred Vogel,None,,,,
200,Rainer Wöffler,None,,,,
201,Tanja Wirz,None,,,,
202,Christophe Dufaux,None,,,,
203,Gregor Müller,None,,,,
204,Dinner,None,,,,
205,Ebb & Flow Trio,None,,,,
206,Gabby Gordon,None,,,,
207,Kier Morten,None,,,,
208,Ronen Gorden,None,,,,
209,Omri Ziegele,None,,,,
210,Yves Theiler,None,,,,
211,Dario Sisera,None,,,,
212,Brothers in Blues,None,,,,
213,The Warlocks,"['dream pop', 'garage psych', 'garage rock', 'neo-psychedelic', 'noise pop', 'nu gaze', 'punk blues', 'shoegaze', 'space rock']",,,,
214,Dead Rabbits,['psych gaze'],,,,
215,Radioactivity,"['garage pop', 'garage punk', 'indie punk']",,,,
216,Bad Sports,"['garage pop', 'garage punk', 'indie punk']",,,,
217,Oil,"['australian alternative rock', 'australian pop', 'dance rock', 'new wave', 'rock']",,,,
218,Larry Woodley,None,,,,
219,Gaedon Luscher,None,,,,
220,Salvatore Lombardo,None,,,,
221,Studierende der ZHdK,None,,,,
222,Laurent Naouri,None,,,,
223,Sarah Tysman,None,,,,
224,The Hunters,None,,,,
225,Björk,"['alternative dance', 'art rock', 'chamber pop', 'electronic', 'icelandic pop', 'metropopolis', 'permanent wave', 'pop rock', 'synthpop', 'trip hop']",,,,
226,The Weeknd,"['canadian pop', 'pop']",,,,
227,Example,"['dance pop', 'edm', 'grime', 'hip house', 'house', 'pop', 'tropical house']",,,,
228,Wieni Keller,None,,,,
229,Buddha Scheidegger,None,,,,
230,Hans Schläpfer,None,,,,
231,Stevie Cochran,None,,,,
232,Nathaniel Robin Mann,None,,,,
233,Christoph Ess,None,,,,
234,Timo Steininger,None,,,,
235,Sebastian Schorr,None,,,,
236,Stephan Schottstätt,None,,,,
237,Yves Theier,None,,,,
238,Valentin Dietrich,None,,,,
239,Lukas Mantel,None,,,,
240,Scarlett O'Hanna,None,,,,
241,Gianluca Giger,None,,,,
242,Valerio Lepori,None,,,,
243,Mischa Maurer,None,,,,
244,Clemens Kuratle,None,,,,
245,Claudio Berger,None,,,,
246,Michael Wosahlik,None,,,,
247,Serge Hauri,None,,,,
248,Lukas Kurmann,None,,,,
249,Simon Gautsch,None,,,,
250,Rea Hunziker,None,,,,
251,Sascha Frischknecht,None,,,,
252,Tina Dico,None,,,,
253,Helgi Jonsson,None,,,,
254,Andreas Tschopp,None,,,,
255,Bernhard Bamert,None,,,,
256,Nils Wogram,['jazz brass'],,,,
257,Jan Schreiner,None,,,,
258,Pierre Favre,None,,,,
259,Markus Lauterburg,None,,,,
260,John Scofield,"['bebop', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'gypsy jazz', 'jazz', 'jazz blues', 'jazz christmas', 'jazz funk', 'jazz fusion', 'modern blues', 'soul jazz']",,,,
261,Larry Goldings,"['contemporary jazz', 'contemporary post-bop', 'soul jazz']",,,,
262,Greg Hutchinson,None,,,,
263,Soul Sernenade,None,,,,
264,Urban Frey,None,,,,
265,Louis Schwizgebel,None,,,,
266,Albissers Buntwösch,None,,,,
267,Marc Storace,None,,,,
268,Jonas Gross,None,,,,
269,Philipp Moll,None,,,,
270,Stewy von Wattenwyl,None,,,,
271,Kevin Chesham,None,,,,
272,Daniela Lorenz,None,,,,
273,Letizia Fiorenza,None,,,,
