,artist
0,Andy Gruber Band
1,DJ Raykard
2,Martin Sander
3,Bernhard Hörler
4,Oomph
5,Plusmacher
6,Konstantin Scherbakov
7,The Bosshoss
8,The Sore Loosers
9,Viper Sniper
10,T. S. Monk Sextet
11,Markus Brönnimann
12,Barbara Tillmann
13,Ulrike Jacoby
14,Muriel Schweizer
15,Anita Jehli
16,Jaël Bertschinger
17,Esther Fritzsche
18,Borknagar
19,Kampfar
20,Diabolical
21,Lia Andres
22,Debora Büttner
23,Raphael Höhn
24,Tobias Wicky
25,Maki Wiederkehr
26,Elina Kaykova
27,Veronika Eberle
28,Kenny Garrett
29,Vernell Brown
30,Corcoran Holt
31,Marcus Baylor
32,Rudy Bird
33,Oli Kehrli
34,Inside the Baxter Building
35,Alex the Flipper
36,Wrongkong
37,Christian Buck
38,Christian Wolfarth
39,Roman Blum
40,Nada Surf
41,Farewell Dear Ghost
42,Karikatura
43,Silvia Jost
44,Kathrin Hartmann
45,Tankcsapda
46,Thomas Fischli
47,Patricia Wyder
48,Fabian Baur
49,Simon Rupp
50,Philipp Bühlmann
51,Daniel Weber
52,Red Hot Chilli Pipers
53,Il Tempo Gigante
54,Johannes Enders
55,Orrin Evans
56,Joris Teepe
57,Howard Curtis
58,Andrew Balcon
59,David Crowe
60,Sabina Leone
61,Deborah Marchetti
62,Jonas Iten
63,Daniel Vaiman
64,Simon Spiess
65,Bänz Oester
66,Jonas Ruther
67,Josquin Rosset
68,Gabriel Meyer
69,Jan Geiger
70,Giuda
71,Faz Waltz
72,Skerryvore
73,Fenster
74,Small Time Giants
75,Daniel Schenker
76,Felix Utzinger
77,Adrian Frey
78,Patrick Sommer
79,Pius Baschnagel
80,J Who
81,David Hope
82,Classicus Quartet
83,József Rácz
84,Réka Baksai
85,Péter Tornyai
86,Tamás Zétényi
87,dance animation by Alexander Martinez
88,Isabelle Schnöller
89,Matthias Arter
90,Markus Niederhauser
91,Matthias Bühlmann
92,Olivier Darbellay
93,Clinton Fearon
94,Christian Mettler
95,Susanne Doll
96,Mayday Parade
97,Our Last Night
98,Man Overboard
99,Secrets
100,Divided By Friday
101,Doris Grossenbacher
102,Bernhard Hörler
103,Nelson Freire
104,Mustang Sally
105,The Shanes
106,Martin P. Werner
107,Urs C. Eigenmann
108,Erwin Pfeifer
109,Pino Buoro
110,Nicole Aravena
111,Berti Lampert
112,Marcel Buergi
113,Stefka Perifanova
114,Karin Dornbusch
115,von und mit Helena Winkelman
116,Rodrigo Botter Maio
117,Antonela Lucia
118,Miriam Sutter
119,Romeo Meyer
120,Erich Tiefenthaler
121,Christoph Seitler
122,Dave Maeder
123,Adi Gerlach
124,M'Adam
125,Sophie Adam
126,Florian Weiss
127,Anatole Buccella
128,Depeche Mode
129,Mars Williams
130,Barry Guy
131,Andreas Schaerer
132,Lucas Niggli
133,Riders Connection
134,Mauro Valli
135,Dominik Röglin
136,Gerard
137,Gabriela Friedli
138,Christoph Irniger
139,Ziv Ravitz
140,Rembrandt Frerichs Trio
141,Rembrandt Frerichs
142,Tony Overwater
143,Vinsent Planjer
144,Eggs Laid By Tigers
145,Canteca De Macao
146,Rudy Rotta Band
147,Trio Ivan Paduart
148,Philippe Aerts
149,Hans Van Oosterhout
150,John Butcher
151,Peter K Frey
152,Daniel Studer
153,Brother & Bones
154,Dead Prez
155,Thee Silver Mt. Zion Memorial Orchestra
156,David Philips
157,Viza
158,Boppin' B
159,Junip
160,Oli Kuster
161,Claudia Marino
162,Raphael Heggendorn
163,Jérémie Jolo
164,Moop Mama
165,Die abstürzenden Brieftauben
166,Kalles Kaviar
167,Adieu Gary Cooper
168,Tamikrest
169,Los Terribles De Tijuana
170,Philipp Eden
171,Dominique Girod
172,Nicolas Stocker
173,Simon Petermann
174,Christian Schütz
175,Samuel Würgler
176,Fabian Gutscher
177,Felix-Andreas Genner
178,Mischa Greull
179,George-Cosmin Banica
180,David Greenlees
181,Sandrine Piau
182,Brigitte Hool
183,Joyce Kennedy
184,Glenn Murdock
185,Moses Mo
186,John Hayes
187,Wyzard
188,Dion Murdock
189,Michael Arbenz
190,Thomas Lähns
191,Florian Arbenz
192,Slum Village
193,Dänu Brüggemann
194,Pesche Enderli
195,Ueli Enderli
196,Marc Rossier
197,Götz Widmann
198,René Mosele
199,Dave Feusi
200,Patrick Sommer
201,Alfred Vogel
202,Rainer Wöffler
203,Tanja Wirz
204,Deborah Marchetti
205,Christophe Dufaux
206,Gregor Müller
207,Dinner
208,Ebb & Flow Trio
209,Gabby Gordon
210,Kier Morten
211,Ronen Gorden
212,Omri Ziegele
213,Yves Theiler
214,Dario Sisera
215,Brothers in Blues
216,The Warlocks
217,Dead Rabbits
218,Radioactivity
219,Bad Sports
220,Oil
221,Larry Woodley
222,Gaedon Luscher
223,Salvatore Lombardo
224,Studierende der ZHdK
225,Laurent Naouri
226,Sarah Tysman
227,The Hunters
228,Björk
229,The Weeknd
230,Example
231,Wieni Keller
232,Buddha Scheidegger
233,Hans Schläpfer
234,Stevie Cochran
235,Nathaniel Robin Mann
236,Christoph Ess
237,Timo Steininger
238,Sebastian Schorr
239,Stephan Schottstätt
240,Yves Theier
241,Valentin Dietrich
242,Lukas Mantel
243,Scarlett O'Hanna
244,Gianluca Giger
245,Valerio Lepori
246,Mischa Maurer
247,Clemens Kuratle
248,Claudio Berger
249,Michael Wosahlik
250,Serge Hauri
251,Lukas Kurmann
252,Simon Gautsch
253,Rea Hunziker
254,Sascha Frischknecht
255,Tina Dico
256,Helgi Jonsson
257,Andreas Tschopp
258,Bernhard Bamert
259,Nils Wogram
260,Jan Schreiner
261,Pierre Favre
262,Markus Lauterburg
263,John Scofield
264,Larry Goldings
265,Greg Hutchinson
266,Soul Sernenade
267,Urban Frey
268,Louis Schwizgebel
269,Albissers Buntwösch
270,Marc Storace
271,Jonas Gross
272,Philipp Moll
273,Stewy von Wattenwyl
274,Kevin Chesham
275,Daniela Lorenz
276,Letizia Fiorenza
277,David Sautter
278,Fabian Carisch
279,Giulia Cudini
280,Lydia Liebi
281,Bridget Greason-Sharp
282,Mathias Clausen
283,Leana Schmid
284,Maria Cristina Kiehr
285,Miriam Feuersinger
286,Lisa Lüthi
287,Marcus Niedermeyr
288,Monika Baer
289,Sergio Ciomei
290,Anica Defuns
291,Stephanie Pfeiffer
292,Franziska von Fischer
293,Fabienne Hadorn
294,Krishan Krone
295,Michael Wolf
296,Markus Mathis
297,Maru Rieben
298,Ruben Drole
299,Muriel Schwarz
300,Jonas Kreienbühl
301,Andrea Wiesli
302,Judith Imhof
303,Mirjam Blessing
304,Richard Resch
305,Ernst Buscagne
306,Christoph Rudolf
307,Ulla Westvik
308,Felix Rienth
309,Ismael Arróniz
310,Marc Storace
311,Jonas Gross
312,Andreas Liebig
313,Nord-Hofmann-Stahel
314,Samir Joubran
315,Wissam Joubran
316,Adnan Joubran
317,Youssef Hbeisch
318,Markus Hächler
319,Paul Tantanini
320,John Service
321,Thomas Grüninger
322,Rolf Winiger
323,Jonas Winterhalter
324,Sebastian von Keler
325,Oliver Friedli
326,Hagen Neye
327,Jan Schwinning
328,Xylouris White
329,Margrit Fluor
330,Marni Schwonberg
331,Sara Lilly
332,Anja Kühn
333,Nicolas Savoy
334,Christian Villiger
335,Hidden Orchestra
336,support: Andrea Belfi
337,Lisa Batiashvili
338,Valeriy Sokolov
339,Gérard Caussé
340,Gautier Capuçon
341,Frank Braley
342,Editors
343,Bugge Wesseltoft
344,Lisa Berg
345,David Ruosch
346,Christoph Grab
347,Christian Ginat
348,Stefan Müller
349,Johann Sonnleitner
350,Jozsef Sarkozy
351,Anthony Caputo
352,Amadeus Fries
353,Fabian Hänni
354,Elio Amberg
355,Laura Schenk
356,Duke Gale
357,Lukas Kohler
358,Murder By Death
359,Darkmoon
360,Finsterforst
361,Rachel Harnisch
362,Judith Schmid
363,Martin Zysset
364,Klaus Mertens
365,André Briel
366,Luca Sestak
367,Luca Sestak
368,Tyler The Creator
369,Cristina Branco Quartett
370,Cristina Branco
371,Ricardo Dias
372,Jose Manuel Neto
373,Bernardo Moreira
374,Gregor Meyle
375,Raphael Walser
376,Roland Wäspe
377,Urs Müller
378,David Meier
379,Roman Nowka
380,Samuel Kühni
381,Gino Sitson
382,James Uhart
383,Stephan Kurmann
384,Julio Barreto
385,Michael Süess
386,Nicolas Indlekofer
387,Basil Zinsli
388,Daniel Affentranger
389,Lars Schmid
390,Pino Zortea
391,Carlos Ramirez
392,Freddy Benitez
393,Daniel Portmann
394,Arthur Furrer
395,Dead City Ruins
396,Sophie's Earthquake
397,Mike & the Mechanics
398,Everton Coroné Trio
399,Live: Quinteto Mulenga
400,Weekend Phantom
401,Wehadtoleave
402,Big John Bates
403,Atze Datze
404,Galmet
405,Dirty Fences
406,Go Zilla
407,Vojko Huter
408,Paul Amereller
409,Xaver Rüegg
410,Tapiwa Svosve
411,R. A. The Rugged Man
412,DJs Texx Be
413,The Goddamn Gallows
414,Martin Grubinger
415,Valer Sabadus
416,Martin Grubinger
417,Valer Sabadus
418,Karen Gomyo
419,Milo Karadagli
420,Maria Anikina
421,Rie Koyama
422,Oleksandra Kopan
423,Volker Biesenbender
424,Bernhard Bücker
425,Michelagelo Rinaldi
426,Trigger
427,Ian Maksin
428,Jaco McPhearson
429,Stormy Monday
430,John Dolby DiBoy
431,Tom Wallie
432,Pedro Jezerbaum
433,Joaquín Achúcarro
434,Alex Hendriksen Quartet
435,Christoph Ràcz
436,Ferenc Rados
437,Ludwig Geiger
438,Jürg Bitterli
439,Esther Hoppe
440,Jürg Dähler
441,Thomas Grossenbacher
442,Christine Pollerus
443,Tribute to George Gruntz
444,Downright
445,The Goon Mat & Lord Benardo
446,Daniil Trifonov
447,Caro Emerald
448,Daniel Hope
449,Nancy Wu
450,Lawrence Power
451,Jonathan Cohen
452,Marie-Elisabeth Hecker
453,Leigh Mesh
454,Anne Sofie von Otter
455,Simon Crawford-Phillips
456,Martin Helmchen
457,Archive
458,Meshell Ndegeocello
459,Meshell Ndegeocello
460,Chris Bruce
461,Jebin Bruni
462,Earl Harvin
463,Konshens
464,Jaco McPhearson
465,Stormy Monday
466,John DiBoy
467,Tom Wallie
468,Pedro Jezerbaum
469,Works by Peter Appenzeller
470,Orchester der Suworow Militärakademie Moskau
471,Shanghai Jiangzhou Drum Company
472,New Zealand Army Band
473,Monte Carlo
474,Tatjana Bucher
475,Daniel Notter
476,Hannes Hänggli
477,Jürgen Drews
478,Philippe Litzler
479,Heinz Saurer
480,Paulo Muñoz-Toledo
481,Seth Quistad
482,Bill Thomas
483,Thomas Achermann
484,Andi Seidt
485,Martin Zangerl
486,Monte Carlo
487,Orchester der Suworow Militärakademie Moskau
488,Shanghai Jiangzhou Drum Company
489,New Zealand Army Band
490,Raphael Christen
491,Anna Katharina Künzi
492,Simon Witzig
493,Tomas Grossenbacher
494,Renato Kaiser
495,Christiane Engel
496,Manuel Leuenberger
497,Die Amigos
498,Amélie Gehweiler
499,Isabel Gehweiler
500,Marret Popp
501,Sandro Müller
502,Barbara Müller
503,Adrien Pièce
504,Maria C. Schmid
505,Tino Brütsch
506,René Perler
507,Res Kielholz
508,Andreas Pantli
509,Regula Konrad
510,Pamina Blum
511,Eriko Wakita
512,Maria C. Schmid
513,Tino Brütsch
514,René Perler
515,Praxedis Hug-Rütti
516,Praxedis Geneviève Hug
517,Daniel Hope
518,Willi Zimmermann
519,Romano Drom
520,Juan De Gloria
521,Yaron Hermann & Adam Baldych Duo
522,Yaron Hermann
523,Adam Baldych
524,Benjamin Forster
525,Klaus Schwärzler
526,Malcolm Bilson
527,Zvi Meniker
528,Ruth Holton
529,Franco Battiato
530,Ustad Shafqat Ali Khan
531,Ann Allen
532,Corina Marti
533,Caroline Ritchie
534,works by Ann Allen
535,Corina Marti
536,Caroline Ritchie
537,Jakub Savytsky
538,Anna Dzialak Savytsky
539,Anna Stephány
540,Alana Amram & The Rough Gems
541,Hackensaw Boys
542,Trentemøller
543,Leila Martial Baa Box
544,Sylvan Esso
545,Oliver Töngi
546,Alestorm
547,Arkona
548,Thyrfing
549,Ex Deo
550,Wolfchant
551,Borholm
552,Marianne Racine
553,Daniel Baschnagel
554,Patrick Sommer
555,Pius Baschnagel
556,Werner Bärtschi
557,Emerson String Quartet
558,Born Of Osiris
559,After The Burial
560,The Haarp Machine
561,Monuments
562,Mates of Mine
563,Jonathan Kreisberg
564,Will Vinson
565,Rick Rosato
566,Colin Stranahan
567,Amaral
568,Eva Amaral
569,Juan Aguirre
570,Julieta Venegas
571,Eveleen Olsen
572,Annette Kappeler
573,Verena Zauner
574,Emanuel Schmelzer
575,Stefanie Suhner
576,Andreas Lareida
577,Lucca Fries
578,Moritz Meyer
579,Ramón Oliveras
580,Aurea Marston
581,Kim Bartlett
582,Guido Friebel
583,Peter Mächler
584,Antoine Läng
585,Shane Perlowin
586,Vincent Membrez
587,Raphael Ortis
588,Lionel Friedli
589,Carmen Souza - Kachupada
590,Carmen Souza
591,Theo Pascal
592,Filipe Melo
593,Mauricio Zottarelli
594,Marc Copland
595,Daniel Schläppi
596,Michael Zisman
597,Philip Henzi
598,Lorenz Beyeler
599,Tobias Friedli
600,The Lumineers
601,Langhorne Slim
602,Rumbero
603,Girls Names
604,Schnaak
605,Peter K Frey
606,Jan Schlegel
607,Daniel Studer
608,Christian Weber
609,Stefan Meier
610,Julia Malkova
611,Alexander Kaganovsky
612,Rebecca Spiteri
613,Richard Lipiec
614,Martin Hugelshofer
615,Jean-Yves Petiot
616,Fernand Schlumpf
617,Miranda de Miguel
618,Nino Aurelio Gmünder
619,Maya Boog
620,Barbara Doll
621,Isabelle Schnöller
622,Emanuel Rütsche
623,Jun Onaka
624,Luisella De Pietro
625,Violetta Radomirska
626,Beatrice Voellmy
627,Anne-May Krüger
628,Claudia Weissbarth
629,Nils Kohler
630,Dorothee Mields
631,Teo Gheorghiu
632,Martin Heini
633,Praxedis Genevieve Hug
634,Matthias Ziegler
635,Christoph Baumann
636,Reto Senn
637,Adamstown
