festival,location,date,artist
BIMBADABOUM FESTIVAL,Chenes Bougeries,2014-Aout-14,SONIA GRIMM
BIMBADABOUM FESTIVAL,Chenes Bougeries,2014-Aout-15,TITOFF
BIMBADABOUM FESTIVAL,Chenes Bougeries,2014-Aout-16,KEEN V
BIMBADABOUM FESTIVAL,Chenes Bougeries,2014-Aout-17,HENRI DES
BIMBADABOUM FESTIVAL,Chenes Bougeries,2013-Aout-15,KRYSTINE
BIMBADABOUM FESTIVAL,Chenes Bougeries,2013-Aout-16,GAETAN
BIMBADABOUM FESTIVAL,Chenes Bougeries,2013-Aout-17,SONIA GRIMM
BIMBADABOUM FESTIVAL,Chenes Bougeries,2013-Aout-18,POW WOW STORY
BIMBADABOUM FESTIVAL,Chenes Bougeries,2012-Aout-16,MONSIEUR LUNE (L'INCROYABLE HISTOIRE DE GASTON ET LUCIE)
BIMBADABOUM FESTIVAL,Chenes Bougeries,2012-Aout-17,"FRANZ (Francois Velliet / ""BAS LES PATTES""))"
BIMBADABOUM FESTIVAL,Chenes Bougeries,2012-Aout-18,MONSIEUR LUNE (L'INCROYABLE HISTOIRE DE GASTON ET LUCIE)
BIMBADABOUM FESTIVAL,Chenes Bougeries,2012-Aout-19,GAETAN
BIMBADABOUM FESTIVAL,Chenes Bougeries,2011-Aout-18,PIERRE PERRET
BIMBADABOUM FESTIVAL,Chenes Bougeries,2011-Aout-19,SONIA GRIMM
BIMBADABOUM FESTIVAL,Chenes Bougeries,2011-Aout-20,CHANTAL GOYA
BIMBADABOUM FESTIVAL,Chenes Bougeries,2011-Aout-21,BRICE KAPEL
