festival,location,date,artist
ELECTRON,Geneve,2015-Avr.-02,BOYS NOIZE
ELECTRON,Geneve,2015-Avr.-03,JOHN TALABOT
ELECTRON,Geneve,2015-Avr.-04,SQUARE PUSHER
ELECTRON,Geneve,2015-Avr.-05,SBTRKT
ELECTRON,Geneve,2013-Mar.-28,ATARI TEENAGE RIOT
ELECTRON,Geneve,2013-Mar.-28,GUI BORATTO
ELECTRON,Geneve,2013-Mar.-28,PSYBERPUNK
ELECTRON,Geneve,2013-Mar.-28,TROJAN SOUND SYSTEM
ELECTRON,Geneve,2013-Mar.-28,MADFUNK
ELECTRON,Geneve,2013-Mar.-29,RONE
ELECTRON,Geneve,2013-Mar.-29,CLOCK OPERA
ELECTRON,Geneve,2013-Mar.-29,EGYPTOLOGY
ELECTRON,Geneve,2013-Mar.-29,KAS PRODUCT
ELECTRON,Geneve,2013-Mar.-29,THE BUG
ELECTRON,Geneve,2013-Mar.-29,DJ CROWDPLEASER
ELECTRON,Geneve,2013-Mar.-30,JETS
ELECTRON,Geneve,2013-Mar.-30,TIGA
ELECTRON,Geneve,2013-Mar.-30,SOGAR
ELECTRON,Geneve,2013-Mar.-30,THEO PARRISH
ELECTRON,Geneve,2013-Mar.-30,OBF
ELECTRON,Geneve,2013-Mar.-30,MYAH
ELECTRON,Geneve,2013-Mar.-31,ROBERT ROCCOBELLY
ELECTRON,Geneve,2013-Mar.-31,STEREO HYPNOSIS
ELECTRON,Geneve,2012-Avr.-05,KANGDING RAY
ELECTRON,Geneve,2012-Avr.-05,DJANGO DJANGO
ELECTRON,Geneve,2012-Avr.-05,DRUMATIK
ELECTRON,Geneve,2012-Avr.-06,CHIEF
ELECTRON,Geneve,2012-Avr.-06,OPUSWERK
ELECTRON,Geneve,2012-Avr.-06,MIK IZIF
ELECTRON,Geneve,2012-Avr.-06,SCRATCH MASSIVE
ELECTRON,Geneve,2012-Avr.-07,BRANDT BRAUER FRICK
ELECTRON,Geneve,2012-Avr.-07,RICO (OBF)
ELECTRON,Geneve,2012-Avr.-07,TREVOR JACKSON
ELECTRON,Geneve,2012-Avr.-07,DJ VINCZ LEE
ELECTRON,Geneve,2012-Avr.-07,YANG TAO
ELECTRON,Geneve,2012-Avr.-07,CHRISTINE GROULT
ELECTRON,Geneve,2012-Avr.-07,SACRED SELECTIONS -MATT STOKES
ELECTRON,Geneve,2012-Avr.-08,KONONO NÂ°1
ELECTRON,Geneve,2012-Avr.-08,DJ COBEIA
ELECTRON,Geneve,2011-Avr.-21,NITZER EBB
ELECTRON,Geneve,2011-Avr.-21,YAN!
ELECTRON,Geneve,2011-Avr.-21,FLORENT MATHON
ELECTRON,Geneve,2011-Avr.-21,LOEFAH
ELECTRON,Geneve,2011-Avr.-21,NIKOLAS NEECKE
ELECTRON,Geneve,2011-Avr.-22,DC BREAKS
ELECTRON,Geneve,2011-Avr.-22,TWO LEFT EARS
ELECTRON,Geneve,2011-Avr.-22,"RYOJI IKEDA / ""SUPERPOSITION"""
ELECTRON,Geneve,2011-Avr.-22,COSMIC BASTARDS
ELECTRON,Geneve,2011-Avr.-23,BEARDYMAN
ELECTRON,Geneve,2011-Avr.-23,DRADIS & BUCK CHERRY
ELECTRON,Geneve,2011-Avr.-23,MONDKOPF
ELECTRON,Geneve,2011-Avr.-23,BORN BJORG
ELECTRON,Geneve,2011-Avr.-23,CARTER TUTTI
ELECTRON,Geneve,2011-Avr.-24,ISOLEE
ELECTRON,Geneve,2010-Avr.-01,MIXHELL
ELECTRON,Geneve,2010-Avr.-01,BRODINSKI
ELECTRON,Geneve,2010-Avr.-02,RENAISSANCE MAN
ELECTRON,Geneve,2010-Avr.-02,GREEN VELVET
ELECTRON,Geneve,2010-Avr.-02,VLADISLAV DELAY
ELECTRON,Lausanne,2010-Avr.-02,KALABRESE AND THE RUMPELORCHESTRA
ELECTRON,Geneve,2010-Avr.-03,CLAUDE VONSTROKE
ELECTRON,Geneve,2010-Avr.-03,ALVA NOTO aka CARSTEN NICOLAI
ELECTRON,Lausanne,2010-Avr.-03,CHATON
ELECTRON,Geneve,2010-Avr.-04,ABE DUQUE
ELECTRON,Geneve,2009-Avr.-09,RICO TUBBS
ELECTRON,Geneve,2009-Avr.-09,2 MANY DJ'S
ELECTRON,Geneve,2009-Avr.-09,SALLY DOHERTY
ELECTRON,Geneve,2009-Avr.-10,AGORIA
ELECTRON,Geneve,2009-Avr.-10,DJ MEHDI
ELECTRON,Geneve,2009-Avr.-10,HELIOCENTRICS
ELECTRON,Geneve,2009-Avr.-10,MR SCRUFF
ELECTRON,Geneve,2009-Avr.-11,DJ CHLOE
ELECTRON,Geneve,2009-Avr.-11,MODESELEKTOR
ELECTRON,Geneve,2009-Avr.-11,NATIS
ELECTRON,Geneve,2009-Avr.-12,PRINS THOMAS
ELECTRON,Geneve,2008-Mar.-20,AUTECHRE
ELECTRON,Geneve,2008-Mar.-21,DOP
ELECTRON,Geneve,2008-Mar.-22,MACKIE
ELECTRON,Geneve,2008-Mar.-23,LULUXPO
ELECTRON,Geneve,2007-Avr.-05,ADAM KESHER
ELECTRON,Geneve,2007-Avr.-08,TAYLOR SAVVY
