festival,location,date,artist
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-02,JOHN ADAMS
FESTIVAL DE LA BATIE,Les Acacias,2016-Sep.-02,BORIS CHARMATZ
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-02,A LOVE FROM OUTER SPACE
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-03,CAROLINE BERGVALL
FESTIVAL DE LA BATIE,Meyrin,2016-Sep.-03,GUILHERME BOTELHO
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-03,LUBOMYR MELNYK
FESTIVAL DE LA BATIE,Les Acacias,2016-Sep.-03,LISBETH GRUWEZ
FESTIVAL DE LA BATIE,Les Acacias,2016-Sep.-03,BORIS CHARMATZ
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-03,JACQUES
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-04,CAROLINE BERGVALL
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-04,MARIE CAROLINE HOMINAL
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-04,THOMAS HAUERT
FESTIVAL DE LA BATIE,Meyrin,2016-Sep.-04,GUILHERME BOTELHO
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-04,EVELINE MURENBEELD
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-04,OMAR ABUSAADA
FESTIVAL DE LA BATIE,Les Acacias,2016-Sep.-04,LISBETH GRUWEZ
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-05,MARIE CAROLINE HOMINAL
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-05,OMAR ABUSAADA
FESTIVAL DE LA BATIE,Meyrin,2016-Sep.-05,GUILHERME BOTELHO
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-05,CAT POWER
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-05,EVELINE MURENBEELD
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-06,CAROLINE BERGVALL
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-06,EVELINE MURENBEELD
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-06,MARIE CAROLINE HOMINAL
FESTIVAL DE LA BATIE,Annemasse,2016-Sep.-06,CHRISTIAN RIZZO
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-06,BEAK >
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-07,CAROLINE BERGVALL
FESTIVAL DE LA BATIE,Grand Saconnex,2016-Sep.-07,BERTRAND BOSSARD
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-07,THOMAS HAUERT
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-07,CAROLINE BERGVALL
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-07,EVELINE MURENBEELD
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-07,PABLO LARRAIN
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-07,MARIE CAROLINE HOMINAL
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-07,MIKE SIMONETTI
FESTIVAL DE LA BATIE,Grand Saconnex,2016-Sep.-08,BERTRAND BOSSARD
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-08,EDH
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-08,THOMAS HAUERT
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-08,MARIE CAROLINE HOMINAL
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-08,CAROLINE BERGVALL
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-08,PABLO LARRAIN
FESTIVAL DE LA BATIE,Nyon,2016-Sep.-08,CHARLIE CUNNINGHAM
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-09,CAROLINE BERGVALL
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-09,MARIE CAROLINE HOMINAL
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-09,BERTRAND BOSSARD
FESTIVAL DE LA BATIE,Le Lignon,2016-Sep.-09,LAURENCE YADI
FESTIVAL DE LA BATIE,Lausanne,2016-Sep.-09,PEACHES
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-09,DIMITRI DE PERROT
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-09,MAMIKO MOTTO
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-10,CAROLINE BERGVALL
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-10,CAROLINE BERGVALL
FESTIVAL DE LA BATIE,Onex,2016-Sep.-10,BERTRAND BOSSARD
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-10,POL
FESTIVAL DE LA BATIE,Le Lignon,2016-Sep.-10,LAURENCE YADI
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-10,MILO RAU
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-10,POL
FESTIVAL DE LA BATIE,Plan les Ouates,2016-Sep.-10,RACHID OURAMDANE
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-10,DIMITRI DE PERROT
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-10,"RYOJI IKEDA / ""SUPERPOSITION"""
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-10,KATE WAX aka AISHA DEVI
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-11,CAROLINE BERGVALL
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-11,CAROLINE BERGVALL
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-11,BERTRAND BOSSARD
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-11,POL
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-11,POL
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-11,MILO RAU
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-11,POL
FESTIVAL DE LA BATIE,Le Lignon,2016-Sep.-11,NICOLAS CANTILLON
FESTIVAL DE LA BATIE,Le Lignon,2016-Sep.-12,LAURENCE YADI
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-12,MILO RAU
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-12,CAT'S EYES
FESTIVAL DE LA BATIE,Les Acacias,2016-Sep.-12,CECILIA BENGOLEA
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-13,CAROLINE BERGVALL
FESTIVAL DE LA BATIE,Onex,2016-Sep.-13,MIOSSEC
FESTIVAL DE LA BATIE,Divonne Les Bains,2016-Sep.-13,SALIA SANOU
FESTIVAL DE LA BATIE,Les Acacias,2016-Sep.-13,FRANCOIS CHAIGNAUD
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-14,CAROLINE BERGVALL
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-14,PATRICK FRANK
FESTIVAL DE LA BATIE,Les Acacias,2016-Sep.-14,FRANCOIS CHAIGNAUD
FESTIVAL DE LA BATIE,Divonne Les Bains,2016-Sep.-14,SALIA SANOU
FESTIVAL DE LA BATIE,Carouge,2016-Sep.-14,KASSETTE
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-15,CAROLINE BERGVALL
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-15,MIET WARLOP FRUITS OF LABOR
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-15,FAT WHITE FAMILY
FESTIVAL DE LA BATIE,Les Acacias,2016-Sep.-15,THEO MERCIER
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-16,CAROLINE BERGVALL
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-16,MIET WARLOP FRUITS OF LABOR
FESTIVAL DE LA BATIE,Les Acacias,2016-Sep.-16,TOSHIKI OKADA
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-16,ALAIN PLATEL
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-16,SAMBA DE LA MUERTE
FESTIVAL DE LA BATIE,Les Acacias,2016-Sep.-16,FRANCOIS CHAIGNAUD
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-17,CAROLINE BERGVALL
FESTIVAL DE LA BATIE,Les Acacias,2016-Sep.-17,TOSHIKI OKADA
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-17,ALAIN PLATEL
FESTIVAL DE LA BATIE,Geneve,2016-Sep.-17,BOULEVARD DES HITS
FESTIVAL DE LA BATIE,Geneve,2016-Oct.-15,EDWIN SANZ ORCHESTA
FESTIVAL DE LA BATIE,Geneve,2015-Aout-28,GIRLS IN HAWAII
FESTIVAL DE LA BATIE,Geneve,2015-Aout-29,JOAKIM
FESTIVAL DE LA BATIE,Geneve,2015-Aout-31,MARK LANEGAN
FESTIVAL DE LA BATIE,Geneve,2015-Sep.-01,STEPHAN EICHER
FESTIVAL DE LA BATIE,Geneve,2015-Sep.-02,PITA
FESTIVAL DE LA BATIE,Geneve,2015-Sep.-03,GLI ANGELI
FESTIVAL DE LA BATIE,Geneve,2015-Sep.-04,PREOCCUPATIONS
FESTIVAL DE LA BATIE,Carouge,2015-Sep.-05,TRANSISTOR GIRL
FESTIVAL DE LA BATIE,Geneve,2015-Sep.-05,OPTIMO
FESTIVAL DE LA BATIE,Geneve,2015-Sep.-07,MALCOM MIDDLETON
FESTIVAL DE LA BATIE,Geneve,2015-Sep.-08,PIERRE OMER
FESTIVAL DE LA BATIE,Carouge,2015-Sep.-09,ALINE (ex YOUNG MICHELIN)
FESTIVAL DE LA BATIE,Geneve,2015-Sep.-09,DJ YANN
FESTIVAL DE LA BATIE,Nyon,2015-Sep.-10,SONNY AND THE SUNSETS
FESTIVAL DE LA BATIE,Lausanne,2015-Sep.-11,SAVAGES
FESTIVAL DE LA BATIE,Geneve,2015-Sep.-12,THE DIVINE COMEDY (NEIL HANNON)
FESTIVAL DE LA BATIE,Geneve,2014-Aout-29,JUNIP (JOSE GONZALEZ)
FESTIVAL DE LA BATIE,Geneve,2014-Aout-29,TIGA
FESTIVAL DE LA BATIE,Geneve,2014-Aout-30,ANDRES GARCIA
FESTIVAL DE LA BATIE,Geneve,2014-Aout-30,ALEXIS TAYLOR
FESTIVAL DE LA BATIE,Geneve,2014-Sep.-01,ALAN LICHT
FESTIVAL DE LA BATIE,Geneve,2014-Sep.-02,WARPAINT
FESTIVAL DE LA BATIE,Carouge,2014-Sep.-03,BILL RYDER JONES
FESTIVAL DE LA BATIE,Geneve,2014-Sep.-04,THE HONSHU WOLVES
FESTIVAL DE LA BATIE,Nyon,2014-Sep.-04,EMILIE WEIBEL
FESTIVAL DE LA BATIE,Geneve,2014-Sep.-05,F.M. (FRANCOIS MAURIN)
FESTIVAL DE LA BATIE,Geneve,2014-Sep.-06,F.M. (FRANCOIS MAURIN)
FESTIVAL DE LA BATIE,Geneve,2014-Sep.-06,JAMES LAVELLE
FESTIVAL DE LA BATIE,Geneve,2014-Sep.-08,ENSEMBLE CONTRECHAMPS
FESTIVAL DE LA BATIE,Geneve,2014-Sep.-08,GRUFF RHYS
FESTIVAL DE LA BATIE,Geneve,2014-Sep.-09,SLOWDIVE
FESTIVAL DE LA BATIE,Geneve,2014-Sep.-10,GENESIS P ORRIDGE
FESTIVAL DE LA BATIE,Geneve,2014-Sep.-10,DJ REAS
FESTIVAL DE LA BATIE,Nyon,2014-Sep.-11,QUILT
FESTIVAL DE LA BATIE,Geneve,2014-Sep.-12,SIVU
FESTIVAL DE LA BATIE,Geneve,2014-Sep.-13,DEMDIKE STARE
FESTIVAL DE LA BATIE,Lausanne,2014-Sep.-13,RODOLPHE BURGER
FESTIVAL DE LA BATIE,Geneve,2014-Sep.-13,MR JONATHAN TOUBIN
FESTIVAL DE LA BATIE,Geneve,2012-Aout-31,JAMES MURPHY
FESTIVAL DE LA BATIE,Geneve,2012-Sep.-01,RADIO MENTALE
FESTIVAL DE LA BATIE,Geneve,2012-Sep.-01,RUDY DECELIERE
FESTIVAL DE LA BATIE,Geneve,2012-Sep.-02,RADIO MENTALE
FESTIVAL DE LA BATIE,Geneve,2012-Sep.-03,CONNAN MOCKASIN
FESTIVAL DE LA BATIE,Geneve,2012-Sep.-04,CATE LE BON
FESTIVAL DE LA BATIE,Geneve,2012-Sep.-05,DJ CROWDPLEASER
FESTIVAL DE LA BATIE,Geneve,2012-Sep.-07,CHASSOL
FESTIVAL DE LA BATIE,Geneve,2012-Sep.-08,MUNK
FESTIVAL DE LA BATIE,Geneve,2012-Sep.-08,ONEOHTRIX POINT NEVER /OPN
FESTIVAL DE LA BATIE,Geneve,2012-Sep.-09,POL & EKLEKTO
FESTIVAL DE LA BATIE,Geneve,2012-Sep.-10,ONEOHTRIX POINT NEVER /OPN
FESTIVAL DE LA BATIE,Geneve,2012-Sep.-11,PLANNINGTOROCK
FESTIVAL DE LA BATIE,Carouge,2012-Sep.-11,OY
