festival,location,date,artist
FESTIVAL PLEIN LES WATTS,Plan les Ouates,2016-Aout-18,YANISS ODUA
FESTIVAL PLEIN LES WATTS,Plan les Ouates,2016-Aout-19,JAH9 (JANINE CUNNINGHAM)
FESTIVAL PLEIN LES WATTS,Plan les Ouates,2016-Aout-20,JUNIOR KELLY
FESTIVAL PLEIN LES WATTS,Plan les Ouates,2015-Aout-14,RAGING FYAH
FESTIVAL PLEIN LES WATTS,Plan les Ouates,2015-Aout-15,NEG MARRONS
FESTIVAL PLEIN LES WATTS,Plan les Ouates,2014-Aout-15,DADDY NUTTEA
FESTIVAL PLEIN LES WATTS,Plan les Ouates,2014-Aout-16,AL CAMPBELL
FESTIVAL PLEIN LES WATTS,Plan les Ouates,2013-Aout-16,PIERPOLJAK
FESTIVAL PLEIN LES WATTS,Plan les Ouates,2013-Aout-17,OMAR PERRY
FESTIVAL PLEIN LES WATTS,Plan les Ouates,2012-Aout-17,LES FILS DE TEUHPU
FESTIVAL PLEIN LES WATTS,Plan les Ouates,2012-Aout-18,ROD TAYLOR
FESTIVAL PLEIN LES WATTS,Plan les Ouates,2011-Aout-19,TAKE ME HOME
FESTIVAL PLEIN LES WATTS,Plan les Ouates,2011-Aout-20,FLEUVE CONGO
FESTIVAL PLEIN LES WATTS,Plan les Ouates,2010-Aout-06,TWEEK
FESTIVAL PLEIN LES WATTS,Plan les Ouates,2010-Aout-07,AYA WASKA
FESTIVAL PLEIN LES WATTS,Plan les Ouates,2009-Aout-14,JAMMINGROOVE
FESTIVAL PLEIN LES WATTS,Plan les Ouates,2009-Aout-15,KYA BAMBA
FESTIVAL PLEIN LES WATTS,Plan les Ouates,2008-Aout-15,CEZIGUES
FESTIVAL PLEIN LES WATTS,Plan les Ouates,2008-Aout-16,THE RUDNESS CREW
FESTIVAL PLEIN LES WATTS,Plan les Ouates,2007-Aout-10,LES USURPATEURS
