festival,location,date,artist
FRANCOMANIAS,Bulle,2016-Aout-31,YOUSSOUPHA
FRANCOMANIAS,Bulle,2016-Aout-31,JOHN DEAR
FRANCOMANIAS,Bulle,2016-Sep.-01,MINUIT
FRANCOMANIAS,Bulle,2016-Sep.-01,ENSEMBLE VOCAL UTOPIE
FRANCOMANIAS,Bulle,2016-Sep.-02,YOAV
FRANCOMANIAS,Bulle,2016-Sep.-02,PETE DOHERTY
FRANCOMANIAS,Bulle,2016-Sep.-03,BROKEN BACK
FRANCOMANIAS,Bulle,2016-Sep.-03,KASSETTE
FRANCOMANIAS,Bulle,2014-Mai-27,LOUIS CHEDID
FRANCOMANIAS,Bulle,2014-Mai-28,BEN L'ONCLE SOUL
FRANCOMANIAS,Bulle,2014-Mai-29,GAETAN ROUSSEL
FRANCOMANIAS,Bulle,2014-Mai-30,PLAZA FRANCIA (CATHERINE RINGER / MULLER & MAKAROFF )
FRANCOMANIAS,Bulle,2014-Mai-31,KEZIAH JONES
FRANCOMANIAS,Bulle,2013-Mai-07,JACQUES HIGELIN
FRANCOMANIAS,Bulle,2013-Mai-08,BENABAR
FRANCOMANIAS,Bulle,2013-Mai-09,ARNO
FRANCOMANIAS,Bulle,2013-Mai-10,OLIVIA RUIZ
FRANCOMANIAS,Bulle,2013-Mai-11,SKIP THE USE
FRANCOMANIAS,Bulle,2012-Mai-15,JULIETTE
FRANCOMANIAS,Bulle,2012-Mai-16,ZAZ
FRANCOMANIAS,Bulle,2012-Mai-17,COEUR DE PIRATE
FRANCOMANIAS,Bulle,2012-Mai-18,HUBERT FELIX THIEFAINE
FRANCOMANIAS,Bulle,2012-Mai-19,YODELICE
FRANCOMANIAS,Bulle,2008-Mai-02,NOUR
FRANCOMANIAS,Bulle,2008-Mai-02,AaRON
FRANCOMANIAS,Bulle,2008-Mai-03,JULIEN VICTOR
FRANCOMANIAS,Bulle,2006-Mai-23,SIMON GERBER
FRANCOMANIAS,Bulle,2006-Mai-23,ASTONVILLA
FRANCOMANIAS,Bulle,2006-Mai-24,TETES RAIDES
FRANCOMANIAS,Bulle,2006-Mai-24,ZOE  (Chanteuse Belge)
FRANCOMANIAS,Bulle,2006-Mai-25,STEPHANE BLOK
FRANCOMANIAS,Bulle,2006-Mai-25,CHRISTOPHE MALI
FRANCOMANIAS,Bulle,2006-Mai-26,RAPHAEL
FRANCOMANIAS,Bulle,2006-Mai-26,MICHEL JONASZ (ABRAHAM)
FRANCOMANIAS,Bulle,2006-Mai-27,TOMAS GRAND
FRANCOMANIAS,Bulle,2006-Mai-27,PAULINE CROZE
