festival,location,date,artist
GURTEN FESTIVAL BERN,Bern,2016-Juil.-14,MUSE
GURTEN FESTIVAL BERN,Bern,2016-Juil.-15,KYGO
GURTEN FESTIVAL BERN,Bern,2016-Juil.-16,PAUL KALKBRENNER
GURTEN FESTIVAL BERN,Bern,2016-Juil.-17,JAMES BAY
GURTEN FESTIVAL BERN,Bern,2012-Juil.-12,NOEL GALLAGHER'S HIGH FLYING BIRDS
GURTEN FESTIVAL BERN,Bern,2012-Juil.-13,DICK BRAVE & THE BACKBEATS
GURTEN FESTIVAL BERN,Bern,2012-Juil.-14,XAVIER RUDD
GURTEN FESTIVAL BERN,Bern,2012-Juil.-15,PHENOMDEN
GURTEN FESTIVAL BERN,Bern,2011-Juil.-14,KATE NASH
GURTEN FESTIVAL BERN,Bern,2011-Juil.-15,ROYAL REPUBLIC
GURTEN FESTIVAL BERN,Bern,2011-Juil.-16,THE SCRIPT
GURTEN FESTIVAL BERN,Bern,2011-Juil.-17,THE NATIONAL
GURTEN FESTIVAL BERN,Bern,2010-Juil.-15,BAD RELIGION
GURTEN FESTIVAL BERN,Bern,2010-Juil.-16,PAROV STELAR
GURTEN FESTIVAL BERN,Bern,2010-Juil.-17,OPEN SEASON
GURTEN FESTIVAL BERN,Bern,2009-Juil.-16,BLOC PARTY
GURTEN FESTIVAL BERN,Bern,2009-Juil.-17,AYO
GURTEN FESTIVAL BERN,Bern,2009-Juil.-18,PHENOMEN
GURTEN FESTIVAL BERN,Bern,2009-Juil.-19,SEVEN
GURTEN FESTIVAL BERN,Bern,2008-Juil.-17,THE CHEMICAL BROTHERS
GURTEN FESTIVAL BERN,Bern,2008-Juil.-18,PAOLO NUTINI
GURTEN FESTIVAL BERN,Bern,2008-Juil.-19,BLIND
GURTEN FESTIVAL BERN,Bern,2008-Juil.-20,MARVIN
GURTEN FESTIVAL BERN,Bern,2007-Juil.-19,AVRIL LAVIGNE
GURTEN FESTIVAL BERN,Bern,2007-Juil.-20,THE PIPETTES
GURTEN FESTIVAL BERN,Bern,2007-Juil.-21,SEVEN
GURTEN FESTIVAL BERN,Bern,2007-Juil.-22,JOSS STONE
GURTEN FESTIVAL BERN,Bern,2006-Juil.-13,DAVID GRAY
GURTEN FESTIVAL BERN,Bern,2006-Juil.-14,EDITORS
GURTEN FESTIVAL BERN,Bern,2006-Juil.-15,DADA
GURTEN FESTIVAL BERN,Bern,2006-Juil.-16,PHOENIX
