festival,location,date,artist
HEARTLAND,Bern,2012-Nov.-15,ELFIN SADDLE
HEARTLAND,Bern,2012-Nov.-16,GODSPEED YOU ! BLACK EMPEROR
HEARTLAND,Bern,2012-Nov.-17,THEE SILVER MT ZION MEMORIAL
HEARTLAND,Bern,2012-Nov.-17,MATANA ROBERTS
HEARTLAND,Paris,2012-Nov.-17,DO MAKE SAY THINK
HEARTLAND,Bern,2012-Nov.-18,COLIN STETSON
HEARTLAND,Paris,2012-Nov.-18,THEE SILVER MT ZION MEMORIAL
HEARTLAND,Vevey,2011-Oct.-26,JUNIP (JOSE GONZALEZ)
HEARTLAND,Vevey,2011-Oct.-27,DAVID PAJO
HEARTLAND,Vevey,2011-Oct.-28,JIM WHITE
HEARTLAND,Vevey,2011-Oct.-28,THE SADIES
HEARTLAND,Vevey,2011-Oct.-29,SNOWBLINK
HEARTLAND,Vevey,2011-Oct.-29,MICHAEL J SHEEHY
HEARTLAND,Vevey,2010-Nov.-10,ERIC CHENAUX
HEARTLAND,Vevey,2010-Nov.-11,DESTROYER
HEARTLAND,Vevey,2010-Nov.-12,HIDDEN CAMERAS
HEARTLAND,Vevey,2010-Nov.-13,THE ACORN
