festival,location,date,artist
JAZZ ONZE +,Lausanne,2016-Nov.-02,LEON PHAL
JAZZ ONZE +,Lausanne,2016-Nov.-02,FLORIAN FAVRE
JAZZ ONZE +,Lausanne,2016-Nov.-02,GARY PEACOCK
JAZZ ONZE +,Lausanne,2016-Nov.-03,JOSQUIN ROSSET
JAZZ ONZE +,Lausanne,2016-Nov.-03,DAVID SANBORN
JAZZ ONZE +,Lausanne,2016-Nov.-03,MARCUS STRICKLAND
JAZZ ONZE +,Lausanne,2016-Nov.-03,TERRACE MARTIN
JAZZ ONZE +,Lausanne,2016-Nov.-04,AA TRIO
JAZZ ONZE +,Lausanne,2016-Nov.-04,JULIAN SARTORIUS
JAZZ ONZE +,Lausanne,2016-Nov.-04,DAVE HOLLAND
JAZZ ONZE +,Lausanne,2016-Nov.-04,THE HOT 8 BRASS BAND
JAZZ ONZE +,Lausanne,2016-Nov.-05,ETIENNE LOUPOT
JAZZ ONZE +,Lausanne,2016-Nov.-05,AMINE & HAMZA M'RAHI
JAZZ ONZE +,Lausanne,2016-Nov.-05,DHAFER YOUSSEF
JAZZ ONZE +,Lausanne,2016-Nov.-05,PABLO NOUVELLE
JAZZ ONZE +,Lausanne,2016-Nov.-06,JOHN SCOFIELD
JAZZ ONZE +,Lausanne,2015-Oct.-28,CHINA MOSES
JAZZ ONZE +,Lausanne,2015-Oct.-31,GABRIEL ZUFFEREY
JAZZ ONZE +,Lausanne,2015-Nov.-11,WADADA LEO SMITH
JAZZ ONZE +,Lausanne,2014-Oct.-31,SYLVIE COURVOISIER
JAZZ ONZE +,Lausanne,2014-Nov.-01,SUSANNE ABBUEHL
JAZZ ONZE +,Lausanne,2013-Oct.-30,JEAN-LOU TREBOUX
JAZZ ONZE +,Lausanne,2013-Oct.-31,SAMUEL BLASER
JAZZ ONZE +,Lausanne,2013-Nov.-01,TOMASZ STANKO
JAZZ ONZE +,Lausanne,2013-Nov.-02,CHRISTIAN SCOTT
JAZZ ONZE +,Lausanne,2013-Nov.-03,STRATUS SUR LE PLATEAU
JAZZ ONZE +,Lausanne,2012-Oct.-31,JOE LOVANO
JAZZ ONZE +,Lausanne,2012-Nov.-01,DAVE LIEBMAN
JAZZ ONZE +,Lausanne,2012-Nov.-01,FAUVE
JAZZ ONZE +,Lausanne,2012-Nov.-02,PIERRE LUC VALLET
JAZZ ONZE +,Lausanne,2012-Nov.-02,DIRECTION SURVET
JAZZ ONZE +,Lausanne,2012-Nov.-03,AMBROSE AKINMUSIRE
JAZZ ONZE +,Lausanne,2012-Nov.-03,KIND & KINKY ZOO
JAZZ ONZE +,Lausanne,2012-Nov.-04,SAMUEL HUGUENIN
JAZZ ONZE +,Lausanne,2011-Nov.-02,FRANCOIS LINDEMANN
JAZZ ONZE +,Lausanne,2011-Nov.-03,COLIN VALLON
JAZZ ONZE +,Lausanne,2011-Nov.-04,ALDO ROMANO
JAZZ ONZE +,Lausanne,2011-Nov.-05,MICHAEL JAEGER
JAZZ ONZE +,Lausanne,2011-Nov.-06,HOLUNDERBLUETEN
JAZZ ONZE +,Lausanne,2010-Nov.-03,MCCOY TYNER
JAZZ ONZE +,Lausanne,2010-Nov.-04,340ML
JAZZ ONZE +,Lausanne,2010-Nov.-04,MARC PERRENOUD
JAZZ ONZE +,Lausanne,2010-Nov.-05,L'ORCHIDEE D'HAWAI
JAZZ ONZE +,Lausanne,2010-Nov.-06,ORCHESTRE TOUT PUISSANT MARCEL DUCHAMP (OTPMD)
JAZZ ONZE +,Lausanne,2010-Nov.-07,TRIO SPHERE
JAZZ ONZE +,Lausanne,2009-Oct.-28,NO SQUARE
JAZZ ONZE +,Lausanne,2009-Oct.-29,DON LI
JAZZ ONZE +,Lausanne,2009-Oct.-30,JOE LOVANO
JAZZ ONZE +,Lausanne,2009-Oct.-31,DEE ALEXANDER
JAZZ ONZE +,Lausanne,2009-Nov.-01,PIERRE FAVRE
JAZZ ONZE +,Lausanne,2008-Oct.-31,DIANNE REEVES
JAZZ ONZE +,Lausanne,2008-Nov.-01,MIGUEL ZENON
JAZZ ONZE +,Lausanne,2007-Oct.-20,DAVID MURRAY
JAZZ ONZE +,Lausanne,2007-Oct.-24,BUGZ IN THE ATTIC
JAZZ ONZE +,Lausanne,2007-Oct.-25,HONEY FOR PETZI
JAZZ ONZE +,Lausanne,2007-Oct.-25,GARY BURTON
JAZZ ONZE +,Lausanne,2007-Oct.-26,LUCIEN DUBUIS
JAZZ ONZE +,Lausanne,2007-Oct.-26,TANIA MARIA
JAZZ ONZE +,Lausanne,2007-Oct.-27,CHIN CHIN
JAZZ ONZE +,Lausanne,2007-Oct.-27,BILL STEWART
JAZZ ONZE +,Lausanne,2007-Oct.-28,STEPHANE CHAPUIS
JAZZ ONZE +,Lausanne,2006-Oct.-25,SKALPEL
JAZZ ONZE +,Lausanne,2006-Oct.-26,MATHIEU MICHEL
JAZZ ONZE +,Lausanne,2006-Oct.-27,WILLIAM PARKER
JAZZ ONZE +,Lausanne,2006-Oct.-28,EIVIND AARSET
