festival,location,date,artist
JAZZFESTIVAL BASEL,Bale (Basel),2016-Avr.-20,RICHARD GALLIANO
JAZZFESTIVAL BASEL,Bale (Basel),2016-Avr.-21,NILS LANDGREN
JAZZFESTIVAL BASEL,Bale (Basel),2016-Avr.-22,KENNY GARRETT
JAZZFESTIVAL BASEL,Bale (Basel),2016-Avr.-24,MARIUS NESET
JAZZFESTIVAL BASEL,Bale (Basel),2016-Avr.-27,MARTIN TINGVALL
JAZZFESTIVAL BASEL,Bale (Basel),2016-Avr.-28,ANDREAS SCHAERER
JAZZFESTIVAL BASEL,Bale (Basel),2016-Avr.-29,MARIA JOAO
JAZZFESTIVAL BASEL,Bale (Basel),2016-Mai-03,PAOLO FRESU
JAZZFESTIVAL BASEL,Bale (Basel),2016-Mai-06,CHUCHO VALDES
JAZZFESTIVAL BASEL,Bale (Basel),2016-Mai-07,MICHAEL WOLLNY
JAZZFESTIVAL BASEL,Bale (Basel),2016-Mai-08,ED MOTTA
JAZZFESTIVAL BASEL,Bale (Basel),2016-Mai-10,DEE DEE BRIDGEWATER
JAZZFESTIVAL BASEL,Bale (Basel),2015-Avr.-16,EST ESBJORN SVENSSON
JAZZFESTIVAL BASEL,Bale (Basel),2015-Avr.-17,YARON HERMAN
JAZZFESTIVAL BASEL,Bale (Basel),2015-Avr.-19,DINO SALUZZI
JAZZFESTIVAL BASEL,Bale (Basel),2015-Avr.-20,STANLEY CLARKE
JAZZFESTIVAL BASEL,Bale (Basel),2015-Avr.-21,TILL BRONNER
JAZZFESTIVAL BASEL,Bale (Basel),2015-Avr.-22,ANOUAR BRAHEM
JAZZFESTIVAL BASEL,Bale (Basel),2015-Avr.-23,MARC PERRENOUD
JAZZFESTIVAL BASEL,Bale (Basel),2012-Avr.-19,BRANFORD MARSALIS
JAZZFESTIVAL BASEL,Bale (Basel),2012-Avr.-20,CHANO DOMINGUEZ
JAZZFESTIVAL BASEL,Bale (Basel),2012-Avr.-21,MADELEINE PEYROUX
JAZZFESTIVAL BASEL,Bale (Basel),2012-Avr.-22,VEIN
JAZZFESTIVAL BASEL,Bale (Basel),2012-Avr.-22,CRISTINA BRANCO
JAZZFESTIVAL BASEL,Bale (Basel),2012-Avr.-23,LARS DANIELSSON
JAZZFESTIVAL BASEL,Bale (Basel),2012-Avr.-24,ALEFA TRIO
JAZZFESTIVAL BASEL,Bale (Basel),2012-Avr.-25,JOHN ABERCROMBIE
JAZZFESTIVAL BASEL,Bale (Basel),2012-Avr.-26,ROBERTO GATTO
JAZZFESTIVAL BASEL,Bale (Basel),2012-Avr.-28,ROBERTO FONSECA
JAZZFESTIVAL BASEL,Bale (Basel),2012-Avr.-30,GEORGE GRUNTZ
JAZZFESTIVAL BASEL,Bale (Basel),2012-Mai-02,TRILOK GURTU
JAZZFESTIVAL BASEL,Bale (Basel),2012-Mai-03,LISETTE SPINNLER
JAZZFESTIVAL BASEL,Bale (Basel),2012-Mai-04,"MEDESKI, MARTIN & WOOD"
JAZZFESTIVAL BASEL,Bale (Basel),2012-Mai-05,AMADOU ET MARIAM
JAZZFESTIVAL BASEL,Bale (Basel),2012-Mai-06,RICHARD GALLIANO
JAZZFESTIVAL BASEL,Bale (Basel),2011-Avr.-30,GEORGE GRUNTZ
JAZZFESTIVAL BASEL,Bale (Basel),2011-Mai-01,NIGEL KENNEDY
JAZZFESTIVAL BASEL,Bale (Basel),2011-Mai-02,COLIN VALLON
JAZZFESTIVAL BASEL,Bale (Basel),2011-Mai-03,FRANCOIS COUTURIER
JAZZFESTIVAL BASEL,Bale (Basel),2011-Mai-04,BOBO STENSON
JAZZFESTIVAL BASEL,Bale (Basel),2011-Mai-05,TOBIAS PREISIG
JAZZFESTIVAL BASEL,Bale (Basel),2011-Mai-06,SCOTT COLLEY
JAZZFESTIVAL BASEL,Bale (Basel),2011-Mai-07,ROSARIO GIULIANI
JAZZFESTIVAL BASEL,Bale (Basel),2011-Mai-08,RENAUD GARCIA FONS
JAZZFESTIVAL BASEL,Bale (Basel),2011-Mai-09,RAUL MIDON
