festival,location,date,artist
LES GEORGES,Fribourg,2016-Juil.-12,KLAUS JOHANN GROBE
LES GEORGES,Fribourg,2016-Juil.-13,JIM THE BARBER AND HIS SHINY BLADES
LES GEORGES,Fribourg,2016-Juil.-14,EGOPUSHER
LES GEORGES,Fribourg,2016-Juil.-15,NAIVE NEW BEATERS
LES GEORGES,Fribourg,2016-Juil.-16,GAETAN
LES GEORGES,Fribourg,2015-Juil.-14,DIXIELAND BULL'S BAND
LES GEORGES,Fribourg,2015-Juil.-15,YELLOW TEETH
LES GEORGES,Fribourg,2015-Juil.-16,PETER KERNEL
LES GEORGES,Fribourg,2015-Juil.-17,WAZOMBA OVERDRIVE ORCHESTRA
LES GEORGES,Fribourg,2015-Juil.-18,KABAK
LES GEORGES,Fribourg,2015-Juil.-19,LES PETITS CHANTEURS A LA GUEULE DE BOIS
LES GEORGES,Fribourg,2014-Juil.-15,DELANEY DAVIDSON
LES GEORGES,Fribourg,2014-Juil.-16,OY
LES GEORGES,Fribourg,2014-Juil.-17,RUSCONI
LES GEORGES,Fribourg,2014-Juil.-18,THE EXCITEMENTS
LES GEORGES,Fribourg,2014-Juil.-19,LAURE PERRET
LES GEORGES,Fribourg,2014-Juil.-20,THE WACKIDS
