festival,location,date,artist
LIVE AT SUNSET,Zurich,2015-Juil.-03,GIANNA NANNINI
LIVE AT SUNSET,Zurich,2015-Juil.-04,PATENT OCHSNER
LIVE AT SUNSET,Zurich,2015-Juil.-05,REA GARVEY
LIVE AT SUNSET,Zurich,2015-Juil.-07,LIONEL RICHIE
LIVE AT SUNSET,Zurich,2015-Juil.-08,TOM ODELL
LIVE AT SUNSET,Zurich,2015-Juil.-09,ZZ TOP
LIVE AT SUNSET,Zurich,2015-Juil.-10,JOHN LEGEND
LIVE AT SUNSET,Zurich,2015-Juil.-11,ROXETTE
LIVE AT SUNSET,Zurich,2015-Juil.-16,LINDSEY STIRLING
LIVE AT SUNSET,Zurich,2015-Juil.-17,ANASTACIA
LIVE AT SUNSET,Zurich,2015-Juil.-19,XAVIER NAIDOO
LIVE AT SUNSET,Zurich,2014-Juil.-09,ROBERT PLANT & THE SENSATIONAL SPACE SHIFTERS
LIVE AT SUNSET,Zurich,2014-Juil.-10,RODRIGO Y GABRIELA
LIVE AT SUNSET,Zurich,2014-Juil.-11,MILOW
LIVE AT SUNSET,Zurich,2014-Juil.-12,JAMIE CULLUM
LIVE AT SUNSET,Zurich,2014-Juil.-13,TEXAS
LIVE AT SUNSET,Zurich,2014-Juil.-14,PET SHOP BOYS
LIVE AT SUNSET,Zurich,2014-Juil.-15,JAMES ARTHUR
LIVE AT SUNSET,Zurich,2014-Juil.-16,ROGER CICERO
LIVE AT SUNSET,Zurich,2014-Juil.-17,BACKSTREET BOYS
LIVE AT SUNSET,Zurich,2014-Juil.-18,RITSCHI
LIVE AT SUNSET,Zurich,2014-Juil.-19,PHILIPP FANKHAUSER
LIVE AT SUNSET,Zurich,2013-Juil.-10,STEPHAN EICHER
LIVE AT SUNSET,Zurich,2013-Juil.-11,BRYAN ADAMS
LIVE AT SUNSET,Zurich,2013-Juil.-12,NATALIE COLE
LIVE AT SUNSET,Zurich,2013-Juil.-13,KENNY ROGERS
LIVE AT SUNSET,Zurich,2013-Juil.-14,HUGH LAURIE
LIVE AT SUNSET,Zurich,2013-Juil.-15,DEEP PURPLE
LIVE AT SUNSET,Zurich,2013-Juil.-16,EARTH WIND & FIRE
LIVE AT SUNSET,Zurich,2013-Juil.-17,NENA
LIVE AT SUNSET,Zurich,2013-Juil.-18,HELGE SCHNEIDER
LIVE AT SUNSET,Zurich,2013-Juil.-19,STING
LIVE AT SUNSET,Zurich,2013-Juil.-20,MARK KNOPFLER
LIVE AT SUNSET,Zurich,2013-Juil.-21,GIANNA NANNINI
LIVE AT SUNSET,Zurich,2012-Juil.-11,BB KING
LIVE AT SUNSET,Zurich,2012-Juil.-12,CARO EMERALD
LIVE AT SUNSET,Zurich,2012-Juil.-13,ELTON JOHN
LIVE AT SUNSET,Zurich,2012-Juil.-14,LOREENA MCKENNITT
LIVE AT SUNSET,Zurich,2012-Juil.-15,MORCHEEBA
LIVE AT SUNSET,Zurich,2012-Juil.-16,ALANIS MORISSETTE
LIVE AT SUNSET,Zurich,2012-Juil.-17,ROXETTE
LIVE AT SUNSET,Zurich,2012-Juil.-18,KATIE MELUA
LIVE AT SUNSET,Zurich,2012-Juil.-19,LADY ANTEBELLUM
LIVE AT SUNSET,Zurich,2012-Juil.-20,ZURI WEST
LIVE AT SUNSET,Zurich,2012-Juil.-21,JAMES MORRISON
LIVE AT SUNSET,Zurich,2011-Juil.-13,JOHN MELLENCAMP
LIVE AT SUNSET,Zurich,2011-Juil.-14,STEPHAN EICHER
LIVE AT SUNSET,Zurich,2011-Juil.-16,TOTO
LIVE AT SUNSET,Zurich,2011-Juil.-17,CHICAGO
LIVE AT SUNSET,Zurich,2011-Juil.-18,HANNES WADER
LIVE AT SUNSET,Zurich,2011-Juil.-19,JOE COCKER
LIVE AT SUNSET,Zurich,2011-Juil.-20,TOM JONES
LIVE AT SUNSET,Zurich,2011-Juil.-22,MARC SWAY
LIVE AT SUNSET,Zurich,2011-Juil.-23,GIANNA NANNINI
LIVE AT SUNSET,Zurich,2011-Juil.-24,JULIETA VENEGAS
LIVE AT SUNSET,Zurich,2010-Juil.-14,TORI AMOS
LIVE AT SUNSET,Zurich,2010-Juil.-15,JOHN FOGERTY
LIVE AT SUNSET,Zurich,2010-Juil.-16,GEOFFREY GURRUMUL YUNUPINGU
