festival,location,date,artist
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2013-Aout-20,VADIM REPIN
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2013-Aout-21,PAUL MEYER
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2013-Aout-22,NELSON FREIRE
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2013-Aout-23,ANNE SOFIE VON OTTER
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2013-Aout-24,NATHALIE STUTZMANN
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2013-Aout-25,ELISABETH MEYER
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2013-Aout-25,XAVIER DE MAISTRE
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2013-Aout-26,WIENER AKADEMIE
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2013-Aout-27,GAUTIER CAPUCON
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2013-Aout-28,YUJA WANG
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2013-Aout-29,LA SINFONIETTA DE LAUSANNE
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2013-Aout-30,URI CAINE
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2013-Aout-31,NIGEL KENNEDY
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2013-Sep.-01,JOHANNES MOLLER
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2012-Aout-23,CAMERATA ARMIN JORDAN
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2012-Aout-25,ROBY LAKATOS
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2012-Aout-26,SOLENN' LAVANANT LINKE
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2012-Aout-27,YUJA WANG
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2012-Aout-29,MURRAY PERAHIA
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2012-Aout-31,NIGEL KENNEDY
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2012-Sep.-01,LA SINFONIETTA DE LAUSANNE
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2012-Sep.-02,VLAD MAISTOROVICI
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2012-Sep.-02,NATALIE  DESSAY
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2011-Aout-16,PHILIPPE JAROUSSKY
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2011-Aout-17,PHILIPPE JAROUSSKY
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2011-Aout-19,MAURO LO CONTE
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2011-Aout-20,CAMERATA ARMIN JORDAN
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2011-Aout-21,JEAN-SELIM ABDELMOULA
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2011-Aout-23,GERSHWIN QUARTET
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2011-Aout-24,GERSHWIN QUARTET
LUNA CLASSICS (EX SAINT PREX CLASSICS),Morges,2011-Aout-25,KROKE
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2011-Aout-28,VLAD MAISTOROVICI
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2010-Aout-20,BRIGITTE HOOL
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2010-Aout-21,BRIGITTE HOOL
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2010-Aout-22,MAURO LO CONTE
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2010-Aout-23,ENSEMBLE INSTRUMENTAL DE L'OPERA DE LAUSANNE
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2010-Aout-26,ADINA AARON
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2010-Aout-27,ADINA AARON
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2010-Aout-28,SILVANA DELUIGI
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2010-Aout-29,SILVANA DELUIGI
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2008-Aout-29,QUATUOR CALIENTE
LUNA CLASSICS (EX SAINT PREX CLASSICS),Saint Prex,2008-Aout-30,QUATUOR CALIENTE
