festival,location,date,artist
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juin-30,CHARLES LLOYD
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-01,ANOHNI (Ex ANTONY AND THE JOHNSONS)
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-01,GOGO PENGUIN
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-01,FKJ (FRENCH KIWI JUICE)
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-02,MUSE
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-02,RANDY WESTON
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-02,MAX COOPER
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-03,ABLO GANDEMA
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-03,JOHN SCOFIELD
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-03,AL JARREAU
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-03,FLUME
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-03,HEMU JAZZ ORCHESTRA
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-04,BUDDY GUY
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-04,BASIA BULAT
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-04,ASAP FERG
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-05,MOGWAI
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-05,SELWYN BIRCHWOOD
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-05,AURORA
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-06,PATTI SMITH
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-06,YARON HERMAN
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-06,MESHUGGAH
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-07,VAN MORRISON
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-07,JACOB COLLIER
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-07,MATT CORBY
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-08,QUINCY JONES
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-08,JACK BROADBENT
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-08,JEANNE ADDED
MONTREUX JAZZ FESTIVAL,Veytaux,2016-Juil.-08,NIK BARTSCH'S
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-09,DIANA MIRANDA
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-09,LISA SIMONE
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-09,GREGOIRE MARET
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-09,GEORGIO
MONTREUX JAZZ FESTIVAL,Veytaux,2016-Juil.-09,STADE
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-10,LAMUZGUEULE
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-10,ANGELIQUE KIDJO
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-10,AVISHAI COHEN (trompette)
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-10,OTHER LIVES
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-11,JEAN MICHEL JARRE
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-11,CHRISTIAN SCOTT
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-11,ALLAH LAS
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-12,NEIL YOUNG & PROMISE OF THE REAL
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-12,ULF WAKENIUS
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-12,HAELOS
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-13,MAX JURY
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-13,A BU TRIO
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-13,RAG N BONE MAN
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-14,MARCUS MILLER
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-14,CURTIS STIGERS
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-14,FLOATING POINTS
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-15,WOODKID
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-15,FRANCOIS LINDEMANN
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-15,MHD
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-16,ZAPPA PLAYS ZAPPA
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-16,HAROLD LOPEZ NUSSA
MONTREUX JAZZ FESTIVAL,Montreux,2016-Juil.-16,LAOLU
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-03,JOHN LEGEND
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-03,SOAK
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-03,IBEYI
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-03,YARON HERMAN
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-04,SINEAD O'CONNOR
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-04,BUGGE WESSELTOFT
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-04,THYLACINE
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-05,THE CHEMICAL BROTHERS
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-05,TOMMY CASTRO
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-05,FOXYGEN
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-06,LADY GAGA
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-06,LIZZ WRIGHT
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-06,BURAKA SOM SISTEMA
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-07,MARIAM THE BELIEVER
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-07,HUGH COLTMAN
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-07,NICK MULVEY
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-08,MARY J BLIGE
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-08,DAVID SANBORN
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-08,GEORGE EZRA
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-09,ALABAMA SHAKES
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-09,AVISHAI COHEN (contrebasse)
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-09,JAMIE XX
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-10,THOUGHT FORMS
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-10,JASON MORAN
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-10,SEBASTIEN SCHULLER
MONTREUX JAZZ FESTIVAL,Veytaux,2015-Juil.-10,TOBIAS PREISIG
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-11,LIONEL RICHIE
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-11,KRONOS QUARTET
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-11,PROTOJE
MONTREUX JAZZ FESTIVAL,Veytaux,2015-Juil.-11,POLAR
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-12,LOS LOBOS
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-12,LEON BRIDGES
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-12,FOALS
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-13,BENJAMIN BOOKER
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-13,THE TWO
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-13,YEARS & YEARS
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-14,SONGHOY BLUES
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-14,JERRY LEONIDE
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-14,KWABS
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-15,MARIA GADU
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-15,RAE MORRIS
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-15,ALT-J
MONTREUX JAZZ FESTIVAL,Montreux,2015-Juil.-16,CHICK COREA
