festival,location,date,artist
MOON AND STARS,Locarno,2016-Juil.-08,ELLIE GOULDING
MOON AND STARS,Locarno,2016-Juil.-09,POOH
MOON AND STARS,Locarno,2016-Juil.-13,PHARRELL WILLIAMS
MOON AND STARS,Locarno,2016-Juil.-14,EARTH WIND & FIRE
MOON AND STARS,Locarno,2016-Juil.-15,LANA DEL REY
MOON AND STARS,Locarno,2016-Juil.-16,GENTLEMAN (AND THE EVOLUTION)
MOON AND STARS,Locarno,2016-Juil.-17,77 BOMBAY STREET
MOON AND STARS,Locarno,2015-Juil.-08,SAM SMITH
MOON AND STARS,Locarno,2015-Juil.-10,ROXETTE
MOON AND STARS,Locarno,2015-Juil.-12,SANTANA
MOON AND STARS,Locarno,2015-Juil.-14,LENNY KRAVITZ
MOON AND STARS,Locarno,2015-Juil.-15,BOB DYLAN
MOON AND STARS,Locarno,2015-Juil.-16,MARINA AND THE DIAMONDS
MOON AND STARS,Locarno,2015-Juil.-17,LO&LEDUC
MOON AND STARS,Locarno,2015-Juil.-18,LITFIBA
MOON AND STARS,Locarno,2013-Juil.-04,ZZ TOP
MOON AND STARS,Locarno,2013-Juil.-05,AMY MACDONALD
MOON AND STARS,Locarno,2013-Juil.-06,DIE TOTEN HOSEN
MOON AND STARS,Locarno,2013-Juil.-07,SANTANA
MOON AND STARS,Locarno,2013-Juil.-08,GREEN DAY
MOON AND STARS,Locarno,2013-Juil.-09,DEPECHE MODE
MOON AND STARS,Locarno,2013-Juil.-10,ZUCCHERO
MOON AND STARS,Locarno,2013-Juil.-11,MARK KNOPFLER
MOON AND STARS,Locarno,2013-Juil.-12,BRYAN ADAMS
MOON AND STARS,Locarno,2013-Juil.-14,NEIL YOUNG & PROMISE OF THE REAL
MOON AND STARS,Locarno,2012-Juil.-05,LIGABUE
MOON AND STARS,Locarno,2012-Juil.-06,BILLY IDOL
MOON AND STARS,Locarno,2012-Juil.-07,GOTTHARD
MOON AND STARS,Locarno,2012-Juil.-11,LENNY KRAVITZ
MOON AND STARS,Locarno,2012-Juil.-12,ELTON JOHN
MOON AND STARS,Locarno,2012-Juil.-13,HERBERT GRÃ–NEMEYER
MOON AND STARS,Locarno,2012-Juil.-14,LAURA PAUSINI
MOON AND STARS,Locarno,2012-Juil.-15,UNHEILIG
MOON AND STARS,Locarno,2011-Juil.-08,BLIGG
MOON AND STARS,Locarno,2011-Juil.-09,STING
MOON AND STARS,Locarno,2011-Juil.-10,SANTANA
MOON AND STARS,Locarno,2011-Juil.-11,ZUCCHERO
MOON AND STARS,Locarno,2011-Juil.-12,JOE COCKER
MOON AND STARS,Locarno,2011-Juil.-14,ROXETTE
MOON AND STARS,Locarno,2011-Juil.-16,BRYAN ADAMS
MOON AND STARS,Locarno,2011-Juil.-17,JACK JOHNSON
