festival,location,date,artist
MUSIQUES EN ETE,Geneve,2015-Juin-28,SEIJI OZAWA
MUSIQUES EN ETE,Geneve,2015-Juil.-02,ORCHESTRE DE LA SUISSE ROMANDE
MUSIQUES EN ETE,Geneve,2015-Juil.-03,AZIZ SAHMAOUI
MUSIQUES EN ETE,Geneve,2015-Juil.-06,BRAD MEHLDAU
MUSIQUES EN ETE,Geneve,2015-Juil.-07,OPERA DE CHAMBRE DE GENEVE
MUSIQUES EN ETE,Geneve,2015-Juil.-08,TOTO LA MOMPOSINA
MUSIQUES EN ETE,Geneve,2015-Juil.-09,FRANCOIS GUYE
MUSIQUES EN ETE,Geneve,2015-Juil.-10,LISA LEBLANC
MUSIQUES EN ETE,Geneve,2015-Juil.-10,OPERA DE CHAMBRE DE GENEVE
MUSIQUES EN ETE,Geneve,2015-Juil.-13,GREGOIRE MARET
MUSIQUES EN ETE,Geneve,2015-Juil.-14,DAVID GRIMAL
MUSIQUES EN ETE,Geneve,2015-Juil.-15,BAMAKO (BKO) QUINTET
MUSIQUES EN ETE,Geneve,2015-Juil.-16,GENEVA CAMERATA
MUSIQUES EN ETE,Geneve,2015-Juil.-17,ALVIN YOUNGBLOOD HART
MUSIQUES EN ETE,Geneve,2015-Juil.-20,BILL FRISELL
MUSIQUES EN ETE,Geneve,2015-Juil.-21,BEATRICE RANA
MUSIQUES EN ETE,Geneve,2015-Juil.-23,ELSA GRETHER
MUSIQUES EN ETE,Geneve,2015-Juil.-24,CURTIS HARDING
MUSIQUES EN ETE,Geneve,2015-Juil.-27,ROY HARGROVE
MUSIQUES EN ETE,Geneve,2015-Juil.-28,STEPHAN GENZ
MUSIQUES EN ETE,Geneve,2015-Juil.-29,ANTONIO ZAMBUJO
MUSIQUES EN ETE,Geneve,2015-Juil.-30,SINE NOMINE
MUSIQUES EN ETE,Geneve,2015-Aout-03,SONS OF KEMET
MUSIQUES EN ETE,Geneve,2015-Aout-04,ORCHESTRE DE CHAMBRE DE GENEVE
MUSIQUES EN ETE,Geneve,2015-Aout-05,PUNCH BROTHERS
MUSIQUES EN ETE,Geneve,2015-Aout-06,NELSON GOERNER
MUSIQUES EN ETE,Geneve,2015-Aout-07,MAZALDA
MUSIQUES EN ETE,Geneve,2015-Aout-10,ROOT 70 WITH STRINGS
MUSIQUES EN ETE,Geneve,2015-Aout-11,IL GIARDINO ARMONICO
MUSIQUES EN ETE,Geneve,2015-Aout-12,ALPHEUS
MUSIQUES EN ETE,Geneve,2015-Aout-13,QUATUOR TERPSYCORDES
MUSIQUES EN ETE,Geneve,2015-Aout-14,SUN RA ARKESTRA
MUSIQUES EN ETE,Geneve,2015-Aout-19,MARCELO D2
MUSIQUES EN ETE,Geneve,2013-Juin-30,KAZUKI YAMADA
MUSIQUES EN ETE,Geneve,2013-Juil.-04,ORCHESTRE DE LA SUISSE ROMANDE
MUSIQUES EN ETE,Geneve,2013-Juil.-05,MAZALDA
MUSIQUES EN ETE,Geneve,2013-Juil.-08,TOM HARRELL
MUSIQUES EN ETE,Geneve,2013-Juil.-09,OPERA DE CHAMBRE DE GENEVE
MUSIQUES EN ETE,Geneve,2013-Juil.-10,SANDRA NKAKE
MUSIQUES EN ETE,Geneve,2013-Juil.-11,QUATUOR ARDEO
MUSIQUES EN ETE,Geneve,2013-Juil.-12,SALIF KEITA
MUSIQUES EN ETE,Geneve,2013-Juil.-12,OPERA DE CHAMBRE DE GENEVE
MUSIQUES EN ETE,Geneve,2013-Juil.-15,KENNY BARRON
MUSIQUES EN ETE,Geneve,2013-Juil.-16,GERHARD OPPITZ
MUSIQUES EN ETE,Geneve,2013-Juil.-17,FLAVIA COELHO
MUSIQUES EN ETE,Geneve,2013-Juil.-18,QUATUOR TERPSYCORDES
MUSIQUES EN ETE,Geneve,2013-Juil.-19,DARAN
MUSIQUES EN ETE,Geneve,2013-Juil.-22,STEVE SWALLOW
MUSIQUES EN ETE,Geneve,2013-Juil.-23,ENSEMBLE LES DISSONANCES
MUSIQUES EN ETE,Geneve,2013-Juil.-24,LEONEL LIMONTA Y SU AZUCAR NEGRA
MUSIQUES EN ETE,Geneve,2013-Juil.-25,ROGER MURARO
MUSIQUES EN ETE,Geneve,2013-Juil.-26,BERTRAND BELIN
MUSIQUES EN ETE,Geneve,2013-Juil.-29,PIERRE BOUSSAGUET
MUSIQUES EN ETE,Geneve,2013-Juil.-30,CHRISTOPH PREGARDIEN
MUSIQUES EN ETE,Geneve,2013-Juil.-31,MAGMA
MUSIQUES EN ETE,Geneve,2013-Aout-02,ERIK TRUFFAZ
MUSIQUES EN ETE,Geneve,2013-Aout-05,PHILIP CATHERINE
MUSIQUES EN ETE,Geneve,2013-Aout-06,FLORIAN BOESCH
MUSIQUES EN ETE,Geneve,2013-Aout-07,KAMI AWORI (ex CARAMEL BROWN)
MUSIQUES EN ETE,Geneve,2013-Aout-08,QUATUOR MAKROKOSMOS
MUSIQUES EN ETE,Geneve,2013-Aout-09,GUILLAUME PERRET AND THE ELECTRIC EPIC
MUSIQUES EN ETE,Geneve,2013-Aout-12,DENA DEROSE
