festival,location,date,artist
OPENAIR FRAUENFELD,Frauenfeld,2016-Juil.-07,BREITBILD
OPENAIR FRAUENFELD,Frauenfeld,2016-Juil.-08,HOPSIN
OPENAIR FRAUENFELD,Frauenfeld,2016-Juil.-09,PULLUP ORCHESTRA
OPENAIR FRAUENFELD,Frauenfeld,2015-Juil.-09,TRAVIS SCOTT
OPENAIR FRAUENFELD,Frauenfeld,2015-Juil.-10,REMI
OPENAIR FRAUENFELD,Frauenfeld,2015-Juil.-11,FLATBUSH ZOMBIES
OPENAIR FRAUENFELD,Frauenfeld,2013-Juil.-12,SEEED
OPENAIR FRAUENFELD,Frauenfeld,2013-Juil.-13,CHAKUZA
OPENAIR FRAUENFELD,Frauenfeld,2013-Juil.-14,SNOOP DOGG
OPENAIR FRAUENFELD,Frauenfeld,2012-Juil.-06,PRINZ PI
OPENAIR FRAUENFELD,Frauenfeld,2012-Juil.-07,NAS
OPENAIR FRAUENFELD,Frauenfeld,2012-Juil.-08,SEAN PAUL
