festival,location,date,artist
ROCK OZ ARENES,Avenches,2016-Aout-01,STEPHAN EICHER
ROCK OZ ARENES,Avenches,2016-Aout-03,ROBERT PLANT & THE SENSATIONAL SPACE SHIFTERS
ROCK OZ ARENES,Avenches,2016-Aout-04,PATRICIA KAAS
ROCK OZ ARENES,Avenches,2016-Aout-05,DJ SNAKE
ROCK OZ ARENES,Avenches,2016-Aout-06,LIMP BIZKIT
ROCK OZ ARENES,Avenches,2016-Aout-07,ANTHONY KAVANAGH
ROCK OZ ARENES,Avenches,2015-Aout-12,FLORENT PAGNY
ROCK OZ ARENES,Avenches,2015-Aout-13,THE OFFSPRING
ROCK OZ ARENES,Avenches,2015-Aout-14,STEVE AOKI
ROCK OZ ARENES,Avenches,2015-Aout-15,M. POKORA
ROCK OZ ARENES,Avenches,2015-Aout-16,MADAME FORESTI
ROCK OZ ARENES,Avenches,2014-Aout-13,AIRBOURNE
ROCK OZ ARENES,Avenches,2014-Aout-14,ASAF AVIDAN
ROCK OZ ARENES,Avenches,2014-Aout-15,HARDWELL
ROCK OZ ARENES,Avenches,2014-Aout-16,THE ASTEROIDS GALAXY TOUR
ROCK OZ ARENES,Avenches,2014-Aout-17,GAD ELMALEH
ROCK OZ ARENES,Avenches,2013-Aout-14,MICHEL SARDOU
ROCK OZ ARENES,Avenches,2013-Aout-15,AMY MACDONALD
ROCK OZ ARENES,Avenches,2013-Aout-16,DAVID GUETTA
ROCK OZ ARENES,Avenches,2013-Aout-17,MIKA
ROCK OZ ARENES,Avenches,2012-Juil.-31,ZZ TOP
ROCK OZ ARENES,Avenches,2012-Aout-02,IGGY POP
ROCK OZ ARENES,Avenches,2012-Aout-03,ALICE COOPER
ROCK OZ ARENES,Avenches,2012-Aout-04,LMFAO
ROCK OZ ARENES,Avenches,2012-Aout-05,VOULZY & SOUCHON
ROCK OZ ARENES,Avenches,2011-Juil.-31,IGOR BLASKA
ROCK OZ ARENES,Avenches,2011-Aout-03,ARNO
ROCK OZ ARENES,Avenches,2011-Aout-04,MOTORHEAD
ROCK OZ ARENES,Avenches,2011-Aout-05,BEN HARPER & THE INNOCENT CRIMINALS
ROCK OZ ARENES,Avenches,2011-Aout-06,STEPHAN EICHER
ROCK OZ ARENES,Avenches,2010-Aout-11,STATUS QUO
ROCK OZ ARENES,Avenches,2010-Aout-12,PLACEBO
ROCK OZ ARENES,Avenches,2010-Aout-13,CHRISTOPHE MAE
ROCK OZ ARENES,Avenches,2010-Aout-14,FLORENT PAGNY
ROCK OZ ARENES,Avenches,2009-Aout-12,PHILIPP FANKHAUSER
ROCK OZ ARENES,Avenches,2009-Aout-13,THE OFFSPRING
ROCK OZ ARENES,Avenches,2009-Aout-14,DJ LAURENT WOLF
ROCK OZ ARENES,Avenches,2009-Aout-15,GREGOIRE
ROCK OZ ARENES,Avenches,2008-Aout-12,ZUCCHERO
ROCK OZ ARENES,Avenches,2008-Aout-13,SERJ TANKIAN
ROCK OZ ARENES,Avenches,2008-Aout-14,SKA NERFS
ROCK OZ ARENES,Avenches,2008-Aout-15,MIRKO / LAZY FAT PEOPLE
ROCK OZ ARENES,Avenches,2008-Aout-16,HAWKSLEY WORKMAN
ROCK OZ ARENES,Avenches,2007-Aout-15,GOJIRA
ROCK OZ ARENES,Avenches,2007-Aout-16,JOE COCKER
ROCK OZ ARENES,Avenches,2007-Aout-17,SILVERCHAIR
ROCK OZ ARENES,Avenches,2007-Aout-18,STEPHAN EICHER
ROCK OZ ARENES,Avenches,2006-Aout-15,RADIOHEAD
ROCK OZ ARENES,Avenches,2006-Aout-16,WE BROTHERS
ROCK OZ ARENES,Avenches,2006-Aout-17,OCEANSIZE
ROCK OZ ARENES,Avenches,2006-Aout-18,PATRICE
ROCK OZ ARENES,Avenches,2006-Aout-19,NADA SURF
