festival,location,date,artist
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2016-Juil.-14,RICHARD GALLIANO
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2016-Juil.-15,JEREMY PELT
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2016-Juil.-16,ULF WAKENIUS
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2015-Juil.-16,MALIA
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2015-Juil.-17,ERNIE WATTS
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2015-Juil.-18,KYLE EASTWOOD
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2013-Aout-23,TRACTION A VENT
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2013-Aout-24,CEUX QUI MARCHENT DEBOUT (CQMD)
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2013-Aout-26,AGATHE IRACEMA
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2013-Aout-27,MARTIN LECHNER
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2012-Aout-17,SAXITUDE
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2012-Aout-17,RED HOT SERENADERS
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2012-Aout-17,JACKY MILLIET
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2012-Aout-17,FRANK SALIS
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2012-Aout-17,SEPTETO NACIONAL
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2012-Aout-18,SAXITUDE
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2012-Aout-18,QUATUORGANIC
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2012-Aout-18,MARCO MARCHI & THE MOJO WORKERS
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2012-Aout-18,NICOLE HERZOG
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2012-Aout-18,JEAN PHILIPPE SCALI
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2012-Aout-24,L'CHAIM
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2012-Aout-24,ROGER ROBERT & BOOGIE PIANO
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2012-Aout-24,CHARLIE MORRIS
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2012-Aout-24,SONYA PINCON
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2012-Aout-24,PG PROJECT JAZZ
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2012-Aout-25,L'CHAIM
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2012-Aout-25,JABASWING
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2012-Aout-25,LA STRAPATA
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2012-Aout-25,FLAVIO BOLTRO
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2012-Aout-25,MZ DEE
SWING IN THE WIND - SWINGIN,Estavayer le Lac,2012-Aout-26,THE BIG EASY
