festival,location,date,artist
TRANSVOISINES,Fontaine,2012-Nov.-09,MODERN FOLKS
TRANSVOISINES,Carouge,2012-Nov.-10,BROADWAY / B R OAD WAY
TRANSVOISINES,Yverdon Les Bains,2011-Nov.-04,PEAU
TRANSVOISINES,Bourg En Bresse,2011-Nov.-04,KADEBOSTANY
TRANSVOISINES,Monthey,2011-Nov.-05,TRANSGUNNER
TRANSVOISINES,Fontaine,2011-Nov.-05,PEAU
TRANSVOISINES,Lausanne,2011-Nov.-08,THE HILLBILLY MOON EXPLOSION
TRANSVOISINES,Besancon,2011-Nov.-09,BONAPARTE
TRANSVOISINES,Carouge,2011-Nov.-12,KADEBOSTANY
TRANSVOISINES,Monthey,2010-Nov.-05,TAFTA
TRANSVOISINES,Lyon,2010-Nov.-06,N'RELAX
TRANSVOISINES,Chambery,2010-Nov.-09,ANNA AARON
TRANSVOISINES,Annecy,2010-Nov.-12,MARK KELLY
TRANSVOISINES,Bourg En Bresse,2010-Nov.-12,SARRO
TRANSVOISINES,Yverdon Les Bains,2010-Nov.-13,ANNA AARON
TRANSVOISINES,Carouge,2010-Nov.-13,JANINE PELIKANS
TRANSVOISINES,Samoens,2009-Oct.-31,DJAZIA SATOUR
TRANSVOISINES,Yverdon Les Bains,2009-Nov.-06,TRIP IN
TRANSVOISINES,Nyon,2009-Nov.-07,FAKE ODDITY
TRANSVOISINES,Meyrin,2009-Nov.-13,SCRATCH BANDITS CREW
TRANSVOISINES,Cluses,2009-Nov.-13,STEVANS
TRANSVOISINES,Bulle,2009-Nov.-13,MAXXO
TRANSVOISINES,Oyonnax,2009-Nov.-14,KOUMEKIAM
TRANSVOISINES,Reignier,2009-Nov.-14,SCRATCH BANDITS CREW
TRANSVOISINES,Chambery,2008-Oct.-03,NICOLAS FRAISSINET
TRANSVOISINES,Meythet,2008-Oct.-09,VINCENT GAFFET
TRANSVOISINES,Lyon,2008-Oct.-10,KRUGER
TRANSVOISINES,Bulle,2008-Oct.-17,DOCTOR FLAKE
TRANSVOISINES,Yverdon Les Bains,2008-Oct.-24,LOLE
TRANSVOISINES,Divonne Les Bains,2008-Oct.-31,BURIDANE
TRANSVOISINES,Carouge,2008-Oct.-31,MOSQUITO
