festival,location,date,artist
WEEK END AU BORD DE L'EAU A SIERRE,Sierre,2016-Juil.-01,JON MORE
WEEK END AU BORD DE L'EAU A SIERRE,Sierre,2016-Juil.-02,STAVROZ
WEEK END AU BORD DE L'EAU A SIERRE,Sierre,2016-Juil.-03,IMPERIAL TABASCO
WEEK END AU BORD DE L'EAU A SIERRE,Sierre,2015-Juin-26,FAKEAR
WEEK END AU BORD DE L'EAU A SIERRE,Sierre,2015-Juin-27,NIGHTMARES ON WAX
WEEK END AU BORD DE L'EAU A SIERRE,Sierre,2015-Juin-28,THE TWO
WEEK END AU BORD DE L'EAU A SIERRE,Sierre,2014-Juin-27,MOP MOP (INSTRUMENTAL COMBO)
WEEK END AU BORD DE L'EAU A SIERRE,Sierre,2014-Juin-28,SYNAPSON
WEEK END AU BORD DE L'EAU A SIERRE,Sierre,2014-Juin-29,EMEL MATHLOUTHI
WEEK END AU BORD DE L'EAU A SIERRE,Sierre,2013-Juin-28,THEO PARRISH
WEEK END AU BORD DE L'EAU A SIERRE,Sierre,2013-Juin-29,AZAXX (DJ)
WEEK END AU BORD DE L'EAU A SIERRE,Sierre,2013-Juin-30,JUKEBOX CHAMPIONS
WEEK END AU BORD DE L'EAU A SIERRE,Sierre,2012-Juin-29,TM JUKE
WEEK END AU BORD DE L'EAU A SIERRE,Sierre,2012-Juin-30,AWESOME TAPES FROM AFRICA
WEEK END AU BORD DE L'EAU A SIERRE,Sierre,2012-Juil.-01,REMY KOLPA KOPOUL AKA PRINCESS JORGE (DJ RKK)
WEEK END AU BORD DE L'EAU A SIERRE,Sierre,2011-Juil.-01,KID KOALA
WEEK END AU BORD DE L'EAU A SIERRE,Sierre,2011-Juil.-02,MOTOR CITY DRUM ENSEMBLE
WEEK END AU BORD DE L'EAU A SIERRE,Sierre,2011-Juil.-03,OY
WEEK END AU BORD DE L'EAU A SIERRE,Sierre,2010-Juin-25,THE BAMBOOS
WEEK END AU BORD DE L'EAU A SIERRE,Sierre,2010-Juin-26,MARIANA DA CRUZ
WEEK END AU BORD DE L'EAU A SIERRE,Sierre,2010-Juin-27,AKATARUS
WEEK END AU BORD DE L'EAU A SIERRE,Sierre,2009-Juin-26,GILLES PETERSON
WEEK END AU BORD DE L'EAU A SIERRE,Sierre,2009-Juin-27,CHUCK LOVE
WEEK END AU BORD DE L'EAU A SIERRE,Sierre,2008-Juin-27,JAZZANOVA
WEEK END AU BORD DE L'EAU A SIERRE,Sierre,2007-Juin-29,BONOBO
WEEK END AU BORD DE L'EAU A SIERRE,Sierre,2007-Juin-30,ALEX ATTIAS
