location,event,date,artist
Denens,BERLES ROCK FESTIVAL,2009-07-17,ELECTRIC ELECTRIC
Lucerne,BLUE BALLS,2009-07-17,MARVIN
Lucerne,BLUE BALLS,2009-07-17,JAMIE LIDELL
Lucerne,BLUE BALLS,2009-07-17,HURLEY AND THE BLUE DOTS
Bern,GURTEN FESTIVAL BERN,2009-07-17,AYO
Zurich,LIVE AT SUNSET,2009-07-17,PEPE LIENHARD
Montreux,MONTREUX JAZZ FESTIVAL,2009-07-17,MELODY GARDOT
Montreux,MONTREUX JAZZ FESTIVAL,2009-07-17,JEFF BECK
Geneve,MUSIQUES EN ETE,2009-07-17,OPERA DE CHAMBRE DE GENEVE
Geneve,MUSIQUES EN ETE,2009-07-17,RODOLPHE BURGER
Verbier,VERBIER FESTIVAL,2009-07-17,VADIM REPIN
