festival,location,date,artist
AFRO - PFINGSTEN,Winterthur,2014-Juin-05,EARTH WIND & FIRE EXPERIENCE FEATURING AL MCKAY
AFRO - PFINGSTEN,Winterthur,2014-Juin-06,OPEN SEASON
AFRO - PFINGSTEN,Winterthur,2014-Juin-07,STEFF LA CHEFFE
AFRO - PFINGSTEN,Winterthur,2014-Juin-08,THE GARIFUNA COLLECTIVE
AFRO - PFINGSTEN,Winterthur,2014-Juin-08,LINDIGO
AFRO - PFINGSTEN,Winterthur,2013-Mai-17,ALPHA BLONDY
AFRO - PFINGSTEN,Winterthur,2013-Mai-18,MACACO
AFRO - PFINGSTEN,Winterthur,2013-Mai-19,ACOUSTIC AFRICA
AFRO - PFINGSTEN,Winterthur,2013-Mai-19,SALIF KEITA
AFRO - PFINGSTEN,Winterthur,2012-Mai-25,JIMMY CLIFF
AFRO - PFINGSTEN,Winterthur,2012-Mai-26,ROLDAN
AFRO - PFINGSTEN,Winterthur,2012-Mai-27,CHEIKH LO
AFRO - PFINGSTEN,Winterthur,2012-Mai-27,TOURE KUNDA
AFRO - PFINGSTEN,Winterthur,2011-Juin-10,JULIAN MARLEY
AFRO - PFINGSTEN,Winterthur,2011-Juin-11,SERGENT GARCIA
AFRO - PFINGSTEN,Winterthur,2011-Juin-12,VIEUX FARKA TOURE
AFRO - PFINGSTEN,Winterthur,2011-Juin-12,NNEKA
AFRO - PFINGSTEN,Winterthur,2010-Mai-21,MYKAL ROSE / MICHAEL ROSE
AFRO - PFINGSTEN,Winterthur,2010-Mai-22,ORQUESTA BUENA VISTA SOCIAL CLUB
AFRO - PFINGSTEN,Winterthur,2010-Mai-23,LOKUA KANZA
AFRO - PFINGSTEN,Winterthur,2010-Mai-23,ANGELIQUE KIDJO
AFRO - PFINGSTEN,Winterthur,2009-Mai-29,KY MANI MARLEY
AFRO - PFINGSTEN,Winterthur,2009-Mai-30,ORISHAS
AFRO - PFINGSTEN,Winterthur,2009-Mai-31,MAMADY KEITA
AFRO - PFINGSTEN,Winterthur,2009-Mai-31,SEUN KUTI
AFRO - PFINGSTEN,Winterthur,2008-Mai-09,ALPHA BLONDY
AFRO - PFINGSTEN,Winterthur,2008-Mai-10,ISMAEL LO
AFRO - PFINGSTEN,Winterthur,2008-Mai-11,SOKAN
AFRO - PFINGSTEN,Winterthur,2007-Mai-24,GHETTO BLASTER
AFRO - PFINGSTEN,Winterthur,2007-Mai-25,KAJEEM
AFRO - PFINGSTEN,Winterthur,2007-Mai-26,MERCADONEGRO
AFRO - PFINGSTEN,Winterthur,2007-Mai-27,ATONGO ZIMBA
AFRO - PFINGSTEN,Winterthur,2007-Mai-27,OMAR PENE
AFRO - PFINGSTEN,Winterthur,2007-Mai-28,MANU DIBANGO
AFRO - PFINGSTEN,Winterthur,2006-Juin-02,TIKEN JAH FAKOLY
AFRO - PFINGSTEN,Winterthur,2006-Juin-03,KHALED
AFRO - PFINGSTEN,Winterthur,2006-Juin-04,SAF SAP
AFRO - PFINGSTEN,Winterthur,2006-Juin-04,CHEIKH LO
AFRO - PFINGSTEN,Winterthur,2006-Juin-05,LURA
