festival,location,date,artist
AM SCHLUSS,Thun,2013-Juil.-24,SAMIR ESSAHBI
AM SCHLUSS,Thun,2013-Juil.-25,JAMARAM
AM SCHLUSS,Thun,2013-Juil.-26,GUSTAV'
AM SCHLUSS,Thun,2013-Juil.-28,LUNIK
AM SCHLUSS,Thun,2013-Juil.-29,EVELINN TROUBLE
AM SCHLUSS,Thun,2013-Juil.-30,HEISSKALT
AM SCHLUSS,Thun,2013-Juil.-31,CHICA TORPEDO
AM SCHLUSS,Thun,2013-Aout-01,STILLER HAS
AM SCHLUSS,Thun,2013-Aout-03,17 HIPPIES
AM SCHLUSS,Thun,2013-Aout-04,DIKANDA
AM SCHLUSS,Thun,2012-Juil.-18,MARIA DOYLE KENNEDY
AM SCHLUSS,Thun,2012-Juil.-19,UNDESCOVERED SOUL
AM SCHLUSS,Thun,2012-Juil.-20,LOS DE ABAJO
AM SCHLUSS,Thun,2012-Juil.-22,KUTTI MC
AM SCHLUSS,Thun,2012-Juil.-23,BOMBINO
AM SCHLUSS,Thun,2012-Juil.-24,17 HIPPIES
AM SCHLUSS,Thun,2012-Juil.-25,BOO BOO DAVIS BAND
AM SCHLUSS,Thun,2012-Juil.-26,PHENOMDEN
AM SCHLUSS,Thun,2012-Juil.-27,CARAVANA
AM SCHLUSS,Thun,2012-Juil.-29,KUMMERBUBEN
AM SCHLUSS,Thun,2011-Juil.-20,TRAKTORKESTAR
AM SCHLUSS,Thun,2011-Juil.-21,HANS SOLLNER
AM SCHLUSS,Thun,2011-Juil.-22,KAREYCE FOTSO
AM SCHLUSS,Thun,2011-Juil.-23,MICHAEL VON DER HEIDE
AM SCHLUSS,Thun,2011-Juil.-24,JAMARAM
AM SCHLUSS,Thun,2011-Juil.-25,NIDI D'ARAC
AM SCHLUSS,Thun,2011-Juil.-26,DEL CASTILLO
AM SCHLUSS,Thun,2011-Juil.-27,JUAN ROZOFF
AM SCHLUSS,Thun,2011-Juil.-28,OPEN SEASON
AM SCHLUSS,Thun,2011-Juil.-29,STILLER HAS
AM SCHLUSS,Thun,2011-Juil.-30,CHURCHHILL
