festival,location,date,artist
BAD BONN KILBI,Duedingen,2016-Juin-02,TY SEGALL
BAD BONN KILBI,Duedingen,2016-Juin-03,FLOATING POINTS
BAD BONN KILBI,Duedingen,2016-Juin-04,SAVAGES
BAD BONN KILBI,Duedingen,2015-Mai-28,THE BLACK ANGELS
BAD BONN KILBI,Duedingen,2015-Mai-29,SLEAFORD MODS
BAD BONN KILBI,Duedingen,2015-Mai-30,THURSTON MOORE (SONIC YOUTH)
BAD BONN KILBI,Duedingen,2013-Mai-23,MY BLOODY VALENTINE
BAD BONN KILBI,Duedingen,2013-Mai-24,GRIZZLY BEAR
BAD BONN KILBI,Duedingen,2013-Mai-25,SPECK
BAD BONN KILBI,Duedingen,2012-Mai-31,KINGS OF CONVENIENCE
BAD BONN KILBI,Duedingen,2012-Juin-01,METRONOMY
BAD BONN KILBI,Duedingen,2012-Juin-02,THE AFGHAN WHIGS
BAD BONN KILBI,Duedingen,2012-Juil.-10,BONNIE PRINCE BILLY
BAD BONN KILBI,Duedingen,2012-Juil.-11,BONNIE PRINCE BILLY
BAD BONN KILBI,Duedingen,2012-Juil.-30,THURSTON MOORE (SONIC YOUTH)
BAD BONN KILBI,Duedingen,2012-Aout-12,DAN MANGAN
BAD BONN KILBI,Duedingen,2011-Mai-26,QUEENS OF THE STONE AGE
BAD BONN KILBI,Duedingen,2011-Mai-27,CARIBOU
BAD BONN KILBI,Duedingen,2011-Mai-28,BATTLES
BAD BONN KILBI,Duedingen,2010-Mai-26,APHEX TWIN
BAD BONN KILBI,Duedingen,2010-Mai-27,HEALTH
BAD BONN KILBI,Duedingen,2010-Mai-28,HOT CHIP
BAD BONN KILBI,Duedingen,2010-Mai-29,YEASAYER
BAD BONN KILBI,Duedingen,2009-Mai-29,AGENT ORANGE
BAD BONN KILBI,Duedingen,2009-Mai-30,MICACHU & THE SHAPES
BAD BONN KILBI,Duedingen,2009-Mai-31,THE DRONES
BAD BONN KILBI,Duedingen,2008-Mai-29,BLACK MOUNTAIN
BAD BONN KILBI,Duedingen,2008-Mai-30,MELT BANANA
BAD BONN KILBI,Duedingen,2008-Mai-31,THE NOTWIST
BAD BONN KILBI,Duedingen,2007-Juin-07,FENNESZ
BAD BONN KILBI,Duedingen,2007-Juin-08,OXBOW
BAD BONN KILBI,Duedingen,2007-Juin-09,COCOROSIE
BAD BONN KILBI,Duedingen,2006-Juin-01,BRANT BJORK
BAD BONN KILBI,Duedingen,2006-Juin-02,THE SUBWAYS
BAD BONN KILBI,Duedingen,2006-Juin-03,ANIMAL COLLECTIVE
