festival,location,date,artist
BALELEC,Lausanne,2016-Mai-13,FRITZ KALKBRENNER
BALELEC,Lausanne,2015-Mai-08,YANAC
BALELEC,Lausanne,2014-Mai-09,SBCR aka THE BLOODY BEETROOTS
BALELEC,Lausanne,2013-Mai-03,NETSKY
BALELEC,Lausanne,2012-Mai-11,INNA DE YARD
BALELEC,Lausanne,2011-Mai-14,LES WAMPAS
BALELEC,Lausanne,2011-Mai-14,EZ3KIEL
BALELEC,Lausanne,2011-Mai-14,JAEKO
BALELEC,Lausanne,2011-Mai-14,ELECTRIC BAZAR CIE
BALELEC,Lausanne,2011-Mai-14,MAKE THE GIRL DANCE
BALELEC,Lausanne,2010-Mai-07,JOYEUX URBAINS
BALELEC,Lausanne,2009-Mai-08,LES HURLEMENTS D'LEO (CHANTENT MANO SOLO)
BALELEC,Lausanne,2008-Mai-16,ALOAN
BALELEC,Lausanne,2007-Mai-25,AGORIA
