festival,location,date,artist
BLUES RULES CRISSIER,Crissier,2016-Mai-20,NAOMI SHELTON
BLUES RULES CRISSIER,Crissier,2016-Mai-21,CEDRIC BURNSIDE
BLUES RULES CRISSIER,Crissier,2015-Mai-29,LUCKY PETERSON
BLUES RULES CRISSIER,Crissier,2015-Mai-30,SCOTT H BIRAM
BLUES RULES CRISSIER,Crissier,2014-Juin-07,LEO DECOUVRE LE BLUES
BLUES RULES CRISSIER,Crissier,2014-Juin-08,LEO DECOUVRE LE BLUES
BLUES RULES CRISSIER,Crissier,2012-Mai-26,LR PHOENIX
BLUES RULES CRISSIER,Crissier,2012-Mai-27,ATATURK BAND
BLUES RULES CRISSIER,Crissier,2011-Mai-27,FLOYD BEAUMONT
BLUES RULES CRISSIER,Crissier,2011-Mai-28,ERIC MCFADDEN
BLUES RULES CRISSIER,Crissier,2010-Mai-15,T. ROGERS
BLUES RULES CRISSIER,Crissier,2010-Mai-16,YOM FROM MARS
