festival,location,date,artist
FESTIVAL DE JAZZ DE L'AMR,Geneve,2016-Mar.-15,JOE LOVANO
FESTIVAL DE JAZZ DE L'AMR,Geneve,2016-Mar.-16,PLAISTOW
FESTIVAL DE JAZZ DE L'AMR,Geneve,2016-Mar.-17,BAD RESOLUTION
FESTIVAL DE JAZZ DE L'AMR,Geneve,2016-Mar.-18,INNLAANDS
FESTIVAL DE JAZZ DE L'AMR,Geneve,2016-Mar.-19,YANNICK DELEZ
FESTIVAL DE JAZZ DE L'AMR,Geneve,2016-Mar.-20,MARCOS JIMENEZ
FESTIVAL DE JAZZ DE L'AMR,Geneve,2015-Mar.-24,MANU GESSENEY
FESTIVAL DE JAZZ DE L'AMR,Geneve,2015-Mar.-25,KUARA
FESTIVAL DE JAZZ DE L'AMR,Geneve,2015-Mar.-26,ANTOINE THOUVENIN
FESTIVAL DE JAZZ DE L'AMR,Geneve,2015-Mar.-27,BASEL RAJOUB
FESTIVAL DE JAZZ DE L'AMR,Geneve,2015-Mar.-28,MATHIEU ROSSIGNELLY
FESTIVAL DE JAZZ DE L'AMR,Geneve,2015-Mar.-29,ANDERS JORMIN
FESTIVAL DE JAZZ DE L'AMR,Geneve,2014-Mar.-18,BOBO STENSON
FESTIVAL DE JAZZ DE L'AMR,Geneve,2014-Mar.-19,SEBASTIEN AMMANN
FESTIVAL DE JAZZ DE L'AMR,Geneve,2014-Mar.-20,GENTLE MARVEL
FESTIVAL DE JAZZ DE L'AMR,Geneve,2014-Mar.-21,STEVE KUHN
FESTIVAL DE JAZZ DE L'AMR,Geneve,2014-Mar.-22,GANESH GEYMEIER
FESTIVAL DE JAZZ DE L'AMR,Geneve,2014-Mar.-23,ANTIDOGMA
FESTIVAL DE JAZZ DE L'AMR,Geneve,2013-Mar.-19,JEAN-LOU TREBOUX
FESTIVAL DE JAZZ DE L'AMR,Geneve,2013-Mar.-20,JOHN SCOFIELD
FESTIVAL DE JAZZ DE L'AMR,Geneve,2013-Mar.-21,NICOLAS MASSON
FESTIVAL DE JAZZ DE L'AMR,Geneve,2013-Mar.-22,ENRICO PIERANUNZI
FESTIVAL DE JAZZ DE L'AMR,Geneve,2013-Mar.-23,JOY FREMPONG
FESTIVAL DE JAZZ DE L'AMR,Geneve,2013-Mar.-24,GERRY HEMINGWAY
FESTIVAL DE JAZZ DE L'AMR,Geneve,2012-Mar.-20,TRIONYX
FESTIVAL DE JAZZ DE L'AMR,Geneve,2012-Mar.-21,ARVE HENRIKSEN
FESTIVAL DE JAZZ DE L'AMR,Geneve,2012-Mar.-22,MICHEL BASTET
FESTIVAL DE JAZZ DE L'AMR,Geneve,2012-Mar.-23,FLORENCE MELNOTTE
FESTIVAL DE JAZZ DE L'AMR,Geneve,2012-Mar.-24,ELINA DUNI
FESTIVAL DE JAZZ DE L'AMR,Geneve,2012-Mar.-25,JOHN TAYLOR
FESTIVAL DE JAZZ DE L'AMR,Geneve,2011-Avr.-05,FANFARE DU LOUP ORCHESTRA (LE CRI DU SON)
FESTIVAL DE JAZZ DE L'AMR,Geneve,2011-Avr.-06,GABRIEL ZUFFEREY
FESTIVAL DE JAZZ DE L'AMR,Geneve,2011-Avr.-07,KURT ROSENWINKEL
FESTIVAL DE JAZZ DE L'AMR,Geneve,2011-Avr.-09,CHRISTOPHE BERTHET
FESTIVAL DE JAZZ DE L'AMR,Geneve,2011-Avr.-10,NASHEET WAITS
FESTIVAL DE JAZZ DE L'AMR,Geneve,2010-Mar.-04,MICHEL WINTSCH
FESTIVAL DE JAZZ DE L'AMR,Geneve,2010-Mar.-05,MALCOLM BRAFF
FESTIVAL DE JAZZ DE L'AMR,Geneve,2010-Mar.-06,LES MYSTERES DE L'OUEST
FESTIVAL DE JAZZ DE L'AMR,Geneve,2010-Mar.-07,PHILIPPE KOLLER
FESTIVAL DE JAZZ DE L'AMR,Geneve,2009-Avr.-23,UNIT
FESTIVAL DE JAZZ DE L'AMR,Geneve,2009-Avr.-24,MERCADONEGRO
FESTIVAL DE JAZZ DE L'AMR,Geneve,2009-Avr.-25,GLENN FERRIS
FESTIVAL DE JAZZ DE L'AMR,Geneve,2009-Avr.-26,OHAD TALMOR
FESTIVAL DE JAZZ DE L'AMR,Geneve,2008-Avr.-17,YVES ROBERT
FESTIVAL DE JAZZ DE L'AMR,Geneve,2008-Avr.-18,LE GRUPETTO
FESTIVAL DE JAZZ DE L'AMR,Geneve,2008-Avr.-19,LEBOCAL
FESTIVAL DE JAZZ DE L'AMR,Geneve,2008-Avr.-20,CHLOE LEVY
FESTIVAL DE JAZZ DE L'AMR,Geneve,2008-Avr.-20,HENRI TEXIER
FESTIVAL DE JAZZ DE L'AMR,Geneve,2007-Avr.-19,MALCOLM BRAFF
FESTIVAL DE JAZZ DE L'AMR,Geneve,2007-Avr.-20,LAURENT DEHORS
FESTIVAL DE JAZZ DE L'AMR,Geneve,2007-Avr.-21,THOMAS LEHN
FESTIVAL DE JAZZ DE L'AMR,Geneve,2007-Avr.-22,DAVID VENITUCCI
FESTIVAL DE JAZZ DE L'AMR,Geneve,2007-Avr.-22,PAVEL PESTA RE BOP QUINTET
FESTIVAL DE JAZZ DE L'AMR,Geneve,2006-Avr.-07,ANDREW HILL
FESTIVAL DE JAZZ DE L'AMR,Geneve,2006-Avr.-08,BILL FRISELL
FESTIVAL DE JAZZ DE L'AMR,Geneve,2006-Avr.-09,NICOLAS MASSON
FESTIVAL DE JAZZ DE L'AMR,Geneve,2006-Avr.-09,INSTANT COMPOSER POOL ORCHESTRA / ICP
