festival,location,date,artist
FETE DU BISON & WEEK END COUNTRY,Boncourt,2011-Sep.-23,CARROUSEL
FETE DU BISON & WEEK END COUNTRY,Boncourt,2011-Sep.-24,MARIOTTI BROTHERS BAND
FETE DU BISON & WEEK END COUNTRY,Boncourt,2011-Sep.-25,RIMROCK COUNTRY BAND
FETE DU BISON & WEEK END COUNTRY,Boncourt,2009-Sep.-18,GREGOIRE
FETE DU BISON & WEEK END COUNTRY,Boncourt,2009-Sep.-19,LIANE EDWARDS
FETE DU BISON & WEEK END COUNTRY,Boncourt,2009-Sep.-20,PAUL MAC BONVIN
FETE DU BISON & WEEK END COUNTRY,Boncourt,2007-Sep.-21,BIG ROCK
FETE DU BISON & WEEK END COUNTRY,Boncourt,2007-Sep.-22,MARIE DAZZLER
FETE DU BISON & WEEK END COUNTRY,Boncourt,2007-Sep.-23,PHENIX COUNTRY B
FETE DU BISON & WEEK END COUNTRY,Boncourt,2006-Sep.-22,TAFTA
FETE DU BISON & WEEK END COUNTRY,Boncourt,2006-Sep.-23,APPALOOSA
FETE DU BISON & WEEK END COUNTRY,Boncourt,2006-Sep.-24,COUNTRY COOKING
