festival,location,date,artist
FETES DE GENEVE,Geneve,2015-Juil.-16,NADA SURF
FETES DE GENEVE,Geneve,2015-Juil.-17,GRUPO COMPAY SEGUNDO
FETES DE GENEVE,Geneve,2015-Juil.-18,SAX MACHINE
FETES DE GENEVE,Geneve,2015-Juil.-19,NIKKI HILL
FETES DE GENEVE,Geneve,2015-Juil.-20,CHE SUDAKA
FETES DE GENEVE,Geneve,2015-Juil.-22,MmMmM
FETES DE GENEVE,Geneve,2015-Juil.-23,JO / JOSE METTRAUX
FETES DE GENEVE,Geneve,2015-Juil.-24,BLANDINE ROBIN
FETES DE GENEVE,Geneve,2015-Juil.-25,RICE AND BEANS
FETES DE GENEVE,Geneve,2015-Juil.-26,JETLAKES
FETES DE GENEVE,Geneve,2015-Juil.-27,MARC AYMON
FETES DE GENEVE,Geneve,2015-Juil.-28,LES PETITS CHANTEURS A LA GUEULE DE BOIS
FETES DE GENEVE,Geneve,2015-Juil.-29,FILLS MONKEY
FETES DE GENEVE,Geneve,2015-Juil.-30,BEN L'ONCLE SOUL
FETES DE GENEVE,Geneve,2015-Juil.-31,REMADY
FETES DE GENEVE,Geneve,2015-Aout-01,ALIOSE
FETES DE GENEVE,Geneve,2015-Aout-02,THOMAS SCHOEFFLER JR
FETES DE GENEVE,Geneve,2015-Aout-03,DJ CLICK
FETES DE GENEVE,Geneve,2015-Aout-04,NAMASTE
FETES DE GENEVE,Geneve,2015-Aout-05,PETER PIEK
FETES DE GENEVE,Geneve,2015-Aout-06,GARADH
FETES DE GENEVE,Geneve,2015-Aout-07,LADY BAZAAR
FETES DE GENEVE,Geneve,2015-Aout-08,IGOR BLASKA
FETES DE GENEVE,Geneve,2015-Aout-09,UROS PERICH
FETES DE GENEVE,Geneve,2014-Juil.-17,AIR BOX
FETES DE GENEVE,Geneve,2014-Juil.-18,REDWOOD
FETES DE GENEVE,Geneve,2014-Juil.-19,ALDEBERT : ENFANTILLAGES
FETES DE GENEVE,Geneve,2014-Juil.-20,BUKATRIBE
FETES DE GENEVE,Geneve,2014-Juil.-21,FAADA FREDDY
