festival,location,date,artist
FR KATZ FESTIVAL,Duedingen,2008-Dec.-11,MIXHELL
FR KATZ FESTIVAL,Duedingen,2008-Dec.-12,DIMENSION X
FR KATZ FESTIVAL,Duedingen,2008-Dec.-13,DJ FETT
FR KATZ FESTIVAL,Duedingen,2007-Dec.-06,FOOD FOR ANIMALS
FR KATZ FESTIVAL,Duedingen,2007-Dec.-07,FREAKS
FR KATZ FESTIVAL,Duedingen,2007-Dec.-08,DJ FETT
FR KATZ FESTIVAL,Duedingen,2006-Dec.-07,ZU
FR KATZ FESTIVAL,Duedingen,2006-Dec.-08,LE CLUB DES CHATS
FR KATZ FESTIVAL,Duedingen,2006-Dec.-09,NORIKO TUJIKO
FR KATZ FESTIVAL,Duedingen,2006-Dec.-10,JEFFREY LEWIS
