festival,location,date,artist
LUGANO ESTIVAL JAZZ,Mendrisio,2013-Juin-28,DIROTTA SU CUBA
LUGANO ESTIVAL JAZZ,Mendrisio,2013-Juin-29,MIKE STERN
LUGANO ESTIVAL JAZZ,Lugano,2013-Juil.-04,GINO PAOLI
LUGANO ESTIVAL JAZZ,Lugano,2013-Juil.-05,ORCHESTRE DE LA SUISSE ITALIENNE / ORCHESTRA DELLA SVIZZERA ITALIANA
LUGANO ESTIVAL JAZZ,Lugano,2013-Juil.-06,ARTURO SANDOVAL
LUGANO ESTIVAL JAZZ,Mendrisio,2012-Juin-29,CALIMA
LUGANO ESTIVAL JAZZ,Mendrisio,2012-Juin-30,AL DI MEOLA
LUGANO ESTIVAL JAZZ,Lugano,2012-Juil.-05,LIZZ WRIGHT
LUGANO ESTIVAL JAZZ,Lugano,2012-Juil.-06,DR JOHN & THE NITE TRIPPERS
LUGANO ESTIVAL JAZZ,Lugano,2012-Juil.-07,MICHEL CAMILO
LUGANO ESTIVAL JAZZ,Mendrisio,2011-Juin-24,OMAR SOSA
LUGANO ESTIVAL JAZZ,Mendrisio,2011-Juin-25,PAPA WEMBA
LUGANO ESTIVAL JAZZ,Lugano,2011-Juin-30,HIROMI (THE TRIO PROJECT)
LUGANO ESTIVAL JAZZ,Lugano,2011-Juil.-01,AFRO CELT SOUND SYSTEM
LUGANO ESTIVAL JAZZ,Lugano,2011-Juil.-02,LARRY GRAHAM
LUGANO ESTIVAL JAZZ,Mendrisio,2010-Juin-25,BILLY COBHAM
LUGANO ESTIVAL JAZZ,Mendrisio,2010-Juin-26,CHEICK TIDIANE SECK
LUGANO ESTIVAL JAZZ,Lugano,2010-Juil.-01,INCOGNITO
LUGANO ESTIVAL JAZZ,Lugano,2010-Juil.-02,BILL EVANS
LUGANO ESTIVAL JAZZ,Lugano,2010-Juil.-03,KIP HANRAHAN
