festival,location,date,artist
METALFEST,Pratteln,2012-Juin-07,BEHEMOTH
METALFEST,Pratteln,2012-Juin-08,KYUSS LIVES
METALFEST,Pratteln,2012-Juin-09,BLIND GUARDIAN
METALFEST,Pratteln,2012-Juin-10,KREATOR
METALFEST,Pratteln,2011-Mai-26,DESTRUCTION
METALFEST,Pratteln,2011-Mai-27,ARCH ENEMY
METALFEST,Pratteln,2011-Mai-28,EQUILIBRIUM
METALFEST,Pratteln,2011-Mai-29,MERCENARY
METALFEST,Pratteln,2009-Mai-21,TEXTURES
METALFEST,Pratteln,2009-Mai-22,FIREWIND
METALFEST,Pratteln,2009-Mai-23,KEEP OF KALESSIN
