festival,location,date,artist
METROPOP FESTIVAL,Lausanne,2016-Nov.-10,VITALIC
METROPOP FESTIVAL,Lausanne,2016-Nov.-11,THE KILLS
METROPOP FESTIVAL,Lausanne,2016-Nov.-12,ANTHONY B
METROPOP FESTIVAL,Lausanne,2015-Nov.-05,ALPHA BLONDY
METROPOP FESTIVAL,Lausanne,2015-Nov.-06,CALEXICO
METROPOP FESTIVAL,Lausanne,2015-Nov.-07,ARCHIVE
METROPOP FESTIVAL,Lausanne,2014-Nov.-06,TALISCO
METROPOP FESTIVAL,Lausanne,2014-Nov.-07,DANAKIL
METROPOP FESTIVAL,Lausanne,2014-Nov.-08,GRAMATIK
METROPOP FESTIVAL,Lausanne,2013-Nov.-07,PAROV STELAR
METROPOP FESTIVAL,Lausanne,2013-Nov.-08,LILLY WOOD AND THE PRICK
METROPOP FESTIVAL,Lausanne,2013-Nov.-09,GAETAN ROUSSEL
METROPOP FESTIVAL,Lausanne,2012-Nov.-08,WAX TAILOR
METROPOP FESTIVAL,Lausanne,2012-Nov.-09,BLOC PARTY
METROPOP FESTIVAL,Lausanne,2012-Nov.-10,LKJ (LINTON KWESI JOHNSON)
METROPOP FESTIVAL,Lausanne,2011-Nov.-10,MORIARTY - WATI WATIA ZOREY BAND
METROPOP FESTIVAL,Lausanne,2011-Nov.-11,RAGGASONIC
METROPOP FESTIVAL,Lausanne,2011-Nov.-12,KEREN ANN
METROPOP FESTIVAL,Lausanne,2010-Nov.-11,DJERMEN
METROPOP FESTIVAL,Lausanne,2010-Nov.-11,JUSTIN NOZUKA
METROPOP FESTIVAL,Lausanne,2010-Nov.-12,BACK INNA DAYS SOUND
METROPOP FESTIVAL,Lausanne,2010-Nov.-12,THE SKATALITES
METROPOP FESTIVAL,Lausanne,2010-Nov.-13,BLACK REBEL MOTORCYCLE CLUB
METROPOP FESTIVAL,Lausanne,2010-Nov.-13,PRINCESS SUPERSTAR
METROPOP FESTIVAL,Lausanne,2010-Nov.-14,PIANO CLUB
METROPOP FESTIVAL,Lausanne,2009-Nov.-12,MICKEY 3D
METROPOP FESTIVAL,Lausanne,2009-Nov.-13,GROUNDATION
METROPOP FESTIVAL,Lausanne,2009-Nov.-13,NOZE
METROPOP FESTIVAL,Lausanne,2009-Nov.-13,GHINZU
METROPOP FESTIVAL,Lausanne,2009-Nov.-13,BURIED INSIDE
METROPOP FESTIVAL,Lausanne,2009-Nov.-14,PASCALE PICARD
METROPOP FESTIVAL,Lausanne,2009-Nov.-14,THE SUBS
METROPOP FESTIVAL,Lausanne,2009-Nov.-14,DALEK
METROPOP FESTIVAL,Lausanne,2009-Nov.-14,MAYER HAWTHORNE
METROPOP FESTIVAL,Lausanne,2008-Nov.-06,THE INFADELS
METROPOP FESTIVAL,Lausanne,2008-Nov.-06,DJ BABOUIN
METROPOP FESTIVAL,Lausanne,2008-Nov.-07,LUCIOLE
METROPOP FESTIVAL,Lausanne,2008-Nov.-07,MICKY GREEN
METROPOP FESTIVAL,Lausanne,2008-Nov.-07,GENGHIS TRON
METROPOP FESTIVAL,Lausanne,2008-Nov.-07,ERIC BORGO
METROPOP FESTIVAL,Lausanne,2008-Nov.-08,JUNIOR TSHAKA
METROPOP FESTIVAL,Lausanne,2008-Nov.-08,SEBASTIEN TELLIER
METROPOP FESTIVAL,Lausanne,2008-Nov.-08,PSY4 DE LA RIME
METROPOP FESTIVAL,Lausanne,2008-Nov.-08,GAY AGAINST YOU
