festival,location,date,artist
OPEN AIR DE GAMPEL,Gampel,2015-Aout-20,DIE TOTEN HOSEN
OPEN AIR DE GAMPEL,Gampel,2015-Aout-21,KUMMERBUBEN
OPEN AIR DE GAMPEL,Gampel,2015-Aout-22,BREAKDOWN OF SANITY
OPEN AIR DE GAMPEL,Gampel,2015-Aout-23,CLUESO
OPEN AIR DE GAMPEL,Gampel,2013-Aout-15,THE COURTEENERS
OPEN AIR DE GAMPEL,Gampel,2013-Aout-16,DEAP VALLY
OPEN AIR DE GAMPEL,Gampel,2013-Aout-17,HEIDI HAPPY
OPEN AIR DE GAMPEL,Gampel,2013-Aout-18,LARRY AND HIS FLASK
OPEN AIR DE GAMPEL,Gampel,2012-Aout-16,BEATSTEAKS
OPEN AIR DE GAMPEL,Gampel,2012-Aout-17,HUCK FINN
OPEN AIR DE GAMPEL,Gampel,2012-Aout-18,FAMARA
OPEN AIR DE GAMPEL,Gampel,2012-Aout-19,BASTIAN BAKER
OPEN AIR DE GAMPEL,Gampel,2011-Aout-18,GOMEZ
OPEN AIR DE GAMPEL,Gampel,2011-Aout-19,THE RAMBLING WHEELS
OPEN AIR DE GAMPEL,Gampel,2011-Aout-20,RUSSKAJA
OPEN AIR DE GAMPEL,Gampel,2011-Aout-21,STEFF LA CHEFFE
OPEN AIR DE GAMPEL,Gampel,2010-Aout-19,STATE RADIO
OPEN AIR DE GAMPEL,Gampel,2010-Aout-20,ETERNAL TANGO
OPEN AIR DE GAMPEL,Gampel,2010-Aout-21,REDWOOD
OPEN AIR DE GAMPEL,Gampel,2010-Aout-22,CHICA TORPEDO
OPEN AIR DE GAMPEL,Gampel,2009-Aout-13,STOCKITOWN
OPEN AIR DE GAMPEL,Gampel,2009-Aout-14,DS PERSONAL
OPEN AIR DE GAMPEL,Gampel,2009-Aout-15,ASAF AVIDAN
OPEN AIR DE GAMPEL,Gampel,2009-Aout-16,MAD MANOUSH
OPEN AIR DE GAMPEL,Gampel,2008-Aout-14,DIE FANTASTISCHEN VIER
OPEN AIR DE GAMPEL,Gampel,2008-Aout-15,OOMPH
OPEN AIR DE GAMPEL,Gampel,2008-Aout-16,THE LOCOS
OPEN AIR DE GAMPEL,Gampel,2008-Aout-17,ZURI WEST
OPEN AIR DE GAMPEL,Gampel,2007-Aout-16,IN EXTREMO
OPEN AIR DE GAMPEL,Gampel,2007-Aout-17,THE ANSWER
OPEN AIR DE GAMPEL,Gampel,2007-Aout-18,WILLIAM WHITE
OPEN AIR DE GAMPEL,Gampel,2007-Aout-19,GOCOO
OPEN AIR DE GAMPEL,Gampel,2006-Aout-17,THE PRODIGY
OPEN AIR DE GAMPEL,Gampel,2006-Aout-18,NADA SURF
OPEN AIR DE GAMPEL,Gampel,2006-Aout-19,MANDO DIAO
OPEN AIR DE GAMPEL,Gampel,2006-Aout-20,MY CHEMICAL ROMANCE
