festival,location,date,artist
OPEN AIR DE SAINT GALLEN,Saint Gallen,2016-Juin-30,FETTES BROT
OPEN AIR DE SAINT GALLEN,Saint Gallen,2016-Juil.-01,DEICHKIND
OPEN AIR DE SAINT GALLEN,Saint Gallen,2016-Juil.-02,RADIOHEAD
OPEN AIR DE SAINT GALLEN,Saint Gallen,2016-Juil.-03,MUMFORD & SONS
OPEN AIR DE SAINT GALLEN,Saint Gallen,2015-Juin-25,FRANK TURNER & THE SLEEPING SOULS
OPEN AIR DE SAINT GALLEN,Saint Gallen,2015-Juin-26,THE CHEMICAL BROTHERS
OPEN AIR DE SAINT GALLEN,Saint Gallen,2015-Juin-27,PLACEBO
OPEN AIR DE SAINT GALLEN,Saint Gallen,2015-Juin-28,KODALINE
OPEN AIR DE SAINT GALLEN,Saint Gallen,2013-Juin-27,ROYAL REPUBLIC
OPEN AIR DE SAINT GALLEN,Saint Gallen,2013-Juin-28,DEAD BUNNY
OPEN AIR DE SAINT GALLEN,Saint Gallen,2013-Juin-29,CONTRABANDO
OPEN AIR DE SAINT GALLEN,Saint Gallen,2013-Juin-30,CAROLINE CHEVIN
OPEN AIR DE SAINT GALLEN,Saint Gallen,2012-Juin-28,DANKO JONES
OPEN AIR DE SAINT GALLEN,Saint Gallen,2012-Juin-29,INCUBUS
OPEN AIR DE SAINT GALLEN,Saint Gallen,2012-Juin-30,DIE TOTEN HOSEN
OPEN AIR DE SAINT GALLEN,Saint Gallen,2012-Juil.-01,MUMFORD & SONS
OPEN AIR DE SAINT GALLEN,Saint Gallen,2011-Juin-30,CULCHA CANDELA
OPEN AIR DE SAINT GALLEN,Saint Gallen,2011-Juil.-01,BLUMENTOPF
OPEN AIR DE SAINT GALLEN,Saint Gallen,2011-Juil.-01,SOLANGE LA FRANGE / LA PATRONNE
OPEN AIR DE SAINT GALLEN,Saint Gallen,2011-Juil.-01,BLUSH
OPEN AIR DE SAINT GALLEN,Saint Gallen,2011-Juil.-02,FRIENDLY FIRES
OPEN AIR DE SAINT GALLEN,Saint Gallen,2011-Juil.-02,ALVIN ZEALOT
OPEN AIR DE SAINT GALLEN,Saint Gallen,2011-Juil.-02,JESSE ROSE
OPEN AIR DE SAINT GALLEN,Saint Gallen,2011-Juil.-03,TRAKTORKESTAR
OPEN AIR DE SAINT GALLEN,Saint Gallen,2011-Juil.-03,BEIRUT
