festival,location,date,artist
ROCK ALTITUDE,Le Locle,2016-Aout-10,STEVE 'N' SEAGULLS
ROCK ALTITUDE,Le Locle,2016-Aout-11,KADEBOSTANY
ROCK ALTITUDE,Le Locle,2016-Aout-12,MUTOID MAN
ROCK ALTITUDE,Le Locle,2016-Aout-13,STUCK IN THE SOUND
ROCK ALTITUDE,Le Locle,2015-Aout-12,THE DILLINGER ESCAPE PLAN
ROCK ALTITUDE,Le Locle,2015-Aout-13,CHARLIE WINSTON
ROCK ALTITUDE,Le Locle,2015-Aout-14,LOFOFORA
ROCK ALTITUDE,Le Locle,2015-Aout-15,INTERPOL
ROCK ALTITUDE,Le Locle,2014-Aout-15,DOWN
ROCK ALTITUDE,Le Locle,2014-Aout-16,MORCHEEBA
ROCK ALTITUDE,Le Locle,2013-Aout-15,TAMBOURS DU BRONX
ROCK ALTITUDE,Le Locle,2013-Aout-16,THE DEFTONES
ROCK ALTITUDE,Le Locle,2013-Aout-17,THE ANIMEN
ROCK ALTITUDE,Le Locle,2012-Aout-16,NADA SURF
ROCK ALTITUDE,Le Locle,2012-Aout-17,NAPALM DEATH
ROCK ALTITUDE,Le Locle,2012-Aout-18,MOGWAI
ROCK ALTITUDE,Le Locle,2011-Aout-11,WILLIAM WHITE
ROCK ALTITUDE,Le Locle,2011-Aout-12,MESHUGGAH
ROCK ALTITUDE,Le Locle,2010-Aout-12,CHARLOU NADA
ROCK ALTITUDE,Le Locle,2010-Aout-13,GOJIRA
ROCK ALTITUDE,Le Locle,2010-Aout-14,K'S CHOICE
ROCK ALTITUDE,Le Locle,2009-Aout-27,MOONRAISERS
ROCK ALTITUDE,Le Locle,2009-Aout-28,ELLIOTT MURPHY
ROCK ALTITUDE,Le Locle,2009-Aout-29,THE HAUNTED
ROCK ALTITUDE,Le Locle,2008-Aout-22,ENTOMBED A.D.
ROCK ALTITUDE,Le Locle,2008-Aout-23,FAT NO BRAIN
