festival,location,date,artist
ROCK N ORGE,Vevey,2012-Oct.-12,LA RENARDE
ROCK N ORGE,Vevey,2012-Oct.-13,REBEL FEST
ROCK N ORGE,Vevey,2011-Oct.-14,CHARLOTTE PARFOIS / PEUT-ETRE
ROCK N ORGE,Vevey,2011-Oct.-15,TODOS DESTINOS
ROCK N ORGE,Vevey,2010-Oct.-15,RECTANGLE
ROCK N ORGE,Vevey,2010-Oct.-16,EL BIANCHI
ROCK N ORGE,Vevey,2009-Oct.-09,CLIMAX
ROCK N ORGE,Vevey,2009-Oct.-10,ALBERT ET LES INTERMUTANTS
ROCK N ORGE,Vevey,2008-Oct.-10,ROCK FM
ROCK N ORGE,Vevey,2008-Oct.-11,REBEL FEST
ROCK N ORGE,Vevey,2007-Oct.-19,THE PASSENGERS
ROCK N ORGE,Vevey,2007-Oct.-20,AVALON 1
ROCK N ORGE,Vevey,2006-Oct.-21,GRAN KINO
